SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,QJFE_DAY{2025-10-24},NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE,NEW_SCALE{2025-10-26}
1,4.7714,1.21,2012-04-05,41.11亿,-0.001,2012-05-04,510300,-1.65亿,4.770,沪深300ETF,1,False,0.057,892.76亿,1.26|2025-10-24,T+1,4259.71亿|2025-10-24,4259.71亿|2025-10-24
2,4.5947,1.21,2013-02-18,7.40亿,-0.003,2013-03-06,510310,-5040.00万,4.592,沪深300ETF易方达,1,False,0.055,668.70亿,1.26|2025-10-24,T+1,3072.46亿|2025-10-24,3072.46亿|2025-10-24
3,4.8401,1.30,2012-12-17,2.75亿,0.004,2012-12-25,510330,900.00万,4.844,沪深300ETF华夏,1,False,0.062,474.19亿,1.26|2025-10-24,T+1,2295.11亿|2025-10-24,2295.11亿|2025-10-24
4,4.9217,1.26,2012-04-05,9.78亿,-0.006,2012-05-07,159919,-,4.916,沪深300ETF,0,False,0.061,407.34亿,1.25|2025-10-24,T+1,1979.97亿|2025-10-23,1979.97亿|2025-10-23
5,3.1915,0.79,2004-11-29,21.70亿,0.001,2004-12-30,510050,1.05亿,3.192,上证50ETF,1,False,0.025,579.10亿,0.79|2025-10-24,T+1,1848.21亿|2025-10-24,1848.21亿|2025-10-24
6,7.3602,1.66,2013-01-10,16.64亿,0.009,2013-02-06,510500,-2320.00万,7.369,中证500ETF,1,False,0.120,182.81亿,1.64|2025-10-24,T+1,1345.49亿|2025-10-24,1345.49亿|2025-10-24
7,3.1485,3.59,2011-08-15,46.38亿,-0.002,2011-09-20,159915,-,3.147,创业板ETF,0,False,0.109,329.49亿,3.57|2025-10-24,T+1,1001.63亿|2025-10-23,1001.63亿|2025-10-23
8,0.9741,0.62,2021-08-23,27.61亿,0.000,2021-09-15,159792,-,0.974,港股通互联网ETF,0,False,0.006,921.17亿,1.08|2025-10-24,T+0,887.73亿|2025-10-23,887.73亿|2025-10-23
9,8.9504,-0.49,2013-06-24,66.53亿,0.000,2013-07-18,518880,-9990.00万,8.950,黄金ETF,1,False,-0.044,92.72亿,-0.60|2025-10-24,T+0,829.84亿|2025-10-24,829.84亿|2025-10-24
10,101.0090,0.01,2013-03-18,273.50亿,0.002,2013-04-01,511880,154.51万,101.011,银华日利ETF,1,False,0.009,7.84亿,0.01|2025-10-24,T+0,791.96亿|2025-10-24,791.96亿|2025-10-24
11,1.4870,4.42,2020-09-22,16.12亿,0.000,2020-09-28,588080,-2.22亿,1.487,科创板50ETF,1,False,0.063,504.17亿,4.35|2025-10-24,T+1,749.70亿|2025-10-24,749.70亿|2025-10-24
12,3.0022,1.62,2016-08-24,12.67亿,0.006,2016-09-29,512100,5200.00万,3.008,中证1000ETF,1,False,0.048,247.79亿,1.54|2025-10-24,T+1,743.92亿|2025-10-24,743.92亿|2025-10-24
13,1.5353,4.21,2020-09-22,55.22亿,0.000,2020-09-28,588000,-6.84亿,1.535,科创50ETF,1,False,0.062,483.24亿,4.33|2025-10-24,T+1,741.91亿|2025-10-24,741.91亿|2025-10-24
14,-,0.01,2012-12-19,166.45亿,0.005,2012-12-27,511990,93.48万,100.005,华宝添益ETF,1,False,0.007,7.33亿,0.01|2025-10-26,T+0,732.95亿|2025-10-24,732.95亿|2025-10-24
15,112.5158,0.01,2020-04-30,396.74亿,0.004,2020-08-03,511360,1998.00万,112.520,短融ETF,1,False,0.008,5.73亿,0.00|2025-10-24,T+0,644.73亿|2025-10-24,644.73亿|2025-10-24
16,13.3956,0.43,2020-02-10,111.89亿,-0.014,2020-03-06,511380,1040.00万,13.382,可转债ETF,1,False,0.057,44.88亿,0.64|2025-10-24,T+0,601.26亿|2025-10-24,601.26亿|2025-10-24
17,1.2570,0.96,2016-06-20,32.36亿,0.000,2016-07-26,512880,-6600.00万,1.257,证券ETF,1,False,0.012,474.10亿,0.91|2025-10-24,T+1,595.95亿|2025-10-24,595.95亿|2025-10-24
18,0.8166,0.86,2021-05-12,48.55亿,0.001,2021-05-18,513180,2.04亿,0.818,恒生科技指数ETF,1,False,0.007,563.02亿,1.83|2025-10-24,T+0,459.76亿|2025-10-24,459.76亿|2025-10-24
19,3.0556,1.59,2021-03-04,3.82亿,0.003,2021-03-18,159845,-,3.059,中证1000ETF,0,False,0.048,144.42亿,1.54|2025-10-24,T+1,434.63亿|2025-10-23,434.63亿|2025-10-23
20,114.6075,0.00,2022-08-03,34.14亿,0.006,2022-08-19,511520,-2.00万,114.613,政金债券ETF,1,False,0.005,3.78亿,-0.03|2025-10-24,T+0,433.14亿|2025-10-24,433.14亿|2025-10-24
21,2.5027,5.40,2022-09-23,58.23亿,-0.003,2022-09-30,588200,-1.56亿,2.500,科创芯片ETF,1,False,0.128,166.78亿,5.58|2025-10-24,T+1,417.40亿|2025-10-24,417.40亿|2025-10-24
22,0.8018,1.01,2021-05-12,54.47亿,0.001,2021-05-24,513130,1600.00万,0.803,恒生科技ETF,1,False,0.008,513.18亿,1.89|2025-10-24,T+0,411.47亿|2025-10-24,411.47亿|2025-10-24
23,8.9329,-0.51,2014-08-04,19.84亿,-0.003,2014-08-13,159937,-,8.930,黄金ETF基金,0,False,-0.046,44.13亿,-0.60|2025-10-24,T+0,396.61亿|2025-10-23,396.61亿|2025-10-23
24,1.6357,0.61,2016-12-12,25.45亿,0.043,2017-01-04,513050,0.00,1.656,中概互联网ETF,1,False,0.010,241.81亿,1.39|2025-10-23,T+0,395.54亿|2025-10-23,395.54亿|2025-10-23
25,0.6008,0.84,2016-08-01,14.42亿,-0.001,2016-08-30,512000,-2.10亿,0.600,券商ETF,1,False,0.005,647.09亿,0.91|2025-10-24,T+1,388.77亿|2025-10-24,388.77亿|2025-10-24
26,1.4797,0.82,2022-06-17,7.82亿,0.004,2022-06-30,159636,-,1.484,港股通科技30ETF,0,False,0.012,261.16亿,1.44|2025-10-24,T+0,380.96亿|2025-10-23,380.96亿|2025-10-23
27,0.5736,0.53,2021-01-18,33.93亿,-0.002,2021-01-26,513330,1000.00万,0.572,恒生互联网ETF,1,False,0.003,606.93亿,1.68|2025-10-24,T+0,348.14亿|2025-10-24,348.14亿|2025-10-24
28,2.3115,1.28,2020-02-24,165.10亿,-0.022,2020-03-13,513090,0.00,2.290,香港证券ETF,1,False,0.029,148.74亿,2.61|2025-10-24,T+0,343.81亿|2025-10-24,343.81亿|2025-10-24
29,3.0508,1.56,2022-07-22,1.56亿,0.003,2022-07-28,560010,0.00,3.054,中证1000ETF指数,1,False,0.047,112.00亿,1.54|2025-10-24,T+1,341.68亿|2025-10-24,341.68亿|2025-10-24
30,9.3493,-0.50,2013-10-28,21.53亿,0.002,2013-11-29,159934,-,9.351,黄金ETF,0,False,-0.047,36.01亿,-0.60|2025-10-24,T+0,338.71亿|2025-10-23,338.71亿|2025-10-23
31,118.4601,-0.13,2023-02-17,90.53亿,0.076,2023-05-19,511090,118.00万,118.536,30年国债ETF,1,False,-0.149,2.62亿,-0.29|2025-10-24,T+0,310.21亿|2025-10-24,310.21亿|2025-10-24
32,1.3363,1.42,2015-05-20,13.44亿,0.104,2015-06-10,159941,-,1.430,纳指ETF,0,False,0.020,220.94亿,0.81|2025-10-23,T+0,295.24亿|2025-10-23,295.24亿|2025-10-23
33,1.8458,4.84,2019-12-24,13.62亿,-0.003,2020-01-20,159995,-,1.843,芯片ETF,0,False,0.085,162.87亿,5.02|2025-10-24,T+1,286.25亿|2025-10-23,286.25亿|2025-10-23
34,8.8411,-0.47,2013-06-24,4.59亿,0.001,2013-07-18,518800,-6750.00万,8.842,黄金基金ETF,1,False,-0.042,31.79亿,-0.60|2025-10-24,T+0,281.02亿|2025-10-24,281.02亿|2025-10-24
35,0.3730,0.54,2019-04-22,4.47亿,-0.001,2019-05-20,512170,-1.96亿,0.372,医疗ETF,1,False,0.002,692.51亿,0.67|2025-10-24,T+1,258.31亿|2025-10-24,258.31亿|2025-10-24
