SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,QJFE_DAY{2025-11-12},FUND_CHG_NEW,T0,NEW_SCALE
1,4.7583,0.82,2012-04-05,14.59亿,0.046,2012-05-04,510300,4.804,沪深300ETF,1,False,0.039,892.22亿,1620.00万,-0.13|2025-11-12,T+1,4245.45亿|2025-11-12
2,4.5828,0.83,2013-02-18,3.55亿,0.044,2013-03-06,510310,4.627,沪深300ETF易方达,1,False,0.038,665.68亿,-4950.00万,-0.13|2025-11-12,T+1,3050.69亿|2025-11-12
3,4.8271,0.81,2012-12-17,1.06亿,0.048,2012-12-25,510330,4.875,沪深300ETF华夏,1,False,0.039,473.40亿,-2070.00万,-0.13|2025-11-12,T+1,2285.16亿|2025-11-12
4,4.9086,0.88,2012-04-05,2.60亿,0.046,2012-05-07,159919,4.955,沪深300ETF,0,False,0.043,405.82亿,-5760.00万,-0.13|2025-11-12,T+1,1992.01亿|2025-11-12
5,3.1921,0.28,2004-11-29,7.58亿,0.014,2004-12-30,510050,3.206,上证50ETF,1,False,0.009,570.32亿,-2.62亿,0.32|2025-11-12,T+1,1820.51亿|2025-11-12
6,7.3489,1.62,2013-01-10,9.24亿,0.126,2013-02-06,510500,7.475,中证500ETF,1,False,0.119,181.35亿,3640.00万,-0.66|2025-11-12,T+1,1332.75亿|2025-11-12
7,3.1015,2.38,2011-08-15,30.65亿,0.080,2011-09-20,159915,3.182,创业板ETF,0,False,0.074,326.68亿,1.18亿,-0.37|2025-11-12,T+1,1013.21亿|2025-11-12
8,0.9462,-0.84,2021-08-23,7.19亿,-0.004,2021-09-15,159792,0.942,港股通互联网ETF,0,False,-0.008,914.88亿,2000.00万,-0.02|2025-11-12,T+0,865.66亿|2025-11-12
9,9.0361,1.42,2013-06-24,35.84亿,0.121,2013-07-18,518880,9.157,黄金ETF,1,False,0.128,95.22亿,6860.00万,-0.21|2025-11-12,T+0,860.40亿|2025-11-12
10,101.0611,0.01,2013-03-18,111.13亿,0.004,2013-04-01,511880,101.065,银华日利ETF,1,False,0.006,7.80亿,5700.00,0.00|2025-11-12,T+0,788.21亿|2025-11-12
11,-,0.00,2012-12-19,99.17亿,-0.002,2012-12-27,511990,99.998,华宝添益ETF,1,False,0.001,7.54亿,-2018.79万,0.00|2025-11-12,T+0,754.33亿|2025-11-12
12,3.0299,1.52,2016-08-24,5.87亿,0.050,2016-09-29,512100,3.080,中证1000ETF,1,False,0.046,247.87亿,1.22亿,-0.72|2025-11-12,T+1,751.03亿|2025-11-12
13,1.4486,1.66,2020-09-22,20.17亿,0.024,2020-09-28,588000,1.473,科创50ETF,1,False,0.024,503.58亿,8.91亿,-0.58|2025-11-12,T+1,729.48亿|2025-11-12
14,1.4035,1.57,2020-09-22,5.96亿,0.024,2020-09-28,588080,1.427,科创板50ETF,1,False,0.022,505.37亿,1.23亿,-0.58|2025-11-12,T+1,709.28亿|2025-11-12
15,112.6123,0.01,2020-04-30,97.57亿,-0.003,2020-08-03,511360,112.609,短融ETF,1,False,0.011,6.09亿,-9.60万,0.00|2025-11-12,T+0,686.10亿|2025-11-12
16,1.2361,0.16,2016-06-20,9.89亿,0.004,2016-07-26,512880,1.240,证券ETF,1,False,0.002,508.83亿,4.66亿,-0.67|2025-11-12,T+1,628.97亿|2025-11-12
17,13.6076,0.99,2020-02-10,56.78亿,0.132,2020-03-06,511380,13.740,可转债ETF,1,False,0.135,42.08亿,1190.00万,-0.41|2025-11-12,T+0,572.63亿|2025-11-12
18,0.7979,-0.50,2021-05-12,18.77亿,0.000,2021-05-18,513180,0.798,恒生科技指数ETF,1,False,-0.004,588.83亿,200.00万,0.14|2025-11-12,T+0,469.83亿|2025-11-12
19,3.0839,1.56,2021-03-04,1.47亿,0.049,2021-03-18,159845,3.133,中证1000ETF,0,False,0.048,144.28亿,1200.00万,-0.72|2025-11-12,T+1,444.96亿|2025-11-12
20,115.1063,-0.05,2022-08-03,16.97亿,-0.072,2022-08-19,511520,115.034,政金债券ETF,1,False,-0.054,3.80亿,-5.00万,0.04|2025-11-12,T+0,437.27亿|2025-11-12
21,0.7831,-0.63,2021-05-12,22.56亿,0.000,2021-05-24,513130,0.783,恒生科技ETF,1,False,-0.005,551.71亿,200.00万,0.15|2025-11-12,T+0,432.05亿|2025-11-12
22,1.6280,-0.80,2016-12-12,10.32亿,-0.007,2017-01-04,513050,1.621,中概互联网ETF,1,False,-0.013,246.21亿,0.00,-0.38|2025-11-11,T+0,400.84亿|2025-11-11
