code,name,time,macd,signal
518880,黄金ETF,2025-10-30 13:30:00,-0.0274,-0.0334
513180,恒生科技指数ETF,2025-10-30 11:00:00,-0.0001,-0.0002
513130,恒生科技ETF,2025-10-30 11:00:00,0.0001,0.0001
159636,港股通科技30ETF,2025-10-30 11:00:00,0.0009,0.0003
159937,黄金ETF基金,2025-10-30 13:30:00,-0.0273,-0.0333
560010,中证1000ETF指数,2025-10-30 11:30:00,0.0076,0.0075
159934,黄金ETF,2025-10-30 13:30:00,-0.0287,-0.0348
511090,30年国债ETF,2025-10-30 13:30:00,0.003,-0.0195
518800,黄金基金ETF,2025-10-30 13:30:00,-0.0275,-0.0332
512890,红利低波ETF,2025-10-30 10:00:00,-0.0019,-0.0025
513980,港股科技50ETF,2025-10-30 11:00:00,-0.0002,-0.0004
512480,半导体ETF,2025-10-30 11:00:00,-0.001,-0.0011
513010,恒生科技ETF易方达,2025-10-30 11:00:00,0.0,-0.0001
512800,银行ETF,2025-10-30 10:00:00,-0.0042,-0.0044
159740,恒生科技ETF,2025-10-30 11:00:00,0.0003,0.0001
515220,煤炭ETF,2025-10-30 11:00:00,0.004,0.0039
159509,纳指科技ETF,2025-10-30 11:00:00,0.007,0.0065
159629,1000ETF,2025-10-30 11:30:00,0.0084,0.0081
513770,港股互联网ETF,2025-10-30 11:00:00,-0.0,-0.0001
513380,恒生科技ETF龙头,2025-10-30 11:00:00,0.0002,0.0
