期货代码,名称,合约,最新价,昨收,今开,最高,最低,买一,卖一,成交量,持仓量,时间,序号
T2606,108.370,108.405,108.200,108.210,96771,10479296.150,292887.000,0.000,0.000,110.545,106.215,2026-04-01 23:10:59,1
TL2606,111.600,111.600,111.220,111.370,78758,8769427.210,132018.000,0.000,0.000,115.480,107.680,2026-04-01 23:10:59,1
TS2606,102.526,102.548,102.492,102.496,48784,5001220.706,76314.000,0.000,0.000,103.044,102.020,2026-04-01 23:10:59,1
TF2606,106.075,106.115,105.965,105.975,83041,8805049.020,177618.000,0.000,0.000,107.355,104.815,2026-04-01 23:10:59,1
BR2605,丁二烯橡胶2605,230000,17030.000,17125.000,16770.000,0.000,16840.000,16845.000,16845.000,0.000,17545.000,2026-04-01 23:10:59,1
P2605,棕榈油2605,230000,9842.000,9850.000,9736.000,0.000,9760.000,9762.000,9760.000,0.000,10002.000,2026-04-01 23:10:59,1
RU2605,天然橡胶2605,230000,16465.000,16640.000,16465.000,0.000,16560.000,16570.000,16570.000,0.000,16665.000,2026-04-01 23:10:59,1
MA2605,甲醇2605,230000,3071.000,3120.000,3058.000,0.000,3091.000,3092.000,3092.000,0.000,3157.000,2026-04-01 23:10:59,1
JM2605,焦煤2605,230000,1120.000,1125.000,1110.000,0.000,1113.500,1114.000,1114.000,0.000,1136.000,2026-04-01 23:10:59,1
CF2605,棉花2605,225959,15250.000,15270.000,15215.000,0.000,15255.000,15260.000,15260.000,0.000,15380.000,2026-04-01 23:10:59,1
BU2606,沥青2606,230000,4350.000,4357.000,4272.000,0.000,4303.000,4304.000,4304.000,0.000,4432.000,2026-04-01 23:10:59,1
AL2605,铝2605,231059,24830.000,24970.000,24775.000,0.000,24920.000,24925.000,24925.000,0.000,24850.000,2026-04-01 23:10:59,1
EG2605,乙二醇2605,230000,4911.000,4965.000,4863.000,0.000,4879.000,4880.000,4879.000,0.000,5125.000,2026-04-01 23:10:59,1
PP2605,聚丙烯2605,230000,8885.000,8959.000,8828.000,0.000,8907.000,8908.000,8907.000,0.000,9015.000,2026-04-01 23:10:59,1
TA2605,PTA2605,230000,6458.000,6544.000,6454.000,0.000,6510.000,6512.000,6510.000,0.000,6634.000,2026-04-01 23:10:59,1
NI2605,镍2605,231059,135100.000,135110.000,133720.000,0.000,134340.000,134350.000,134340.000,0.000,135050.000,2026-04-01 23:10:59,1
V2605,PVC2605,230000,5301.000,5338.000,5269.000,0.000,5323.000,5324.000,5323.000,0.000,5358.000,2026-04-01 23:10:59,1
EB2605,苯乙烯2605,225959,10016.000,10056.000,9830.000,0.000,9934.000,9935.000,9934.000,0.000,10288.000,2026-04-01 23:10:59,1
