SERIAL,CIRCULATION_MARKET_VALUE<140>,TRADING_VOLUMES{2025-10-17},TOAL_MARKET_VALUE<140>{2025-10-17},CHG,PCHG{2025-10-17},BOTTOM_PRICE<140>{2025-10-17},VOLUME{2025-10-17},PEAK_PRICE<140>{2025-10-17},MARKET_SHORT_NAME,SECURITY_CODE,QRR{2025-10-17},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE{2025-10-17},IFSTSTOCK{2025-10-17},MARKET_NUM,IN_OPTIONAL,PETTM{2025-10-17},PE_DYNAMIC{2025-10-17}
1,937.13亿,25.79亿,1828.65亿,-4.24,-15.07,339.10,742.85万,358.34,SZ,300033,0.97,26.88,340.15,同花顺,否,2.70,否,0,False,93.19,182.19
2,1639.94亿,44.29亿,1639.94亿,-4.55,-12.49,260.28,1669.11万,276.00,SH,688012,0.78,7.86,261.91,中微公司,否,2.67,否,1,False,90.86,116.16
3,1185.88亿,6.96亿,1185.88亿,-2.47,-3.64,143.20,480.37万,148.88,SH,688271,0.72,5.72,143.89,XD联影医,否,0.58,否,1,False,90.55,59.41
4,825.28亿,29.44亿,1090.36亿,-5.03,-3.15,59.00,4889.44万,63.00,SZ,002384,0.85,5.22,59.53,东山精密,否,3.53,否,0,False,84.98,71.92
5,678.50亿,7.10亿,678.50亿,-5.25,-2.83,50.93,1362.48万,53.95,SH,688396,0.68,2.99,51.11,XD华润微,否,1.03,否,1,False,82.65,100.13
6,1378.38亿,21.06亿,1378.38亿,-2.61,-7.96,296.23,702.20万,306.80,SH,688111,0.44,11.85,297.59,金山办公,否,1.52,否,1,False,82.50,92.24
7,773.26亿,17.27亿,773.48亿,-4.31,-8.27,183.70,925.06万,191.94,SH,603893,0.77,19.50,183.76,瑞芯微,否,2.20,否,1,False,82.00,72.81
8,610.52亿,10.84亿,612.14亿,-5.35,-1.15,20.22,5247.99万,21.47,SH,600673,1.27,6.48,20.34,东阳光,否,1.75,否,1,False,80.42,49.96
9,1580.31亿,53.66亿,1580.31亿,-4.56,-6.60,137.81,3820.19万,145.45,SH,688008,0.80,13.04,138.00,澜起科技,否,3.34,否,1,False,79.91,68.17
10,2218.05亿,89.84亿,2237.47亿,-2.87,-7.67,253.40,3454.43万,267.49,SZ,300476,0.76,20.42,259.36,胜宏科技,否,4.04,否,0,False,78.82,52.20
11,402.19亿,30.43亿,522.21亿,-2.55,-2.17,82.44,3639.89万,85.51,SZ,300604,0.61,13.80,82.83,长川科技,否,7.50,否,0,False,77.88,61.15
12,80.66亿,7.70亿,672.16亿,1.44,1.20,82.63,907.15万,87.08,SZ,301165,1.46,14.25,84.50,锐捷网络,否,9.50,否,0,False,77.04,74.33
13,588.32亿,68.74亿,588.37亿,-9.46,-4.05,38.68,1.72亿,41.50,SZ,002156,0.76,3.99,38.77,通富微电,否,11.35,否,0,False,76.71,71.39
