SERIAL,CIRCULATION_MARKET_VALUE<140>,PE_DYNAMIC{2025-10-20},CHG,TRADING_VOLUMES{2025-10-20},TOAL_MARKET_VALUE<140>{2025-10-20},MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>{2025-10-20},TURNOVER_RATE{2025-10-20},VOLUME{2025-10-20},PETTM{2025-10-20},PEAK_PRICE<140>{2025-10-20},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,MARKET_NUM,QRR{2025-10-20},IN_OPTIONAL,PCHG{2025-10-20},IFSTSTOCK{2025-10-20}
1,1887.79亿,101.35,-1.47,79.74亿,1887.79亿,SH,600111,51.02,4.22,1.53亿,99.87,53.39,8.11,52.22,北方稀土,否,1,0.53,False,-0.78,否
2,621.15亿,85.09,-1.71,2.70亿,621.29亿,SZ,002294,55.20,0.43,483.02万,99.80,56.99,7.28,55.73,信立泰,否,0,0.58,False,-0.97,否
3,957.63亿,186.17,2.19,24.43亿,1868.64亿,SZ,300033,345.94,2.53,698.23万,95.23,353.80,27.47,347.59,同花顺,否,0,0.98,False,7.44,否
4,1645.70亿,116.56,0.35,31.44亿,1645.70亿,SH,688012,261.00,1.89,1182.49万,91.18,270.88,7.89,262.83,中微公司,否,1,0.59,False,0.92,否
5,876.16亿,76.36,6.16,59.29亿,1157.58亿,SZ,002384,61.49,6.70,9281.90万,90.22,65.48,5.55,63.20,东山精密,否,0,1.64,False,3.67,否
6,1162.47亿,58.24,-1.97,6.96亿,1162.47亿,SH,688271,140.53,0.59,488.39万,88.76,145.02,5.61,141.05,联影医疗,否,1,0.80,False,-2.84,否
7,703.46亿,103.82,3.68,9.69亿,703.46亿,SH,688396,52.31,1.36,1809.59万,85.69,55.05,3.10,52.99,华润微,否,1,1.02,False,1.88,否
8,781.01亿,73.54,1.00,15.57亿,781.23亿,SH,603893,184.00,1.99,835.51万,82.82,188.55,19.69,185.60,瑞芯微,否,1,0.77,False,1.84,否
9,1383.75亿,92.60,0.39,14.24亿,1383.75亿,SH,688111,295.92,1.03,476.00万,82.82,302.49,11.89,298.75,金山办公,否,1,0.33,False,1.16,否
10,2259.62亿,53.65,1.87,152.64亿,2299.64亿,SZ,300476,260.87,6.66,5699.77万,81.02,277.00,20.99,264.22,胜宏科技,否,0,1.35,False,4.86,否
11,753.25亿,70.11,6.75,79.34亿,753.25亿,SH,600580,45.50,10.70,1.67亿,80.37,49.00,7.20,48.22,卧龙电驱,否,1,1.40,False,3.05,否
12,606.01亿,49.59,-0.74,8.46亿,607.63亿,SH,600673,20.07,1.38,4145.67万,79.83,21.03,6.43,20.19,东阳光,否,1,1.00,False,-0.15,否
13,1547.67亿,66.76,-2.07,63.15亿,1547.67亿,SH,688008,133.66,4.00,4583.87万,78.26,142.99,12.77,135.15,澜起科技,否,1,1.02,False,-2.85,否
14,502.08亿,82.26,1.45,42.16亿,503.53亿,SZ,300115,35.76,8.34,1.13亿,78.15,38.20,6.19,37.00,长盈精密,否,0,0.89,False,0.53,否
15,595.90亿,72.31,1.29,42.91亿,595.96亿,SZ,002156,38.88,7.15,1.08亿,77.70,40.50,4.04,39.27,通富微电,否,0,0.56,False,0.50,否
16,592.67亿,55.86,3.62,9.08亿,592.67亿,SH,688183,69.63,1.52,1266.52万,77.33,73.29,13.10,71.25,生益电子,否,1,1.08,False,2.49,否
17,1225.61亿,68.28,7.76,71.39亿,1228.08亿,SZ,300394,153.90,5.76,4466.92万,77.31,166.56,26.20,157.97,天孚通信,否,0,2.08,False,11.38,否
18,398.40亿,60.57,-0.94,30.96亿,517.30亿,SZ,300604,81.50,7.67,3721.88万,77.14,85.01,13.67,82.05,长川科技,否,0,0.69,False,-0.78,否
19,79.76亿,73.51,-1.11,7.28亿,664.68亿,SZ,301165,82.07,9.14,872.10万,76.19,85.72,14.10,83.56,锐捷网络,否,0,1.36,False,-0.94,否
20,592.76亿,46.18,-0.24,3.34亿,592.76亿,SH,600372,12.19,0.56,2718.19万,76.05,12.41,1.56,12.25,中航机载,否,1,0.68,False,-0.03,否
21,109.10亿,82.00,5.51,8.15亿,517.95亿,SH,688411,272.97,7.49,284.19万,75.97,296.99,12.69,287.60,海博思创,否,1,0.85,False,15.02,否
22,1535.11亿,120.64,0.19,41.26亿,1535.54亿,SH,603019,104.26,2.66,3884.70万,73.25,108.06,7.30,104.95,中科曙光,否,1,0.70,False,0.20,否
23,531.08亿,61.64,3.73,20.46亿,532.61亿,SZ,300857,148.85,3.84,1324.33万,69.53,159.00,14.65,153.88,协创数据,否,0,0.82,False,5.53,否
24,702.89亿,51.17,-0.67,5.57亿,705.02亿,SZ,000768,25.15,0.79,2188.23万,66.82,25.86,3.28,25.35,中航西飞,否,0,0.84,False,-0.17,否
25,4455.17亿,56.04,7.87,244.68亿,4477.81亿,SZ,300308,395.58,5.44,6015.51万,65.77,421.21,20.01,403.00,中际旭创,否,0,1.44,False,29.40,否
26,681.89亿,92.36,0.96,21.76亿,681.89亿,SH,600895,43.68,3.16,4890.76万,62.83,45.38,5.16,44.03,张江高科,否,1,0.61,False,0.42,否
27,1772.85亿,80.47,-0.09,13.63亿,1828.92亿,SH,600760,63.90,0.77,2103.06万,62.81,65.75,8.47,64.51,中航沈飞,否,1,0.60,False,-0.06,否
28,684.42亿,49.47,1.42,18.23亿,684.54亿,SZ,002049,79.87,2.65,2249.34万,60.38,82.56,5.39,80.57,紫光国微,否,0,0.71,False,1.13,否
29,766.28亿,60.60,-0.16,6.12亿,843.22亿,SH,688082,173.49,0.79,342.86万,59.98,183.21,6.65,175.71,盛美上海,否,1,0.74,False,-0.29,否
30,1310.27亿,46.59,0.79,24.48亿,1329.29亿,SH,600183,54.04,1.84,4414.42万,59.54,57.00,9.35,54.72,生益科技,否,1,0.81,False,0.43,否
