SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,IFSTSTOCK{2025-10-24},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-24},TOAL_MARKET_VALUE<140>
1,1850.55亿,2.89,51.38,65.76亿,1.29亿,SH,600111,49.81,0.89,99.35,否,7.95,51.19,北方稀土,否,3.57,1,False,1.44,97.90,1850.55亿
2,1761.72亿,5.30,282.63,55.14亿,1981.60万,SH,688012,269.13,1.59,124.78,否,8.44,281.36,中微公司,否,3.16,1,False,14.16,97.61,1761.72亿
3,739.82亿,19.99,88.94,19.27亿,2167.17万,SH,688183,87.75,1.63,69.73,否,16.35,88.94,生益电子,否,2.61,1,False,14.82,96.53,739.82亿
4,599.64亿,-0.76,54.43,3.17亿,592.50万,SZ,002294,52.80,1.09,82.14,否,7.02,53.80,信立泰,否,0.53,0,False,-0.41,96.34,599.77亿
5,2642.40亿,7.95,308.99,186.56亿,6214.01万,SZ,300476,287.30,1.33,62.74,否,24.55,308.98,胜宏科技,否,7.27,0,False,22.76,94.74,2689.21亿
6,452.04亿,5.54,40.12,29.19亿,7374.51万,SZ,300748,38.15,1.13,79.61,否,7.80,39.98,金力永磁,否,6.52,0,False,2.10,89.75,547.11亿
7,1171.62亿,1.54,143.26,5.94亿,417.67万,SH,688271,141.13,1.01,58.70,否,5.65,142.16,联影医疗,否,0.51,1,False,2.16,89.46,1171.62亿
8,720.05亿,3.24,54.49,6.65亿,1235.48万,SH,688396,52.85,1.02,106.27,否,3.18,54.24,华润微,否,0.93,1,False,1.70,87.71,720.05亿
9,1381.02亿,6.46,180.00,81.42亿,4734.31万,SZ,300394,163.40,1.19,76.94,否,29.52,178.00,天孚通信,否,6.10,0,False,10.80,87.11,1383.80亿
10,816.35亿,3.36,194.18,17.39亿,905.69万,SH,603893,189.12,1.19,76.87,否,20.59,194.00,瑞芯微,否,2.15,1,False,6.30,86.57,816.58亿
11,1672.49亿,7.06,146.19,70.77亿,4909.78万,SH,688008,139.30,1.47,72.15,否,13.80,146.05,澜起科技,否,4.29,1,False,9.63,84.57,1672.49亿
12,1408.07亿,1.11,305.88,18.63亿,616.65万,SH,688111,299.31,1.13,94.22,否,12.10,304.00,金山办公,否,1.33,1,False,3.33,84.27,1408.07亿
13,449.01亿,8.22,56.50,67.26亿,1.23亿,SZ,002402,51.83,1.61,64.10,否,9.81,55.72,和而泰,否,15.32,0,False,4.23,84.22,515.30亿
14,633.33亿,3.13,21.10,9.09亿,4349.46万,SH,600673,20.50,0.96,51.83,否,6.72,21.10,东阳光,否,1.45,1,False,0.64,83.42,635.02亿
15,430.30亿,6.22,88.80,56.20亿,6477.72万,SZ,300604,84.03,1.62,65.42,否,14.77,88.62,长川科技,否,13.34,0,False,5.19,83.32,558.72亿
16,635.51亿,5.46,41.94,47.83亿,1.16亿,SZ,002156,40.01,1.10,77.11,否,4.31,41.88,通富微电,否,7.62,0,False,2.17,82.86,635.57亿
17,997.03亿,1.57,362.17,38.42亿,1078.23万,SZ,300033,350.93,1.60,120.97,否,25.93,361.89,同花顺,否,3.91,0,False,5.60,81.80,1945.52亿
18,5461.17亿,12.05,495.65,230.34亿,4910.25万,SZ,300308,437.10,1.06,68.70,否,24.53,494.00,中际旭创,否,4.44,0,False,53.12,80.62,5488.92亿
19,1666.32亿,5.91,114.88,70.52亿,6299.71万,SH,603019,108.41,1.45,130.95,否,7.92,113.92,中科曙光,否,4.31,1,False,6.36,79.51,1666.78亿
20,113.80亿,1.58,309.95,9.37亿,310.22万,SH,688411,289.99,1.14,85.53,否,13.24,300.00,海博思创,否,8.18,1,False,4.67,79.24,540.28亿
21,733.41亿,1.65,47.39,42.95亿,9205.12万,SH,600580,45.98,0.71,68.26,否,7.01,46.95,卧龙电驱,否,5.89,1,False,0.76,78.25,733.41亿
22,501.53亿,4.76,37.36,36.87亿,1.02亿,SZ,300115,35.06,1.07,82.17,否,6.18,36.96,长盈精密,否,7.49,0,False,1.68,78.07,502.98亿
23,591.80亿,1.16,12.55,6.44亿,5228.20万,SH,600372,12.12,1.80,46.10,否,1.56,12.23,中航机载,否,1.08,1,False,0.14,75.93,591.80亿
24,74.83亿,2.19,78.51,6.83亿,882.70万,SZ,301165,76.18,0.83,68.73,否,12.57,78.39,锐捷网络,否,9.25,0,False,1.68,73.99,623.56亿
25,554.24亿,3.21,162.88,24.54亿,1539.77万,SZ,300857,154.50,1.35,64.32,否,15.29,160.59,协创数据,否,4.46,0,False,5.00,72.56,555.84亿
26,719.25亿,1.13,26.19,5.91亿,2274.55万,SZ,000768,25.70,1.15,52.36,否,3.36,25.94,中航西飞,否,0.82,0,False,0.29,68.37,721.43亿
27,838.59亿,3.95,192.98,9.14亿,484.29万,SH,688082,182.51,1.31,66.31,否,7.28,192.29,盛美上海,否,1.11,1,False,7.30,65.64,922.79亿
