SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,IFSTSTOCK{2025-10-27},PCHG,PETTM{2025-10-27},TOAL_MARKET_VALUE<140>
1,1927.19亿,4.14,54.19,116.73亿,2.20亿,SH,600111,51.06,1.62,103.47,8.28,53.31,北方稀土,否,6.08,1,False,否,2.12,97.90,1927.19亿
2,1849.45亿,4.98,298.00,60.14亿,2046.26万,SH,688012,288.00,1.56,131.00,8.86,295.37,中微公司,否,3.27,1,False,否,14.01,97.61,1849.45亿
3,805.45亿,8.87,101.00,49.51亿,5109.83万,SH,688183,93.59,3.30,75.91,17.80,96.83,生益电子,否,6.14,1,False,否,7.89,96.53,805.45亿
4,624.71亿,4.18,56.10,3.41亿,616.11万,SZ,002294,54.06,1.25,85.58,7.32,56.05,信立泰,否,0.55,0,False,否,2.25,96.34,624.85亿
5,2910.42亿,10.14,346.58,227.07亿,6903.53万,SZ,300476,315.89,1.32,69.10,27.04,340.32,胜宏科技,否,8.07,0,False,否,31.34,94.74,2961.97亿
6,454.98亿,0.65,41.86,34.27亿,8421.77万,SZ,300748,39.88,1.36,80.12,7.85,40.24,金力永磁,否,7.45,0,False,否,0.26,89.75,550.67亿
7,1185.39亿,1.17,147.79,9.67亿,666.41万,SH,688271,143.03,1.66,59.39,5.72,143.83,联影医疗,否,0.81,1,False,否,1.67,89.46,1185.39亿
8,724.30亿,0.59,55.32,7.91亿,1450.18万,SH,688396,53.66,1.23,106.89,3.19,54.56,华润微,否,1.09,1,False,否,0.32,87.71,724.30亿
9,1474.59亿,6.78,192.08,89.80亿,4810.14万,SZ,300394,181.00,1.04,82.16,31.52,190.06,天孚通信,否,6.20,0,False,否,12.06,87.11,1477.56亿
10,817.03亿,0.08,198.50,23.50亿,1210.52万,SH,603893,190.61,1.60,76.93,20.60,194.16,瑞芯微,否,2.88,1,False,否,0.16,86.57,817.26亿
11,1729.29亿,3.40,153.46,81.45亿,5439.85万,SH,688008,146.11,1.53,74.60,14.27,151.01,澜起科技,否,4.75,1,False,否,4.96,84.57,1729.29亿
12,1468.28亿,4.28,317.71,29.16亿,939.67万,SH,688111,303.42,1.78,98.25,12.62,317.00,金山办公,否,2.03,1,False,否,13.00,84.27,1468.28亿
13,449.82亿,0.18,56.00,63.91亿,1.17亿,SZ,002402,53.40,1.40,64.22,9.83,55.82,和而泰,否,14.46,0,False,否,0.10,84.22,516.23亿
14,661.84亿,4.50,22.46,16.12亿,7310.56万,SH,600673,21.57,1.68,54.16,7.03,22.05,东阳光,否,2.44,1,False,否,0.95,83.42,663.61亿
15,440.94亿,2.47,92.89,63.65亿,6996.27万,SZ,300604,89.11,1.53,67.04,15.13,90.81,长川科技,否,14.41,0,False,否,2.19,83.32,572.53亿
