SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-28},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-28},TOAL_MARKET_VALUE<140>
1,633.07亿,1.34,57.60,4.22亿,745.81万,SZ,002294,55.15,1.43,81.78,7.22,56.80,信立泰,否,0.67,否,0,False,0.75,94.15,633.22亿
2,1467.21亿,-0.50,197.90,73.70亿,3864.25万,SZ,300394,184.00,0.83,81.75,31.37,189.11,天孚通信,否,4.98,否,0,False,-0.95,92.55,1470.17亿
3,1193.46亿,0.68,145.97,6.33亿,437.34万,SH,688271,143.13,1.00,59.79,5.76,144.81,联影医疗,否,0.53,否,1,False,0.98,91.13,1193.46亿
4,442.66亿,-2.71,41.01,26.21亿,6606.47万,SZ,300748,38.83,1.01,77.95,7.64,39.15,金力永磁,否,5.84,否,0,False,-1.09,87.88,535.75亿
5,1561.89亿,6.38,359.39,84.35亿,2477.02万,SH,688111,331.00,3.98,99.40,12.88,337.21,金山办公,否,5.35,否,1,False,20.21,87.57,1561.89亿
6,714.08亿,-1.41,54.98,6.13亿,1130.96万,SH,688396,53.75,1.02,105.38,3.15,53.79,华润微,否,0.85,否,1,False,-0.77,86.98,714.08亿
7,506.46亿,2.70,125.00,11.33亿,953.30万,SZ,301200,113.48,0.90,78.01,9.08,120.19,大族数控,否,2.26,否,0,False,3.16,86.70,511.42亿
8,1710.40亿,-1.09,152.09,52.06亿,3483.39万,SH,688008,146.99,0.94,73.78,14.11,149.36,澜起科技,否,3.04,否,1,False,-1.65,86.48,1710.40亿
9,1846.21亿,-4.20,53.39,102.99亿,1.99亿,SH,600111,50.90,1.34,89.84,7.73,51.07,北方稀土,否,5.52,否,1,False,-2.24,86.26,1846.21亿
10,785.28亿,1.97,51.39,90.73亿,1.82亿,SH,600580,48.88,1.46,73.09,7.51,50.27,卧龙电驱,否,11.62,否,1,False,0.97,83.79,785.28亿
11,5671.22亿,0.80,536.00,217.40亿,4179.61万,SZ,300308,501.00,0.96,71.34,25.48,513.00,中际旭创,否,3.78,否,0,False,4.06,83.72,5700.04亿
