SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IFSTSTOCK{2025-10-29},IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-29},TOAL_MARKET_VALUE<140>
1,560.44亿,10.66,133.00,13.48亿,1056.13万,SZ,301200,119.00,1.05,86.32,10.05,133.00,大族数控,否,否,2.51,0,False,12.81,95.94,565.93亿
2,1509.03亿,2.85,197.10,75.98亿,4005.49万,SZ,300394,182.75,0.89,84.07,32.26,194.50,天孚通信,否,否,5.16,0,False,5.39,95.18,1512.07亿
3,633.63亿,0.09,56.85,4.74亿,855.45万,SZ,002294,54.45,1.47,81.85,7.22,56.85,信立泰,否,否,0.77,0,False,0.05,94.23,633.77亿
4,1207.89亿,1.21,146.56,8.12亿,559.24万,SH,688271,143.04,1.26,80.87,5.83,146.56,联影医疗,否,否,0.68,1,False,1.75,92.23,1207.89亿
5,453.85亿,2.53,40.17,23.26亿,5873.21万,SZ,300748,38.60,0.88,80.34,7.87,40.14,金力永磁,否,否,5.19,0,False,0.99,90.57,552.16亿
6,1755.52亿,2.64,155.50,49.88亿,3272.99万,SH,688008,149.00,0.88,75.73,14.48,153.30,澜起科技,否,否,2.86,1,False,3.94,88.77,1755.52亿
7,720.98亿,0.97,54.36,5.01亿,927.24万,SH,688396,53.56,0.84,106.40,3.18,54.31,华润微,否,否,0.70,1,False,0.52,87.83,720.98亿
8,1564.20亿,0.15,339.69,37.32亿,1119.25万,SH,688111,327.14,1.10,99.55,12.90,337.71,金山办公,否,否,2.42,1,False,0.50,87.70,1564.20亿
9,1873.33亿,1.47,51.83,68.43亿,1.34亿,SH,600111,50.20,0.83,91.15,7.84,51.82,北方稀土,否,否,3.70,1,False,0.75,87.53,1873.33亿
10,1066.76亿,5.51,396.82,79.06亿,2062.73万,SZ,300033,362.50,2.01,129.43,27.74,387.20,同花顺,否,否,7.49,0,False,20.22,87.52,2081.59亿
