SERIAL,CIRCULATION_MARKET_VALUE<140>,VOLUME{2025-10-29},CHG,TRADING_VOLUMES{2025-10-29},PCHG{2025-10-29},BOTTOM_PRICE<140>{2025-10-29},PEAK_PRICE<140>{2025-10-29},MARKET_SHORT_NAME,SECURITY_CODE,QRR{2025-10-29},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IFSTSTOCK{2025-10-29},IF_DELISTING,MARKET_NUM,IN_OPTIONAL,TURNOVER_RATE{2025-10-29},PETTM{2025-10-29},PE_DYNAMIC{2025-10-29},TOAL_MARKET_VALUE<140>{2025-10-29}
1,560.44亿,1056.13万,10.66,13.48亿,12.81,119.00,133.00,SZ,301200,1.05,10.05,133.00,大族数控,否,否,0,False,2.51,95.94,86.32,565.93亿
2,1509.03亿,4005.49万,2.85,75.98亿,5.39,182.75,197.10,SZ,300394,0.89,32.26,194.50,天孚通信,否,否,0,False,5.16,95.18,77.39,1512.07亿
3,633.63亿,855.45万,0.09,4.74亿,0.05,54.45,56.85,SZ,002294,1.47,7.22,56.85,信立泰,否,否,0,False,0.77,94.23,81.85,633.77亿
4,1207.89亿,559.24万,1.21,8.12亿,1.75,143.04,146.56,SH,688271,1.26,5.83,146.56,联影医疗,否,否,1,False,0.68,92.23,80.87,1207.89亿
5,453.85亿,5873.21万,2.53,23.26亿,0.99,38.60,40.17,SZ,300748,0.88,7.87,40.14,金力永磁,否,否,0,False,5.19,90.57,80.34,552.16亿
6,1755.52亿,3272.99万,2.64,49.88亿,3.94,149.00,155.50,SH,688008,0.88,14.48,153.30,澜起科技,否,否,1,False,2.86,88.77,75.73,1755.52亿
7,720.98亿,927.24万,0.97,5.01亿,0.52,53.56,54.36,SH,688396,0.84,3.18,54.31,华润微,否,否,1,False,0.70,87.83,106.40,720.98亿
8,1564.20亿,1119.25万,0.15,37.32亿,0.50,327.14,339.69,SH,688111,1.10,12.90,337.71,金山办公,否,否,1,False,2.42,87.70,99.55,1564.20亿
9,1873.33亿,1.34亿,1.47,68.43亿,0.75,50.20,51.83,SH,600111,0.83,7.84,51.82,北方稀土,否,否,1,False,3.70,87.53,91.15,1873.33亿
10,1066.76亿,2062.73万,5.51,79.06亿,20.22,362.50,396.82,SZ,300033,2.01,27.74,387.20,同花顺,否,否,0,False,7.49,87.52,129.43,2081.59亿
11,449.24亿,5544.30万,4.96,50.00亿,4.37,86.85,92.52,SZ,300604,1.05,15.42,92.52,长川科技,否,否,0,False,11.42,86.99,50.55,583.31亿
12,5756.56亿,4172.71万,1.50,216.71亿,7.72,506.16,542.01,SZ,300308,1.03,25.86,520.72,中际旭创,否,否,0,False,3.77,84.98,72.41,5785.82亿
13,447.64亿,8511.09万,0.98,46.11亿,0.54,53.00,55.99,SZ,002402,0.90,9.78,55.55,和而泰,否,否,0,False,10.56,83.97,63.91,513.73亿
14,336.78亿,3227.17万,11.09,18.49亿,5.94,54.48,59.68,SZ,300347,3.57,2.42,59.48,泰格医药,否,否,0,False,5.70,83.66,37.64,512.14亿
15,2899.14亿,6880.75万,3.67,233.59亿,12.00,328.28,346.55,SZ,300476,1.20,19.45,339.00,胜宏科技,否,否,0,False,8.05,81.18,68.20,2950.48亿
16,780.12亿,1.21亿,-0.66,59.85亿,-0.33,49.07,50.41,SH,600580,0.92,7.29,49.94,卧龙电驱,否,否,1,False,7.72,80.16,71.48,780.12亿
17,1672.31亿,4724.35万,0.73,54.07亿,0.83,112.80,116.60,SH,603019,0.97,7.95,114.33,中科曙光,否,否,1,False,3.23,79.80,131.42,1672.78亿
18,807.90亿,1002.92万,-0.41,19.11亿,-0.79,189.00,192.74,SH,603893,1.10,19.02,191.99,瑞芯微,否,否,1,False,2.38,79.02,77.75,808.12亿
19,601.59亿,1729.42万,-0.68,29.95亿,-1.20,168.30,178.98,SZ,300857,1.08,16.59,174.31,协创数据,否,否,0,False,5.01,78.76,64.83,603.32亿
20,502.48亿,1.06亿,-2.55,39.58亿,-0.97,36.45,38.23,SZ,300115,0.97,6.19,37.03,长盈精密,否,否,0,False,7.84,78.22,80.77,503.94亿
21,598.09亿,3367.35万,0.82,4.13亿,0.10,12.18,12.39,SH,600372,0.97,1.58,12.36,中航机载,否,否,1,False,0.70,76.74,45.33,598.09亿
22,954.10亿,3920.54万,9.13,45.17亿,9.60,110.02,122.00,SH,688183,1.35,18.50,114.70,生益电子,否,否,1,False,4.71,75.71,64.20,954.10亿
23,75.26亿,812.55万,2.58,6.29亿,1.98,75.67,79.00,SZ,301165,0.71,12.64,78.84,锐捷网络,否,否,0,False,8.51,74.41,69.12,627.14亿
24,106.33亿,622.34万,13.21,16.77亿,32.71,250.00,284.98,SH,688411,1.50,12.37,280.30,海博思创,否,否,1,False,16.41,74.04,79.91,504.80亿
25,681.65亿,5605.28万,0.22,12.85亿,0.05,22.46,23.58,SH,600673,1.02,7.02,22.71,东阳光,否,否,1,False,1.87,70.60,56.61,683.47亿
26,795.60亿,5171.25万,5.64,42.09亿,4.35,79.51,83.33,SH,603228,1.33,6.54,81.54,景旺电子,否,否,1,False,5.30,69.10,61.81,802.99亿
27,676.78亿,1.11亿,1.04,49.42亿,0.46,43.75,45.25,SZ,002156,1.01,4.46,44.60,通富微电,否,否,0,False,7.32,68.68,58.99,676.85亿
28,720.91亿,1744.00万,-0.42,4.52亿,-0.11,25.85,26.05,SZ,000768,0.86,3.37,26.00,中航西飞,否,否,0,False,0.63,68.53,54.65,723.10亿
29,3595.58亿,5635.78万,-1.10,231.19亿,-4.52,399.31,433.33,SZ,300502,1.21,33.30,406.10,新易盛,否,否,0,False,6.37,68.24,47.85,4036.52亿
30,1514.92亿,863.41万,1.58,19.51亿,3.55,220.00,233.11,SZ,002916,0.74,9.98,227.80,深南电路,否,否,0,False,1.30,67.50,48.98,1518.84亿
31,834.71亿,313.73万,2.52,5.87亿,4.70,183.11,191.40,SH,688082,0.77,7.25,191.40,盛美上海,否,否,1,False,0.72,65.34,54.41,918.51亿
32,692.73亿,4541.36万,-0.36,20.28亿,-0.16,44.20,45.20,SH,600895,0.62,5.25,44.73,张江高科,否,否,1,False,2.93,63.83,93.83,692.73亿
33,1762.41亿,2253.99万,-1.16,14.46亿,-0.75,63.80,64.85,SH,600760,0.92,8.42,64.13,中航沈飞,否,否,1,False,0.82,62.44,100.15,1818.15亿
34,48.74亿,1604.39万,0.41,4.66亿,0.12,28.79,29.27,SZ,301656,0.61,7.60,29.21,联合动力,否,否,0,False,9.61,60.79,66.52,702.44亿
