SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,TRADING_VOLUMES{2025-10-30},TOAL_MARKET_VALUE<140>{2025-10-30},MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>{2025-10-30},TURNOVER_RATE{2025-10-30},PE_DYNAMIC{2025-10-30},VOLUME{2025-10-30},PETTM{2025-10-30},PEAK_PRICE<140>{2025-10-30},QRR{2025-10-30},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,MARKET_NUM,IN_OPTIONAL,PCHG{2025-10-30},IFSTSTOCK{2025-10-30}
1,1878.69亿,1.14,65.03亿,1878.69亿,SH,688012,293.02,3.42,116.33,2138.37万,98.16,314.80,1.40,8.75,300.04,中微公司,否,1,False,3.38,否
2,475.67亿,4.81,52.06亿,578.71亿,SZ,300748,39.61,11.01,84.20,1.24亿,94.93,44.14,1.90,8.25,42.07,金力永磁,否,0,False,1.93,否
3,618.58亿,-2.37,3.94亿,618.72亿,SZ,002294,54.52,0.64,79.91,710.44万,92.00,56.85,1.06,7.05,55.50,信立泰,否,0,False,-1.35,否
4,526.73亿,-6.02,13.35亿,531.89亿,SZ,301200,122.51,2.52,81.13,1063.83万,90.17,129.85,1.03,9.45,125.00,大族数控,否,0,False,-8.00,否
5,427.59亿,-0.25,20.68亿,722.81亿,SH,688249,35.98,4.75,98.53,5637.55万,89.89,37.70,1.24,3.38,36.03,晶合集成,否,1,False,-0.09,否
6,1598.15亿,2.17,50.43亿,1598.15亿,SH,688111,332.99,3.12,101.71,1444.98万,89.60,358.00,1.27,13.18,345.04,金山办公,否,1,False,7.33,否
7,1915.98亿,2.28,141.40亿,1915.98亿,SH,600111,50.71,7.35,93.23,2.66亿,89.52,55.50,1.67,8.02,53.00,北方稀土,否,1,False,1.18,否
8,1740.63亿,-0.85,67.57亿,1740.63亿,SH,688008,151.21,3.82,79.98,4369.12万,88.01,158.88,1.13,14.36,152.00,澜起科技,否,1,False,-1.30,否
9,710.10亿,-1.51,4.86亿,710.10亿,SH,688396,53.32,0.68,101.34,903.12万,86.50,54.49,0.82,3.13,53.49,华润微,否,1,False,-0.82,否
10,453.76亿,1.37,50.34亿,520.76亿,SZ,002402,54.51,11.05,64.78,8900.72万,85.12,58.00,0.88,9.91,56.31,和而泰,否,0,False,0.76,否
11,5690.45亿,-1.15,236.00亿,5719.37亿,SZ,300308,509.00,4.10,60.15,4533.10万,84.01,538.00,1.10,25.56,514.74,中际旭创,否,0,False,-5.98,否
12,334.58亿,-0.66,14.21亿,508.78亿,SZ,300347,58.58,4.23,37.39,2394.84万,83.11,60.05,1.68,2.40,59.09,泰格医药,否,0,False,-0.39,否
13,1011.33亿,-5.20,58.52亿,1973.42亿,SZ,300033,366.80,5.69,122.70,1568.16万,82.97,384.00,1.16,26.30,367.08,同花顺,否,0,False,-20.12,否
14,2810.19亿,-3.07,183.66亿,2859.97亿,SZ,300476,319.80,6.54,66.10,5589.54万,78.69,340.00,0.87,18.85,328.60,胜宏科技,否,0,False,-10.40,否
15,759.81亿,-2.60,54.98亿,759.81亿,SH,600580,48.50,7.12,69.62,1.11亿,78.07,50.76,0.86,7.10,48.64,卧龙电驱,否,1,False,-1.30,否
16,1618.49亿,-3.22,64.68亿,1618.94亿,SH,603019,110.33,3.93,125.68,5753.17万,77.23,115.33,1.20,7.69,110.65,中科曙光,否,1,False,-3.68,否
17,778.99亿,-3.58,20.08亿,779.21亿,SH,603893,185.01,2.56,74.96,1076.25万,76.19,192.15,1.10,18.34,185.12,瑞芯微,否,1,False,-6.87,否
18,935.30亿,-1.97,35.07亿,935.30亿,SH,688183,111.66,3.71,62.93,3083.20万,74.22,116.54,0.91,18.13,112.44,生益电子,否,1,False,-2.26,否
19,1334.62亿,-11.56,103.53亿,1337.31亿,SZ,300394,171.46,7.56,68.45,5863.83万,72.98,185.00,1.37,27.41,172.02,天孚通信,否,0,False,-22.48,否
20,272.79亿,8.24,20.42亿,537.51亿,SZ,301358,65.50,7.64,62.48,2949.87万,71.85,72.48,1.23,4.38,70.65,湖南裕能,否,0,False,5.38,否
21,71.97亿,-4.36,6.27亿,599.77亿,SZ,301165,75.40,8.60,66.11,820.49万,71.17,78.78,0.84,12.09,75.40,锐捷网络,否,0,False,-3.44,否
22,588.89亿,-1.54,4.65亿,588.89亿,SH,600372,12.16,0.79,44.63,3803.07万,71.16,12.40,1.05,1.54,12.17,中航机载,否,1,False,-0.19,否
23,575.61亿,-4.32,27.19亿,577.26亿,SZ,300857,164.85,4.68,62.03,1613.68万,69.32,174.56,0.93,14.69,166.78,协创数据,否,0,False,-7.53,否
24,678.00亿,0.18,63.16亿,678.06亿,SZ,002156,44.15,9.19,59.10,1.39亿,68.80,46.34,1.19,4.47,44.68,通富微电,否,0,False,0.08,否
25,663.64亿,-2.64,10.41亿,665.41亿,SH,600673,21.91,1.56,55.11,4686.21万,68.74,22.72,0.80,6.83,22.11,东阳光,否,1,False,-0.60,否
26,1162.31亿,-3.77,18.98亿,1162.31亿,SH,688271,141.01,1.57,77.82,1291.33万,67.93,154.90,2.71,5.59,141.03,联影医疗,否,1,False,-5.53,否
