SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,IFSTSTOCK{2025-11-13},TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,PETTM{2025-11-13},BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
1,1702.33亿,3.31,47.23,否,32.45亿,6979.87万,SH,600111,上交所主板,79.54,45.41,1.58,82.83,7.13,47.09,北方稀土,否,1.93,1,False,1.51,1702.33亿
2,437.64亿,0.59,5.09,否,2.49亿,4893.44万,SH,601162,上交所主板,77.71,5.06,0.65,251.15,1.87,5.09,天风证券,否,0.57,1,False,0.03,512.77亿
3,1553.98亿,1.63,106.38,否,16.20亿,1545.05万,SH,603019,上交所主板,73.75,103.58,0.66,120.67,7.38,106.24,中科曙光,否,1.06,1,False,1.70,1554.41亿
4,588.89亿,0.08,12.21,否,1.16亿,953.51万,SH,600372,上交所主板,71.16,12.13,0.72,44.63,1.54,12.17,中航机载,否,0.20,1,False,0.01,588.89亿
5,719.95亿,2.09,171.60,否,7.27亿,429.17万,SH,603893,上交所主板,70.41,167.00,1.36,69.28,16.95,171.09,瑞芯微,否,1.02,1,False,3.50,720.15亿
6,650.00亿,1.19,41.65,否,13.56亿,3288.12万,SH,600580,上交所主板,66.79,40.78,0.92,59.55,6.07,41.61,卧龙电驱,否,2.10,1,False,0.49,650.00亿
7,628.53亿,2.90,20.95,否,3.19亿,1545.19万,SH,600673,上交所主板,65.10,20.15,0.89,52.20,6.47,20.94,东阳光,否,0.51,1,False,0.59,630.20亿
8,695.40亿,-0.08,25.12,否,1.20亿,477.75万,SZ,000768,深交所主板,65.06,24.95,0.68,52.72,3.20,25.08,中航西飞,否,0.17,0,False,-0.02,697.51亿
9,1828.90亿,1.60,15.96,否,4.41亿,2785.13万,SH,600104,上交所主板,63.95,15.66,1.28,16.93,0.62,15.91,上汽集团,否,0.24,1,False,0.25,1828.90亿
10,604.86亿,2.65,40.16,否,16.89亿,4248.26万,SZ,002156,深交所主板,61.38,39.33,1.32,52.72,3.98,39.86,通富微电,否,2.80,0,False,1.03,604.91亿
11,1609.06亿,0.39,58.80,否,2.93亿,501.65万,SH,600760,上交所主板,56.50,58.03,0.70,91.44,7.61,58.55,中航沈飞,否,0.18,1,False,0.23,1659.95亿
12,4042.37亿,2.05,63.59,否,19.24亿,3054.79万,SH,600276,上交所主板,56.32,62.23,1.79,54.85,7.07,63.37,恒瑞医药,否,0.48,1,False,1.27,4205.99亿
13,603.21亿,1.96,39.00,否,6.95亿,1806.94万,SH,600895,上交所主板,55.44,37.90,0.86,73.38,4.52,38.95,张江高科,否,1.17,1,False,0.75,603.21亿
