CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,PETTMDEDUCTED{2025-12-24},MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,IFSTSTOCK{2025-12-24},TOAL_MARKET_VALUE<140>
896.56亿,1,-1.40,46.98,15.30亿,3356.42万,48.91|2025-12-24,SZ,002558,深交所主板,44.59,0.98,47.46,5.91,46.34,巨人网络,否,1.73,0,False,-0.66,否,896.56亿
1660.84亿,2,0.45,45.39,40.11亿,8891.28万,47.99|2025-12-24,SZ,002050,深交所主板,44.65,0.73,43.88,6.00,45.08,三花智控,否,2.41,0,False,0.20,否,1896.97亿
1202.23亿,3,-0.37,69.49,12.12亿,1754.38万,47.68|2025-12-24,SH,601689,上交所主板,68.20,0.59,45.85,5.17,69.18,拓普集团,否,1.01,1,False,-0.26,否,1202.23亿
975.44亿,4,2.31,67.05,39.11亿,5908.89万,47.35|2025-12-24,SZ,000977,深交所主板,64.61,1.24,49.42,4.64,66.50,浪潮信息,否,4.03,0,False,1.50,否,976.54亿
819.78亿,5,0.89,4.53,11.48亿,2.56亿,47.15|2025-12-24,SZ,000100,深交所主板,4.44,0.70,23.20,1.55,4.53,TCL科技,否,1.41,0,False,0.04,否,942.28亿
913.35亿,6,-0.22,150.63,6.07亿,406.37万,46.65|2025-12-24,SZ,002028,深交所主板,147.25,0.61,40.06,8.10,149.86,思源电气,否,0.67,0,False,-0.33,否,1170.54亿
1024.49亿,7,-0.11,170.46,3.23亿,190.55万,46.22|2025-12-24,SH,600436,上交所主板,169.00,1.11,36.08,7.08,169.81,片仔癀,否,0.32,1,False,-0.19,否,1024.49亿
2511.30亿,8,0.27,33.44,11.22亿,3367.65万,45.81|2025-12-24,SH,600150,上交所主板,33.11,0.82,32.19,1.78,33.37,中国船舶,否,0.45,1,False,0.09,否,2511.30亿
1.29万亿,9,3.63,66.00,141.25亿,2.18亿,42.64|2025-12-24,SH,601138,上交所主板,63.59,1.31,43.14,8.01,65.14,工业富联,否,1.10,1,False,2.28,否,1.29万亿
935.48亿,10,-0.06,62.17,1.72亿,277.47万,42.62|2025-12-24,SZ,002304,深交所主板,61.84,0.86,17.65,1.93,62.10,洋河股份,否,0.18,0,False,-0.04,否,935.50亿
909.84亿,11,4.09,29.01,35.23亿,1.23亿,42.58|2025-12-24,SZ,002241,深交所主板,27.80,1.69,29.79,2.82,28.99,歌尔股份,否,3.93,0,False,1.14,否,1027.88亿
1407.69亿,12,2.51,73.95,47.84亿,6587.31万,41.24|2025-12-24,SZ,002463,深交所主板,71.00,1.05,38.88,10.10,73.21,沪电股份,否,3.43,0,False,1.79,否,1408.83亿
985.43亿,13,0.51,11.95,7.60亿,6390.14万,40.44|2025-12-24,SZ,000625,深交所主板,11.84,0.57,29.03,1.54,11.93,长安汽车,否,0.77,0,False,0.06,否,1182.75亿
1529.90亿,14,1.05,126.90,13.83亿,1096.79万,40.01|2025-12-24,SH,603501,上交所主板,125.05,0.93,35.74,5.57,126.50,豪威集团,否,0.91,1,False,1.31,否,1529.90亿
1448.67亿,15,-1.55,41.70,21.84亿,5395.44万,38.15|2025-12-24,SH,600547,上交所主板,39.71,1.04,35.03,6.07,40.08,山东黄金,否,1.49,1,False,-0.63,否,1847.66亿
1247.22亿,16,-0.43,80.77,13.99亿,1776.20万,36.08|2025-12-24,SZ,000408,深交所主板,76.77,1.10,34.01,8.25,79.43,藏格矿业,否,1.13,0,False,-0.34,否,1247.23亿
1432.90亿,17,0.97,278.99,3.84亿,138.83万,34.62|2025-12-24,SH,605499,上交所主板,271.60,0.93,28.57,16.29,275.55,东鹏饮料,否,0.27,1,False,2.65,否,1432.90亿
2076.88亿,18,-1.14,37.78,4.10亿,1094.67万,33.06|2025-12-24,SH,603288,上交所主板,37.35,0.80,30.80,5.53,37.35,海天味业,否,0.20,1,False,-0.43,否,2185.66亿
4309.95亿,19,2.14,59.62,54.04亿,9185.93万,32.93|2025-12-24,SZ,002475,深交所主板,57.61,1.30,28.13,5.42,59.29,立讯精密,否,1.26,0,False,1.24,否,4319.72亿
1490.27亿,20,0.50,4.07,21.14亿,5.24亿,32.26|2025-12-24,SZ,000725,深交所主板,4.00,0.88,24.76,1.14,4.06,京东方Ａ,否,1.43,0,False,0.02,否,1519.00亿
1220.97亿,21,4.67,53.87,24.04亿,4614.18万,31.86|2025-12-24,SZ,002938,深交所主板,50.38,1.69,38.18,3.75,52.87,鹏鼎控股,否,2.00,0,False,2.36,否,1225.55亿
1807.21亿,22,0.05,120.38,15.32亿,1284.79万,31.70|2025-12-24,SH,601127,上交所主板,118.71,0.87,29.44,7.64,119.70,赛力斯,否,0.85,1,False,0.06,否,2085.16亿
1168.21亿,23,0.57,23.40,41.53亿,1.81亿,30.72|2025-12-24,SH,600089,上交所主板,22.50,1.26,15.98,1.70,23.12,特变电工,否,3.57,1,False,0.13,否,1168.21亿
1156.36亿,24,-2.58,17.65,25.51亿,1.49亿,30.18|2025-12-24,SZ,002602,深交所主板,16.85,1.21,21.58,4.18,17.01,世纪华通,否,2.20,0,False,-0.45,否,1253.97亿
1431.75亿,25,1.90,20.44,5.75亿,2864.05万,30.03|2025-12-24,SH,600346,上交所主板,19.58,0.99,21.38,2.22,20.34,恒力石化,否,0.41,1,False,0.38,否,1431.75亿
1170.66亿,26,1.65,9.32,7.82亿,8477.69万,28.02|2025-12-24,SZ,000617,深交所主板,9.05,0.98,21.97,1.12,9.26,中油资本,否,0.67,0,False,0.15,否,1170.66亿
1367.28亿,27,-0.32,22.14,2.17亿,988.95万,27.45|2025-12-24,SH,601633,上交所主板,21.94,0.95,16.37,2.19,22.02,长城汽车,否,0.16,1,False,-0.07,否,1884.44亿
1264.41亿,28,1.96,68.66,48.47亿,7208.63万,26.70|2025-12-24,SH,603799,上交所主板,66.60,0.96,22.64,2.67,67.11,华友钴业,否,3.83,1,False,1.29,否,1272.47亿
1514.44亿,29,0.77,28.94,25.34亿,8868.83万,26.00|2025-12-24,SZ,000792,深交所主板,28.33,0.76,25.23,3.69,28.62,盐湖股份,否,1.68,0,False,0.22,否,1514.45亿
1009.71亿,30,-0.24,37.80,5.86亿,1566.16万,25.77|2025-12-24,SH,600160,上交所主板,37.21,0.74,23.31,4.94,37.40,巨化股份,否,0.58,1,False,-0.09,否,1009.71亿
3292.65亿,31,-0.41,94.80,18.19亿,1928.10万,25.11|2025-12-24,SZ,002594,深交所主板,94.05,0.78,27.67,3.92,94.42,比亚迪,否,0.55,0,False,-0.39,否,8608.46亿
1183.53亿,32,0.49,4.14,2.57亿,6236.70万,25.11|2025-12-24,SH,600905,上交所主板,4.10,0.89,20.58,1.33,4.14,三峡能源,否,0.22,1,False,0.02,否,1183.53亿
1762.67亿,33,0.58,20.90,6.57亿,3163.22万,24.48|2025-12-24,SH,600031,上交所主板,20.56,0.63,20.10,2.61,20.80,三一重工,否,0.37,1,False,0.12,否,1912.56亿
1843.15亿,34,0.22,23.14,6.23亿,2708.79万,24.06|2025-12-24,SH,600406,上交所主板,22.75,0.93,28.60,3.76,23.05,国电南瑞,否,0.34,1,False,0.05,否,1851.40亿
1817.69亿,35,-0.17,28.99,8.54亿,2962.13万,24.02|2025-12-24,SH,600887,上交所主板,28.70,0.77,13.14,3.43,28.88,伊利股份,否,0.47,1,False,-0.05,否,1826.76亿
