code,name,time,macd,signal
688183,生益电子,2025-10-27 10:00:00,4.781,4.3559
300476,胜宏科技,2025-10-27 14:30:00,11.7749,10.8357
688271,联影医疗,2025-10-27 10:00:00,1.2348,0.7789
688396,华润微,2025-10-27 14:30:00,0.3528,0.3476
688008,澜起科技,2025-10-27 10:00:00,2.6963,2.696
688008,澜起科技,2025-10-27 11:30:00,2.6315,2.627
688111,金山办公,2025-10-27 13:30:00,2.4026,2.3001
688111,金山办公,2025-10-27 14:30:00,2.4662,2.3448
002402,和而泰,2025-10-27 14:30:00,0.4854,0.4792
300115,长盈精密,2025-10-27 14:00:00,0.2821,0.2537
301165,锐捷网络,2025-10-27 13:30:00,0.387,0.3617
301165,锐捷网络,2025-10-27 15:00:00,0.3281,0.3208
300857,协创数据,2025-10-27 13:30:00,3.2828,2.6301
688082,盛美上海,2025-10-27 14:30:00,1.7577,1.7045
301656,联合动力,2025-10-27 13:30:00,-0.2069,-0.2094
600760,中航沈飞,2025-10-27 13:30:00,0.1611,0.1158
002050,三花智控,2025-10-27 14:00:00,0.0993,0.0903
300316,晶盛机电,2025-10-27 15:00:00,-0.3426,-0.3632
600150,中国船舶,2025-10-27 10:00:00,0.2218,0.129
300413,芒果超媒,2025-10-27 10:30:00,-0.1295,-0.1433
300413,芒果超媒,2025-10-27 14:30:00,-0.1008,-0.1201
000938,紫光股份,2025-10-27 14:30:00,0.1935,0.18
600584,长电科技,2025-10-27 14:00:00,0.388,0.3808
600570,恒生电子,2025-10-27 11:30:00,0.206,0.1956
688120,华海清科,2025-10-27 10:00:00,1.8748,1.5495
688120,华海清科,2025-10-27 13:30:00,1.6499,1.5589
601100,恒立液压,2025-10-27 13:30:00,0.4982,0.4666
603486,科沃斯,2025-10-27 10:00:00,0.9349,0.547
300014,亿纬锂能,2025-10-27 15:00:00,-0.5028,-0.5843
601689,拓普集团,2025-10-27 14:00:00,-0.1187,-0.1262
002241,歌尔股份,2025-10-27 10:00:00,0.4334,0.386
300124,汇川技术,2025-10-27 13:30:00,-0.1665,-0.1901
000977,浪潮信息,2025-10-27 14:30:00,0.5148,0.4961
600845,宝信软件,2025-10-27 10:00:00,0.033,0.0314
600845,宝信软件,2025-10-27 15:00:00,0.0213,0.0208
300207,欣旺达,2025-10-27 10:00:00,0.4206,0.4147
600547,山东黄金,2025-10-27 14:30:00,-0.0338,-0.0546
000426,兴业银锡,2025-10-27 13:30:00,-0.0128,-0.0209
000100,TCL科技,2025-10-27 10:00:00,0.0077,0.0064
601231,环旭电子,2025-10-27 10:00:00,0.971,0.8072
002304,洋河股份,2025-10-27 10:30:00,-0.0741,-0.0873
603288,海天味业,2025-10-27 15:00:00,0.0176,0.008
300015,爱尔眼科,2025-10-27 10:00:00,0.0112,0.0037
002920,德赛西威,2025-10-27 10:00:00,1.1674,1.1229
002475,立讯精密,2025-10-27 10:30:00,1.0697,1.0652
002475,立讯精密,2025-10-27 14:30:00,0.8922,0.8827
001391,国货航,2025-10-27 10:00:00,0.0043,0.0038
002517,恺英网络,2025-10-27 14:30:00,-0.0939,-0.1106
300760,迈瑞医疗,2025-10-27 14:00:00,0.4421,0.4283
300750,宁德时代,2025-10-27 14:30:00,1.6877,1.5561
603296,华勤技术,2025-10-27 14:30:00,1.2209,1.2008
600482,中国动力,2025-10-27 15:00:00,0.1761,0.1706
688578,艾力斯,2025-10-27 10:00:00,1.4081,0.9313
600031,三一重工,2025-10-27 10:00:00,0.1316,0.085
002179,中航光电,2025-10-27 11:30:00,0.1172,0.116
002179,中航光电,2025-10-27 15:00:00,0.096,0.0911
000792,盐湖股份,2025-10-27 10:00:00,0.3525,0.2976
600160,巨化股份,2025-10-27 14:00:00,0.0751,0.0734
000725,京东方Ａ,2025-10-27 10:00:00,0.0084,0.0063
000725,京东方Ａ,2025-10-27 15:00:00,0.0073,0.0073
002415,海康威视,2025-10-27 10:00:00,0.1028,0.0513
002594,比亚迪,2025-10-27 10:00:00,0.2804,0.1735
601061,中信金属,2025-10-27 11:30:00,0.069,0.0687
