SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-17},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-17},TOAL_MARKET_VALUE<140>
1,937.13亿,-4.24,358.34,25.79亿,742.85万,SZ,300033,339.10,0.97,182.19,26.88,340.15,同花顺,否,2.70,否,0,False,-15.07,93.19,1828.65亿
2,1639.94亿,-4.55,276.00,44.29亿,1669.11万,SH,688012,260.28,0.78,116.16,7.86,261.91,中微公司,否,2.67,否,1,False,-12.49,90.86,1639.94亿
3,1185.88亿,-2.47,148.88,6.96亿,480.37万,SH,688271,143.20,0.72,59.41,5.72,143.89,XD联影医,否,0.58,否,1,False,-3.64,90.55,1185.88亿
4,825.28亿,-5.03,63.00,29.44亿,4889.44万,SZ,002384,59.00,0.85,71.92,5.22,59.53,东山精密,否,3.53,否,0,False,-3.15,84.98,1090.36亿
5,678.50亿,-5.25,53.95,7.10亿,1362.48万,SH,688396,50.93,0.68,100.13,2.99,51.11,XD华润微,否,1.03,否,1,False,-2.83,82.65,678.50亿
6,1378.38亿,-2.61,306.80,21.06亿,702.20万,SH,688111,296.23,0.44,92.24,11.85,297.59,金山办公,否,1.52,否,1,False,-7.96,82.50,1378.38亿
7,773.26亿,-4.31,191.94,17.27亿,925.06万,SH,603893,183.70,0.77,72.81,19.50,183.76,瑞芯微,否,2.20,否,1,False,-8.27,82.00,773.48亿
8,610.52亿,-5.35,21.47,10.84亿,5247.99万,SH,600673,20.22,1.27,49.96,6.48,20.34,东阳光,否,1.75,否,1,False,-1.15,80.42,612.14亿
9,1580.31亿,-4.56,145.45,53.66亿,3820.19万,SH,688008,137.81,0.80,68.17,13.04,138.00,澜起科技,否,3.34,否,1,False,-6.60,79.91,1580.31亿
10,2218.05亿,-2.87,267.49,89.84亿,3454.43万,SZ,300476,253.40,0.76,52.20,20.42,259.36,胜宏科技,否,4.04,否,0,False,-7.67,78.82,2237.47亿
11,402.19亿,-2.55,85.51,30.43亿,3639.89万,SZ,300604,82.44,0.61,61.15,13.80,82.83,长川科技,否,7.50,否,0,False,-2.17,77.88,522.21亿
12,80.66亿,1.44,87.08,7.70亿,907.15万,SZ,301165,82.63,1.46,74.33,14.25,84.50,锐捷网络,否,9.50,否,0,False,1.20,77.04,672.16亿
13,588.32亿,-9.46,41.50,68.74亿,1.72亿,SZ,002156,38.68,0.76,71.39,3.99,38.77,通富微电,否,11.35,否,0,False,-4.05,76.71,588.37亿
14,594.22亿,-3.23,12.75,5.37亿,4307.08万,SH,600372,12.26,1.12,46.29,1.57,12.28,中航机载,否,0.89,否,1,False,-0.41,76.24,594.22亿
15,705.61亿,-0.92,47.00,48.09亿,1.05亿,SH,600580,44.98,0.84,65.67,6.75,45.17,卧龙电驱,否,6.71,否,1,False,-0.42,75.29,705.61亿
16,571.96亿,-5.12,72.66,7.53亿,1081.05万,SH,688183,68.51,0.90,53.91,12.64,68.76,生益电子,否,1.30,否,1,False,-3.71,74.63,571.96亿
17,1532.19亿,-2.63,108.19,47.02亿,4441.07万,SH,603019,103.70,0.69,120.41,7.28,104.75,中科曙光,否,3.04,否,1,False,-2.83,73.11,1532.61亿
18,1137.32亿,-2.76,151.70,24.12亿,1629.07万,SZ,300394,146.20,0.68,63.37,24.31,146.59,天孚通信,否,2.10,否,0,False,-4.16,71.74,1139.61亿
19,707.60亿,-2.78,26.33,6.67亿,2582.50万,SZ,000768,25.47,0.95,51.51,3.31,25.52,中航西飞,否,0.93,否,0,False,-0.73,67.26,709.75亿
20,512.00亿,-4.67,157.00,15.75亿,1046.12万,SZ,300857,147.80,0.62,59.42,14.12,148.35,协创数据,否,3.03,否,0,False,-7.26,67.03,513.47亿
21,1774.50亿,-3.83,67.99,21.40亿,3245.73万,SH,600760,64.42,0.84,80.54,8.48,64.57,中航沈飞,否,1.18,否,1,False,-2.57,62.86,1830.62亿
22,675.38亿,-6.05,46.68,28.78亿,6452.34万,SH,600895,43.50,0.68,91.48,5.11,43.61,XD张江高,否,4.17,否,1,False,-2.81,62.23,675.38亿
23,4130.15亿,1.81,381.91,173.59亿,4676.36万,SZ,300308,360.00,1.17,51.95,18.55,373.60,中际旭创,否,4.23,否,0,False,6.63,60.97,4151.14亿
24,767.55亿,-2.09,183.76,6.75亿,379.40万,SH,688082,173.97,0.71,60.70,6.66,176.00,盛美上海,否,0.87,否,1,False,-3.76,60.08,844.61亿
25,105.25亿,-0.64,22.37,7.13亿,3221.09万,SH,601136,21.85,1.25,60.94,4.35,21.86,首创证券,否,6.69,否,1,False,-0.14,59.86,597.51亿
26,674.82亿,-5.66,84.30,23.74亿,2925.56万,SZ,002049,79.23,0.87,48.77,5.31,79.44,紫光国微,否,3.44,否,0,False,-4.77,59.53,674.94亿
27,1299.97亿,-10.00,60.20,30.95亿,5566.09万,SH,600183,54.29,1.01,46.23,9.28,54.29,生益科技,否,2.32,否,1,False,-6.03,59.07,1318.85亿
28,4152.73亿,-2.60,67.40,22.99亿,3495.07万,SH,600276,65.00,0.60,48.55,7.39,65.10,恒瑞医药,否,0.55,否,1,False,-1.74,58.75,4320.82亿
29,1305.77亿,-2.56,201.88,13.52亿,683.27万,SZ,002916,193.00,0.68,48.13,8.60,196.35,深南电路,否,1.03,否,0,False,-5.15,58.18,1309.15亿
