日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1790.98,1797.53,1797.63,1785.57,0.58,10.31,3367263,4717503088.0,0.67,0.25
2025-08-19 09:40:00,1797.39,1801.24,1801.35,1795.8,0.21,3.71,1748224,2272443840.0,0.31,0.13
2025-08-19 09:45:00,1801.07,1799.07,1801.07,1796.22,-0.12,-2.17,1454313,1789859568.0,0.27,0.11
2025-08-19 09:50:00,1799.04,1800.03,1802.03,1797.35,0.05,0.96,1415608,1610183680.0,0.26,0.11
2025-08-19 09:55:00,1799.68,1801.22,1803.19,1799.68,0.07,1.19,1479902,1618595136.0,0.19,0.11
2025-08-19 10:00:00,1800.99,1794.37,1800.99,1794.1,-0.38,-6.85,1058064,1291696249.0,0.38,0.08
2025-08-19 10:05:00,1794.19,1783.33,1794.19,1783.33,-0.62,-11.04,1748532,1756287872.0,0.61,0.13
2025-08-19 10:10:00,1783.17,1788.67,1788.8,1779.96,0.3,5.34,1427265,1486066242.0,0.5,0.11
2025-08-19 10:15:00,1788.87,1783.97,1788.92,1783.52,-0.26,-4.7,653883,817198751.0,0.3,0.05
2025-08-19 10:20:00,1784.25,1780.17,1784.57,1780.17,-0.21,-3.8,665844,869209489.0,0.25,0.05
2025-08-19 10:25:00,1780.27,1781.65,1781.69,1779.75,0.08,1.48,873921,935251196.0,0.11,0.07
2025-08-19 10:30:00,1781.73,1786.6,1787.2,1781.7,0.28,4.95,1423581,1210254191.0,0.31,0.11
2025-08-19 10:35:00,1786.76,1788.71,1789.18,1786.1,0.12,2.11,695224,762396486.0,0.17,0.05
2025-08-19 10:40:00,1788.84,1791.74,1791.89,1788.84,0.17,3.03,685372,763744968.0,0.17,0.05
2025-08-19 10:45:00,1791.88,1789.78,1791.88,1788.68,-0.11,-1.96,515897,600882636.0,0.18,0.04
2025-08-19 10:50:00,1789.66,1791.97,1792.06,1789.14,0.12,2.19,438377,522383809.0,0.16,0.03
2025-08-19 10:55:00,1792.26,1793.35,1794.34,1792.26,0.08,1.38,440063,519362158.0,0.12,0.03
2025-08-19 11:00:00,1793.3,1792.59,1795.01,1792.18,-0.04,-0.76,383496,453338069.0,0.16,0.03
2025-08-19 11:05:00,1792.67,1799.09,1799.34,1792.67,0.36,6.5,471562,561951660.0,0.37,0.04
2025-08-19 11:10:00,1799.23,1800.53,1800.53,1798.73,0.08,1.44,404136,525540825.0,0.1,0.03
2025-08-19 11:15:00,1800.41,1802.25,1802.72,1800.41,0.1,1.72,510193,584948146.0,0.13,0.04
2025-08-19 11:20:00,1802.12,1802.35,1803.5,1800.71,0.01,0.1,477861,580962959.0,0.15,0.04
2025-08-19 11:25:00,1802.47,1804.15,1804.83,1802.44,0.1,1.8,502236,564774220.0,0.13,0.04
2025-08-19 11:30:00,1804.2,1804.2,1804.7,1803.17,0.0,0.05,389823,452532092.0,0.08,0.03
2025-08-19 13:05:00,1804.2,1804.76,1806.78,1803.56,0.03,0.56,800037,901370401.0,0.18,0.06
2025-08-19 13:10:00,1804.62,1806.32,1807.3,1803.65,0.09,1.56,493396,572792787.0,0.2,0.04
2025-08-19 13:15:00,1806.52,1804.2,1806.76,1804.2,-0.12,-2.12,737496,819656360.0,0.14,0.06
2025-08-19 13:20:00,1804.27,1802.64,1805.29,1802.08,-0.09,-1.56,754430,747958080.0,0.18,0.06
2025-08-19 13:25:00,1802.81,1802.06,1803.67,1801.58,-0.03,-0.58,514388,551211476.0,0.12,0.04
2025-08-19 13:30:00,1802.01,1801.93,1802.86,1800.75,-0.01,-0.13,519612,606497370.0,0.12,0.04
2025-08-19 13:35:00,1801.97,1797.78,1802.46,1797.78,-0.23,-4.15,610996,643403657.0,0.26,0.05
2025-08-19 13:40:00,1797.84,1800.24,1800.58,1797.02,0.14,2.46,525702,600343812.0,0.2,0.04
2025-08-19 13:45:00,1800.38,1800.3,1800.51,1799.03,0.0,0.06,382684,427190409.0,0.08,0.03
2025-08-19 13:50:00,1800.15,1798.07,1800.42,1797.42,-0.12,-2.23,664043,596588574.0,0.17,0.05
2025-08-19 13:55:00,1798.07,1794.6,1798.36,1793.58,-0.19,-3.47,579841,665858343.0,0.27,0.04
2025-08-19 14:00:00,1794.52,1794.55,1796.06,1794.26,0.0,-0.05,407593,465725516.0,0.1,0.03
2025-08-19 14:05:00,1794.47,1799.95,1800.07,1794.06,0.3,5.4,452948,494019077.0,0.33,0.03
2025-08-19 14:10:00,1799.78,1799.24,1801.17,1799.24,-0.04,-0.71,487851,474838995.0,0.11,0.04
2025-08-19 14:15:00,1799.41,1798.85,1799.41,1797.97,-0.02,-0.39,360993,378979285.0,0.08,0.03
2025-08-19 14:20:00,1799.0,1798.19,1800.05,1798.19,-0.04,-0.66,364432,454765451.0,0.1,0.03
2025-08-19 14:25:00,1798.09,1795.99,1798.09,1795.94,-0.12,-2.2,425849,503663816.0,0.12,0.03
2025-08-19 14:30:00,1796.12,1795.16,1796.13,1793.22,-0.05,-0.83,669063,639686260.0,0.16,0.05
2025-08-19 14:35:00,1795.24,1797.82,1798.6,1795.24,0.15,2.66,430623,525153392.0,0.19,0.03
2025-08-19 14:40:00,1797.97,1799.01,1799.95,1797.97,0.07,1.19,405463,493712224.0,0.11,0.03
2025-08-19 14:45:00,1799.23,1799.88,1800.01,1798.06,0.05,0.87,555072,630826174.0,0.11,0.04
2025-08-19 14:50:00,1799.96,1799.48,1800.63,1799.28,-0.02,-0.4,668634,738198055.0,0.08,0.05
2025-08-19 14:55:00,1799.44,1799.08,1799.81,1798.86,-0.02,-0.4,895467,989926815.0,0.05,0.07
2025-08-19 15:00:00,1799.21,1800.19,1800.32,1799.16,0.06,1.11,875763,912733426.0,0.06,0.07
2025-08-20 09:35:00,1795.64,1790.1,1795.64,1782.72,-0.56,-10.09,4296621,4814038160.0,0.72,0.32
2025-08-20 09:40:00,1789.63,1805.66,1806.23,1786.44,0.87,15.56,2968903,2914153856.0,1.11,0.22
2025-08-20 09:45:00,1805.54,1801.66,1806.92,1801.35,-0.22,-4.0,2609629,2791353904.0,0.31,0.2
2025-08-20 09:50:00,1801.61,1806.54,1806.54,1801.19,0.27,4.88,1874818,1827615328.0,0.3,0.14
2025-08-20 09:55:00,1806.76,1805.15,1807.59,1803.88,-0.08,-1.39,1346509,1615843440.0,0.21,0.1
2025-08-20 10:00:00,1804.95,1804.47,1806.04,1801.86,-0.04,-0.68,1332028,1643076544.0,0.23,0.1
2025-08-20 10:05:00,1804.59,1806.17,1808.6,1802.66,0.09,1.7,1249934,1397379196.0,0.33,0.09
2025-08-20 10:10:00,1805.75,1807.53,1807.53,1802.65,0.08,1.36,1692653,1873225648.0,0.27,0.13
2025-08-20 10:15:00,1807.68,1807.76,1809.52,1807.17,0.01,0.23,1009465,1185012434.0,0.13,0.08
2025-08-20 10:20:00,1807.63,1814.29,1814.54,1806.93,0.36,6.53,1443368,1337776138.0,0.42,0.11
2025-08-20 10:25:00,1813.81,1816.15,1816.52,1812.79,0.1,1.86,1277645,1396569347.0,0.21,0.1
2025-08-20 10:30:00,1816.11,1822.95,1823.05,1815.58,0.37,6.8,1230991,1431778503.0,0.41,0.09
2025-08-20 10:35:00,1823.27,1828.69,1828.76,1823.27,0.31,5.74,1795493,1764084160.0,0.3,0.13
2025-08-20 10:40:00,1828.77,1832.53,1833.14,1828.77,0.21,3.84,2072317,1933171568.0,0.24,0.16
2025-08-20 10:45:00,1832.39,1829.72,1832.39,1829.01,-0.15,-2.81,980703,1090437626.0,0.18,0.07
2025-08-20 10:50:00,1829.56,1832.66,1833.89,1829.32,0.16,2.94,828781,1060260768.0,0.25,0.06
2025-08-20 10:55:00,1832.68,1825.53,1832.77,1825.46,-0.39,-7.13,788722,828111583.0,0.4,0.06
2025-08-20 11:00:00,1825.55,1820.59,1825.81,1820.59,-0.27,-4.94,774097,814120305.0,0.29,0.06
2025-08-20 11:05:00,1820.55,1821.23,1821.32,1818.52,0.04,0.64,751505,769203457.0,0.15,0.06
2025-08-20 11:10:00,1821.26,1820.91,1821.84,1819.71,-0.02,-0.32,484431,519763900.0,0.12,0.04
2025-08-20 11:15:00,1820.93,1821.06,1821.27,1819.96,0.01,0.15,394753,462025013.0,0.07,0.03
2025-08-20 11:20:00,1820.91,1816.31,1821.02,1814.9,-0.26,-4.75,702680,724270306.0,0.34,0.05
2025-08-20 11:25:00,1816.25,1813.47,1817.2,1813.39,-0.16,-2.84,467957,536130888.0,0.21,0.04
2025-08-20 11:30:00,1813.46,1816.76,1817.23,1809.89,0.18,3.29,768346,938200684.0,0.4,0.06
2025-08-20 13:05:00,1816.76,1817.52,1818.97,1816.76,0.04,0.76,577555,780959781.0,0.12,0.04
2025-08-20 13:10:00,1817.64,1815.27,1818.6,1815.17,-0.12,-2.25,458373,618339825.0,0.19,0.03
2025-08-20 13:15:00,1815.32,1817.46,1819.09,1815.23,0.12,2.19,386465,492451841.0,0.21,0.03
2025-08-20 13:20:00,1817.48,1819.7,1819.87,1817.05,0.12,2.24,398241,494367397.0,0.16,0.03
2025-08-20 13:25:00,1819.4,1819.78,1820.65,1819.0,0.0,0.08,489329,477204558.0,0.09,0.04
2025-08-20 13:30:00,1819.67,1820.56,1820.56,1817.47,0.04,0.78,343962,424451310.0,0.17,0.03
2025-08-20 13:35:00,1820.5,1820.42,1821.35,1819.69,-0.01,-0.14,580280,487527516.0,0.09,0.04
2025-08-20 13:40:00,1820.46,1824.06,1824.12,1820.46,0.2,3.64,751686,670348532.0,0.2,0.06
2025-08-20 13:45:00,1824.1,1821.25,1824.82,1821.25,-0.15,-2.81,474147,511939856.0,0.2,0.04
2025-08-20 13:50:00,1821.25,1825.52,1825.71,1820.71,0.23,4.27,410283,451610716.0,0.27,0.03
2025-08-20 13:55:00,1825.3,1824.8,1825.3,1824.03,-0.04,-0.72,285126,402236848.0,0.07,0.02
2025-08-20 14:00:00,1824.69,1825.87,1825.87,1822.73,0.06,1.07,417754,447290031.0,0.17,0.03
2025-08-20 14:05:00,1825.67,1829.9,1829.9,1825.67,0.22,4.03,528391,564369662.0,0.23,0.04
2025-08-20 14:10:00,1829.93,1829.62,1830.85,1829.14,-0.02,-0.28,490549,582376691.0,0.09,0.04
2025-08-20 14:15:00,1829.67,1833.55,1833.83,1829.67,0.21,3.93,897874,858043764.0,0.23,0.07
2025-08-20 14:20:00,1833.85,1835.58,1836.86,1833.85,0.11,2.03,697164,847825424.0,0.16,0.05
2025-08-20 14:25:00,1835.57,1835.65,1836.32,1833.62,0.0,0.07,696385,809114889.0,0.15,0.05
2025-08-20 14:30:00,1835.56,1836.66,1837.0,1834.35,0.06,1.01,484841,650603006.0,0.14,0.04
2025-08-20 14:35:00,1836.86,1836.66,1837.76,1836.27,0.0,0.0,710411,726286563.0,0.08,0.05
