日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,8676.65,8657.05,8679.49,8649.2,-0.32,-27.67,259008,175580560.0,0.35,0.09
2025-08-19 09:40:00,8654.13,8656.16,8658.76,8649.75,-0.01,-0.89,114369,81102192.0,0.1,0.04
2025-08-19 09:45:00,8657.33,8663.07,8666.98,8654.5,0.08,6.91,126344,79895712.0,0.14,0.04
2025-08-19 09:50:00,8663.74,8660.39,8668.24,8658.89,-0.03,-2.68,82982,54812184.0,0.11,0.03
2025-08-19 09:55:00,8658.79,8666.36,8670.87,8657.93,0.07,5.97,69319,48676119.0,0.15,0.02
2025-08-19 10:00:00,8667.61,8670.51,8679.7,8667.61,0.05,4.15,136783,69669120.0,0.14,0.05
2025-08-19 10:05:00,8670.99,8656.59,8673.66,8655.36,-0.16,-13.92,87613,57870497.0,0.21,0.03
2025-08-19 10:10:00,8657.66,8660.47,8663.19,8644.45,0.04,3.88,101034,69457641.0,0.22,0.03
2025-08-19 10:15:00,8660.7,8662.05,8665.86,8658.19,0.02,1.58,47985,30801136.0,0.09,0.02
2025-08-19 10:20:00,8662.59,8655.49,8663.44,8651.65,-0.08,-6.56,57932,37513344.0,0.14,0.02
2025-08-19 10:25:00,8654.65,8652.3,8657.77,8649.34,-0.04,-3.19,39425,29230837.0,0.1,0.01
2025-08-19 10:30:00,8652.97,8663.65,8663.65,8648.98,0.13,11.35,36823,27566626.0,0.17,0.01
2025-08-19 10:35:00,8661.65,8675.32,8676.76,8660.01,0.13,11.67,67376,39829013.0,0.19,0.02
2025-08-19 10:40:00,8674.96,8675.14,8678.59,8671.56,0.0,-0.18,41110,25686624.0,0.08,0.01
2025-08-19 10:45:00,8677.61,8677.23,8680.19,8672.63,0.02,2.09,42428,28116656.0,0.09,0.01
2025-08-19 10:50:00,8675.17,8679.89,8686.33,8672.7,0.03,2.66,53736,43790787.0,0.16,0.02
2025-08-19 10:55:00,8678.71,8681.71,8684.04,8678.13,0.02,1.82,47710,30268031.0,0.07,0.02
2025-08-19 11:00:00,8681.17,8684.13,8688.84,8680.06,0.03,2.42,84193,42461682.0,0.1,0.03
2025-08-19 11:05:00,8684.97,8690.67,8696.8,8680.94,0.08,6.54,44020,27136945.0,0.18,0.01
2025-08-19 11:10:00,8690.83,8696.87,8698.57,8687.96,0.07,6.2,36827,25040506.0,0.12,0.01
2025-08-19 11:15:00,8697.18,8698.53,8699.53,8692.38,0.02,1.66,30602,22626091.0,0.08,0.01
2025-08-19 11:20:00,8697.61,8698.12,8701.75,8694.51,0.0,-0.41,34182,25860538.0,0.08,0.01
2025-08-19 11:25:00,8696.91,8694.98,8699.23,8692.22,-0.04,-3.14,38368,27359295.0,0.08,0.01
2025-08-19 11:30:00,8696.05,8694.25,8699.58,8691.77,-0.01,-0.73,31598,21888964.0,0.09,0.01
2025-08-19 13:05:00,8694.25,8694.15,8698.3,8689.13,0.0,-0.1,70373,44177427.0,0.11,0.02
2025-08-19 13:10:00,8695.77,8694.59,8698.32,8690.29,0.01,0.44,41906,29694239.0,0.09,0.01
2025-08-19 13:15:00,8694.2,8693.49,8697.09,8690.94,-0.01,-1.1,35752,24320171.0,0.07,0.01
2025-08-19 13:20:00,8693.11,8692.9,8697.1,8687.82,-0.01,-0.59,44522,26957485.0,0.11,0.01
2025-08-19 13:25:00,8694.17,8694.18,8699.46,8691.68,0.01,1.28,70651,48767022.0,0.09,0.02
