日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,15459.04,15458.27,15461.32,15414.79,0.03,4.34,1327108,1273901618.0,0.3,0.17
2025-08-19 09:40:00,15456.94,15502.64,15506.57,15455.63,0.29,44.37,822384,692510883.0,0.33,0.1
2025-08-19 09:45:00,15504.28,15519.68,15533.85,15503.74,0.11,17.04,908274,721598143.0,0.19,0.12
2025-08-19 09:50:00,15521.14,15536.88,15540.3,15519.49,0.11,17.2,511629,512892051.0,0.13,0.06
2025-08-19 09:55:00,15536.61,15547.73,15548.83,15533.77,0.07,10.85,430000,430853912.0,0.1,0.05
2025-08-19 10:00:00,15548.43,15562.89,15567.55,15546.98,0.1,15.16,667712,591190552.0,0.13,0.08
2025-08-19 10:05:00,15563.73,15525.68,15570.31,15524.51,-0.24,-37.21,676874,621351951.0,0.29,0.09
2025-08-19 10:10:00,15525.47,15537.14,15537.68,15502.58,0.07,11.46,580222,540369003.0,0.23,0.07
2025-08-19 10:15:00,15538.27,15552.92,15560.35,15536.03,0.1,15.78,586536,573635484.0,0.16,0.07
2025-08-19 10:20:00,15551.59,15549.82,15560.13,15545.52,-0.02,-3.1,491846,563266005.0,0.09,0.06
2025-08-19 10:25:00,15549.26,15533.15,15551.6,15528.62,-0.11,-16.67,400594,416089242.0,0.15,0.05
2025-08-19 10:30:00,15532.93,15557.29,15559.57,15530.69,0.16,24.14,276582,283036226.0,0.19,0.04
2025-08-19 10:35:00,15558.32,15574.0,15578.4,15556.79,0.11,16.71,351934,306124729.0,0.14,0.04
2025-08-19 10:40:00,15573.75,15577.88,15582.57,15573.75,0.02,3.88,267019,252801968.0,0.06,0.03
2025-08-19 10:45:00,15577.14,15572.9,15581.46,15571.35,-0.03,-4.98,251539,240482538.0,0.06,0.03
2025-08-19 10:50:00,15573.6,15573.07,15578.51,15570.47,0.0,0.17,232027,238355566.0,0.05,0.03
2025-08-19 10:55:00,15572.76,15567.87,15574.65,15560.31,-0.03,-5.2,291162,261174641.0,0.09,0.04
2025-08-19 11:00:00,15568.86,15564.48,15569.45,15561.54,-0.02,-3.39,225597,200438176.0,0.05,0.03
2025-08-19 11:05:00,15566.78,15574.39,15576.19,15562.29,0.06,9.91,259059,246054806.0,0.09,0.03
2025-08-19 11:10:00,15574.43,15576.01,15579.21,15568.05,0.01,1.62,311130,215204950.0,0.07,0.04
2025-08-19 11:15:00,15575.32,15581.74,15583.03,15573.88,0.04,5.73,227320,184149243.0,0.06,0.03
2025-08-19 11:20:00,15580.09,15574.17,15583.23,15572.95,-0.05,-7.57,229271,218010344.0,0.07,0.03
2025-08-19 11:25:00,15574.48,15577.29,15579.57,15572.83,0.02,3.12,194278,187285770.0,0.04,0.02
