日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1327.56,1326.15,1327.68,1323.41,0.4,5.23,1364349,1039567780.0,0.32,0.48
2025-08-19 09:40:00,1326.26,1331.77,1331.97,1326.22,0.42,5.62,665726,532781803.0,0.43,0.24
2025-08-19 09:45:00,1331.64,1336.65,1336.8,1331.24,0.37,4.88,568147,528688693.0,0.42,0.2
2025-08-19 09:50:00,1336.6,1333.31,1336.65,1333.31,-0.25,-3.34,422383,362244274.0,0.25,0.15
2025-08-19 09:55:00,1333.4,1334.42,1334.48,1332.95,0.08,1.11,347400,309875417.0,0.11,0.12
2025-08-19 10:00:00,1334.59,1333.57,1336.19,1333.53,-0.06,-0.85,321391,289460134.0,0.2,0.11
2025-08-19 10:05:00,1333.57,1328.65,1333.75,1328.58,-0.37,-4.92,394395,346687338.0,0.39,0.14
2025-08-19 10:10:00,1328.6,1329.48,1329.95,1326.3,0.06,0.83,343099,323398920.0,0.27,0.12
2025-08-19 10:15:00,1329.32,1328.57,1330.16,1328.34,-0.07,-0.91,179853,175426252.0,0.14,0.06
2025-08-19 10:20:00,1328.53,1326.83,1328.67,1326.54,-0.13,-1.74,201131,187860146.0,0.16,0.07
2025-08-19 10:25:00,1326.67,1326.59,1327.09,1326.21,-0.02,-0.24,204028,178436433.0,0.07,0.07
2025-08-19 10:30:00,1326.5,1329.38,1329.47,1326.5,0.21,2.79,128525,124345895.0,0.22,0.05
2025-08-19 10:35:00,1329.25,1331.27,1331.31,1329.25,0.14,1.89,150957,139278000.0,0.15,0.05
2025-08-19 10:40:00,1331.27,1331.06,1331.34,1330.54,-0.02,-0.21,179434,143853000.0,0.06,0.06
2025-08-19 10:45:00,1331.03,1330.7,1331.73,1330.51,-0.03,-0.36,121303,126476842.0,0.09,0.04
2025-08-19 10:50:00,1330.94,1331.25,1331.76,1330.76,0.04,0.55,98221,105522483.0,0.08,0.03
2025-08-19 10:55:00,1331.13,1330.8,1331.95,1330.68,-0.03,-0.45,118803,112794294.0,0.1,0.04
2025-08-19 11:00:00,1330.86,1330.83,1331.47,1330.36,0.0,0.03,116649,124004022.0,0.08,0.04
2025-08-19 11:05:00,1330.83,1332.34,1332.44,1330.83,0.11,1.51,88151,91347349.0,0.12,0.03
2025-08-19 11:10:00,1332.17,1332.05,1332.49,1331.57,-0.02,-0.29,81230,86077163.0,0.07,0.03
2025-08-19 11:15:00,1332.11,1333.24,1333.34,1331.96,0.09,1.19,83435,96523255.0,0.1,0.03
2025-08-19 11:20:00,1333.2,1333.42,1333.65,1332.72,0.01,0.18,85534,95142270.0,0.07,0.03
2025-08-19 11:25:00,1333.33,1333.29,1333.46,1332.84,-0.01,-0.13,71334,76043481.0,0.05,0.03
2025-08-19 11:30:00,1333.28,1332.91,1333.61,1332.57,-0.03,-0.38,105791,105592615.0,0.08,0.04
2025-08-19 13:05:00,1332.91,1334.79,1335.0,1332.75,0.14,1.88,224115,218162629.0,0.17,0.08
2025-08-19 13:10:00,1334.84,1334.28,1334.98,1333.76,-0.04,-0.51,114561,115485084.0,0.09,0.04
2025-08-19 13:15:00,1334.29,1334.95,1335.48,1333.94,0.05,0.67,192382,168064661.0,0.12,0.07
2025-08-19 13:20:00,1334.87,1333.22,1335.09,1333.22,-0.13,-1.73,122126,125815139.0,0.14,0.04
2025-08-19 13:25:00,1333.5,1333.27,1334.11,1332.84,0.0,0.05,98760,104908945.0,0.1,0.04
2025-08-19 13:30:00,1333.34,1332.06,1333.41,1331.85,-0.09,-1.21,119112,120896794.0,0.12,0.04
2025-08-19 13:35:00,1332.08,1329.55,1332.28,1329.45,-0.19,-2.51,148204,148244476.0,0.21,0.05
