日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1057.21,1062.26,1062.26,1056.81,0.56,5.87,1538422,3662032096.0,0.52,0.39
2025-08-19 09:40:00,1062.2,1068.49,1068.49,1062.2,0.59,6.23,1115450,2265102112.0,0.59,0.28
2025-08-19 09:45:00,1068.61,1073.52,1074.1,1068.61,0.47,5.03,1082297,2153032544.0,0.51,0.27
2025-08-19 09:50:00,1073.5,1074.37,1075.13,1073.5,0.08,0.85,852694,1839727888.0,0.15,0.21
2025-08-19 09:55:00,1074.32,1074.17,1074.38,1071.31,-0.02,-0.2,600782,1343026971.0,0.29,0.15
2025-08-19 10:00:00,1074.38,1074.36,1076.19,1073.93,0.02,0.19,667159,1338332117.0,0.21,0.17
2025-08-19 10:05:00,1074.23,1069.4,1074.25,1069.39,-0.46,-4.96,584873,1293675892.0,0.45,0.15
2025-08-19 10:10:00,1069.28,1070.88,1071.86,1067.56,0.14,1.48,532424,1272520761.0,0.4,0.13
2025-08-19 10:15:00,1070.78,1070.53,1070.78,1068.51,-0.03,-0.35,331180,783494965.0,0.21,0.08
2025-08-19 10:20:00,1070.54,1064.74,1070.55,1064.74,-0.54,-5.79,404126,1018493986.0,0.54,0.1
2025-08-19 10:25:00,1064.76,1065.19,1065.39,1064.51,0.04,0.45,263550,684573768.0,0.08,0.07
2025-08-19 10:30:00,1065.26,1066.89,1067.32,1065.26,0.16,1.7,210825,501154575.0,0.19,0.05
2025-08-19 10:35:00,1066.76,1068.5,1068.68,1066.74,0.15,1.61,202389,520444241.0,0.18,0.05
2025-08-19 10:40:00,1068.38,1068.67,1069.09,1068.3,0.02,0.17,238898,450840284.0,0.07,0.06
2025-08-19 10:45:00,1068.71,1070.06,1071.12,1068.59,0.13,1.39,232458,478150803.0,0.24,0.06
2025-08-19 10:50:00,1070.02,1070.42,1070.43,1069.16,0.03,0.36,193834,457197312.0,0.12,0.05
2025-08-19 10:55:00,1070.36,1068.99,1071.08,1068.99,-0.13,-1.43,185371,456811455.0,0.2,0.05
2025-08-19 11:00:00,1069.0,1067.49,1069.0,1067.31,-0.14,-1.5,169695,409935641.0,0.16,0.04
2025-08-19 11:05:00,1067.47,1068.92,1069.09,1067.36,0.13,1.43,131990,321479998.0,0.16,0.03
2025-08-19 11:10:00,1068.86,1068.29,1068.97,1067.95,-0.06,-0.63,138179,323367376.0,0.1,0.03
2025-08-19 11:15:00,1068.32,1069.05,1069.19,1068.31,0.07,0.76,126948,288616663.0,0.08,0.03
2025-08-19 11:20:00,1069.1,1068.46,1069.27,1068.42,-0.06,-0.59,118100,281719814.0,0.08,0.03
2025-08-19 11:25:00,1068.46,1068.06,1068.52,1067.75,-0.04,-0.4,152071,291490902.0,0.07,0.04
2025-08-19 11:30:00,1068.09,1067.3,1068.35,1067.07,-0.07,-0.76,158661,338236961.0,0.12,0.04
2025-08-19 13:05:00,1067.3,1069.0,1069.09,1067.3,0.16,1.7,299866,600413477.0,0.17,0.08
2025-08-19 13:10:00,1068.98,1068.78,1069.46,1068.68,-0.02,-0.22,186790,433238824.0,0.07,0.05
2025-08-19 13:15:00,1068.81,1067.47,1068.81,1067.47,-0.12,-1.31,164439,390241994.0,0.13,0.04
2025-08-19 13:20:00,1067.65,1067.22,1067.65,1066.99,-0.02,-0.25,194071,466081612.0,0.06,0.05
2025-08-19 13:25:00,1067.26,1066.71,1067.45,1066.61,-0.05,-0.51,202560,444481022.0,0.08,0.05
2025-08-19 13:30:00,1066.7,1065.46,1066.73,1064.9,-0.12,-1.25,322998,671356057.0,0.17,0.08
2025-08-19 13:35:00,1065.41,1063.14,1065.42,1063.14,-0.22,-2.32,273681,615240272.0,0.21,0.07
2025-08-19 13:40:00,1063.0,1063.75,1063.75,1062.2,0.06,0.61,239225,504886605.0,0.15,0.06
2025-08-19 13:45:00,1063.83,1063.56,1063.85,1063.39,-0.02,-0.19,144833,333138045.0,0.04,0.04
2025-08-19 13:50:00,1063.57,1061.87,1063.57,1061.87,-0.16,-1.69,233645,489438332.0,0.16,0.06
2025-08-19 13:55:00,1061.84,1060.31,1061.9,1059.66,-0.15,-1.56,291260,648747587.0,0.21,0.07
2025-08-19 14:00:00,1060.31,1060.65,1061.14,1060.31,0.03,0.34,165995,408002598.0,0.08,0.04
2025-08-19 14:05:00,1060.64,1064.14,1064.22,1060.53,0.33,3.49,155013,386411934.0,0.35,0.04
2025-08-19 14:10:00,1064.25,1064.2,1065.08,1064.2,0.01,0.06,126646,318046594.0,0.08,0.03
2025-08-19 14:15:00,1064.21,1063.71,1064.21,1063.41,-0.05,-0.49,133632,299612387.0,0.08,0.03
2025-08-19 14:20:00,1063.74,1063.22,1064.16,1063.22,-0.05,-0.49,150347,344512892.0,0.09,0.04
2025-08-19 14:25:00,1063.17,1061.89,1063.19,1061.86,-0.13,-1.33,179248,412479450.0,0.13,0.05
2025-08-19 14:30:00,1061.84,1060.97,1061.84,1060.37,-0.09,-0.92,237991,528631005.0,0.14,0.06
2025-08-19 14:35:00,1061.0,1062.71,1062.83,1061.0,0.16,1.74,182576,366072286.0,0.17,0.05
2025-08-19 14:40:00,1062.63,1062.79,1063.32,1062.55,0.01,0.08,184852,371829761.0,0.07,0.05
2025-08-19 14:45:00,1062.87,1064.16,1064.3,1062.64,0.13,1.37,221526,441628729.0,0.16,0.06
2025-08-19 14:50:00,1064.1,1063.53,1064.33,1063.53,-0.06,-0.63,241198,531454385.0,0.08,0.06
2025-08-19 14:55:00,1063.53,1063.02,1063.65,1062.93,-0.05,-0.51,302632,686451688.0,0.07,0.08
2025-08-19 15:00:00,1063.11,1063.4,1063.45,1063.02,0.04,0.38,327310,703724931.0,0.04,0.08
2025-08-20 09:35:00,1058.99,1055.61,1058.99,1050.98,-0.73,-7.79,1577867,3591737344.0,0.75,0.4
2025-08-20 09:40:00,1055.15,1057.55,1058.04,1052.06,0.18,1.94,800206,1860184288.0,0.57,0.2
2025-08-20 09:45:00,1057.66,1059.58,1060.14,1057.36,0.19,2.03,530890,1366488286.0,0.26,0.13
2025-08-20 09:50:00,1059.52,1060.58,1061.97,1059.41,0.09,1.0,442069,1121298153.0,0.24,0.11
2025-08-20 09:55:00,1060.62,1057.28,1060.62,1057.28,-0.31,-3.3,401362,926673263.0,0.31,0.1
2025-08-20 10:00:00,1057.2,1056.64,1057.2,1055.21,-0.06,-0.64,415058,970112982.0,0.19,0.1
2025-08-20 10:05:00,1056.64,1053.82,1056.88,1053.72,-0.27,-2.82,381141,853731622.0,0.3,0.1
2025-08-20 10:10:00,1053.7,1052.08,1053.7,1051.88,-0.17,-1.74,390390,838552640.0,0.17,0.1
2025-08-20 10:15:00,1052.07,1051.36,1052.74,1051.24,-0.07,-0.72,265774,608135505.0,0.14,0.07
2025-08-20 10:20:00,1051.33,1051.98,1051.98,1050.26,0.06,0.62,328592,724060794.0,0.16,0.08
2025-08-20 10:25:00,1051.94,1050.22,1051.94,1049.91,-0.17,-1.76,276875,644940862.0,0.19,0.07
2025-08-20 10:30:00,1050.12,1050.97,1050.97,1049.9,0.07,0.75,214818,456934774.0,0.1,0.05
2025-08-20 10:35:00,1050.99,1053.16,1053.54,1050.96,0.21,2.19,199851,458824164.0,0.25,0.05
2025-08-20 10:40:00,1053.18,1054.34,1054.34,1052.87,0.11,1.18,152523,396978658.0,0.14,0.04
2025-08-20 10:45:00,1054.22,1053.79,1054.27,1053.34,-0.05,-0.55,141247,386240332.0,0.09,0.04
2025-08-20 10:50:00,1053.7,1054.32,1054.32,1052.98,0.05,0.53,168804,472718013.0,0.13,0.04
2025-08-20 10:55:00,1054.3,1052.05,1054.34,1051.84,-0.22,-2.27,138379,362937429.0,0.24,0.03
2025-08-20 11:00:00,1051.97,1050.04,1051.98,1050.04,-0.19,-2.01,183061,447512892.0,0.18,0.05
2025-08-20 11:05:00,1050.0,1049.86,1050.17,1048.69,-0.02,-0.18,198791,494037280.0,0.14,0.05
2025-08-20 11:10:00,1049.88,1049.63,1050.3,1049.06,-0.02,-0.23,144287,360701846.0,0.12,0.04
2025-08-20 11:15:00,1049.56,1049.66,1049.73,1048.82,0.0,0.03,130606,329150370.0,0.09,0.03
2025-08-20 11:20:00,1049.64,1046.96,1049.64,1046.86,-0.26,-2.7,293841,634692463.0,0.26,0.07
2025-08-20 11:25:00,1046.97,1045.35,1047.56,1045.3,-0.15,-1.61,207359,483741491.0,0.22,0.05
2025-08-20 11:30:00,1045.21,1045.04,1045.36,1042.79,-0.03,-0.31,352249,756965363.0,0.25,0.09
2025-08-20 13:05:00,1045.04,1044.49,1045.96,1044.46,-0.05,-0.55,207932,527039213.0,0.14,0.05
2025-08-20 13:10:00,1044.42,1042.65,1044.42,1042.57,-0.18,-1.84,199928,505923174.0,0.18,0.05
2025-08-20 13:15:00,1042.71,1045.23,1045.27,1042.62,0.25,2.58,165630,425012294.0,0.25,0.04
2025-08-20 13:20:00,1045.31,1045.19,1045.31,1044.32,0.0,-0.04,127322,333844480.0,0.09,0.03
2025-08-20 13:25:00,1045.17,1045.78,1046.01,1045.17,0.06,0.59,150966,373629309.0,0.08,0.04
2025-08-20 13:30:00,1045.83,1045.91,1046.05,1045.41,0.01,0.13,128681,308272398.0,0.06,0.03
2025-08-20 13:35:00,1045.88,1046.2,1046.31,1045.65,0.03,0.29,161052,404315349.0,0.06,0.04
2025-08-20 13:40:00,1046.26,1047.47,1047.47,1046.26,0.12,1.27,142939,356404487.0,0.12,0.04
2025-08-20 13:45:00,1047.43,1046.78,1047.97,1046.78,-0.07,-0.69,137787,354125976.0,0.11,0.03
2025-08-20 13:50:00,1046.69,1048.09,1048.4,1046.36,0.13,1.31,154827,406732492.0,0.19,0.04
2025-08-20 13:55:00,1048.08,1048.18,1048.31,1047.7,0.01,0.09,142151,440408117.0,0.06,0.04
2025-08-20 14:00:00,1048.17,1049.47,1049.47,1047.43,0.12,1.29,132428,364466612.0,0.19,0.03
2025-08-20 14:05:00,1049.48,1052.26,1052.26,1049.48,0.27,2.79,171286,444166441.0,0.26,0.04
2025-08-20 14:10:00,1052.29,1051.81,1052.36,1051.73,-0.04,-0.45,145623,380989893.0,0.06,0.04
2025-08-20 14:15:00,1051.83,1053.34,1053.41,1051.81,0.15,1.53,141377,395493694.0,0.15,0.04
2025-08-20 14:20:00,1053.3,1054.17,1055.1,1053.3,0.08,0.83,188710,487564393.0,0.17,0.05
2025-08-20 14:25:00,1054.22,1053.95,1054.36,1052.88,-0.02,-0.22,148778,357076255.0,0.14,0.04
2025-08-20 14:30:00,1053.93,1054.78,1054.86,1053.51,0.08,0.83,162210,402869223.0,0.13,0.04
2025-08-20 14:35:00,1054.64,1055.31,1055.76,1054.64,0.05,0.53,180890,424907754.0,0.11,0.05
2025-08-20 14:40:00,1055.35,1055.03,1055.37,1054.27,-0.03,-0.28,165450,453793313.0,0.1,0.04
2025-08-20 14:45:00,1055.05,1054.94,1055.05,1054.23,-0.01,-0.09,211557,491457308.0,0.08,0.05
2025-08-20 14:50:00,1055.02,1057.02,1057.26,1054.9,0.2,2.08,283214,704236471.0,0.22,0.07
2025-08-20 14:55:00,1057.02,1056.98,1057.03,1056.51,0.0,-0.04,333992,738727890.0,0.05,0.08
2025-08-20 15:00:00,1057.04,1057.57,1057.57,1056.84,0.06,0.59,362717,753721404.0,0.07,0.09
2025-08-21 09:35:00,1058.02,1061.16,1063.46,1056.56,0.34,3.59,1039916,2864528281.0,0.65,0.26
2025-08-21 09:40:00,1061.04,1062.91,1063.6,1060.37,0.16,1.75,631953,2014328144.0,0.3,0.16
2025-08-21 09:45:00,1062.89,1058.22,1063.05,1057.81,-0.44,-4.69,646191,1693581632.0,0.49,0.16
2025-08-21 09:50:00,1058.02,1060.81,1062.54,1058.02,0.24,2.59,485314,1359310418.0,0.43,0.12
2025-08-21 09:55:00,1060.61,1059.91,1061.46,1059.26,-0.08,-0.9,346005,1000506678.0,0.21,0.09
2025-08-21 10:00:00,1059.8,1058.26,1060.62,1058.26,-0.16,-1.65,430516,1147565257.0,0.22,0.11
2025-08-21 10:05:00,1058.26,1056.85,1059.21,1056.61,-0.13,-1.41,422338,1099703033.0,0.25,0.11
2025-08-21 10:10:00,1056.73,1061.38,1062.32,1056.73,0.43,4.53,389012,1139265134.0,0.53,0.1
2025-08-21 10:15:00,1061.5,1061.82,1061.95,1060.76,0.04,0.44,235281,703771807.0,0.11,0.06
2025-08-21 10:20:00,1061.81,1060.84,1061.81,1060.18,-0.09,-0.98,235315,669180633.0,0.15,0.06
2025-08-21 10:25:00,1060.81,1062.5,1062.57,1060.81,0.16,1.66,221468,602402650.0,0.17,0.06
2025-08-21 10:30:00,1062.48,1061.28,1063.99,1061.26,-0.11,-1.22,260653,667459194.0,0.26,0.07
2025-08-21 10:35:00,1061.1,1061.76,1061.94,1060.55,0.05,0.48,240023,651556913.0,0.13,0.06
2025-08-21 10:40:00,1061.73,1062.32,1062.91,1061.73,0.05,0.56,211870,609239014.0,0.11,0.05
2025-08-21 10:45:00,1062.34,1060.87,1062.34,1060.21,-0.14,-1.45,195585,535062516.0,0.2,0.05
2025-08-21 10:50:00,1060.89,1061.79,1061.86,1060.86,0.09,0.92,166629,464620980.0,0.09,0.04
2025-08-21 10:55:00,1061.77,1063.22,1063.39,1061.77,0.13,1.43,153660,434497701.0,0.15,0.04
2025-08-21 11:00:00,1063.16,1062.76,1063.24,1062.33,-0.04,-0.46,135536,377834409.0,0.09,0.03
2025-08-21 11:05:00,1062.75,1063.5,1064.08,1062.44,0.07,0.74,165024,406976514.0,0.15,0.04
2025-08-21 11:10:00,1063.51,1060.75,1063.54,1060.71,-0.26,-2.75,178199,442534615.0,0.27,0.04
2025-08-21 11:15:00,1060.69,1060.3,1061.13,1060.22,-0.04,-0.45,175707,453042016.0,0.09,0.04
2025-08-21 11:20:00,1060.25,1059.7,1060.64,1059.64,-0.06,-0.6,176318,436511575.0,0.09,0.04
2025-08-21 11:25:00,1059.64,1060.52,1060.64,1058.66,0.08,0.82,215594,573373005.0,0.19,0.05
2025-08-21 11:30:00,1060.5,1060.65,1060.77,1060.33,0.01,0.13,108235,331360401.0,0.04,0.03
2025-08-21 13:05:00,1060.65,1062.97,1063.06,1060.65,0.22,2.32,212928,704376587.0,0.23,0.05
2025-08-21 13:10:00,1062.94,1062.13,1062.99,1061.97,-0.08,-0.84,132655,401185977.0,0.1,0.03
2025-08-21 13:15:00,1062.04,1063.24,1063.63,1062.04,0.1,1.11,149272,406314278.0,0.15,0.04
2025-08-21 13:20:00,1063.27,1063.82,1063.82,1062.78,0.05,0.58,131782,395694634.0,0.1,0.03
2025-08-21 13:25:00,1063.74,1063.81,1064.0,1063.57,0.0,-0.01,139967,473276149.0,0.04,0.04
2025-08-21 13:30:00,1063.78,1062.32,1063.78,1061.98,-0.14,-1.49,144482,414696454.0,0.17,0.04
2025-08-21 13:35:00,1062.26,1060.59,1062.52,1060.44,-0.16,-1.73,156698,430279940.0,0.2,0.04
2025-08-21 13:40:00,1060.54,1060.9,1061.07,1060.44,0.03,0.31,124335,339638635.0,0.06,0.03
2025-08-21 13:45:00,1060.94,1060.63,1060.97,1059.47,-0.03,-0.27,170336,434168066.0,0.14,0.04
2025-08-21 13:50:00,1060.59,1060.6,1061.09,1060.59,0.0,-0.03,115346,332272776.0,0.05,0.03
2025-08-21 13:55:00,1060.58,1060.31,1060.76,1059.95,-0.03,-0.29,221200,513433728.0,0.08,0.06
2025-08-21 14:00:00,1060.34,1060.61,1060.68,1060.14,0.03,0.3,129074,343367493.0,0.05,0.03
2025-08-21 14:05:00,1060.62,1059.17,1060.67,1058.63,-0.14,-1.44,178209,450445163.0,0.19,0.04
2025-08-21 14:10:00,1059.13,1059.15,1060.29,1058.99,0.0,-0.02,123607,343652683.0,0.12,0.03
2025-08-21 14:15:00,1059.12,1058.88,1059.14,1058.43,-0.03,-0.27,144957,346682411.0,0.07,0.04
2025-08-21 14:20:00,1058.85,1059.29,1059.6,1058.65,0.04,0.41,179733,421242692.0,0.09,0.05
2025-08-21 14:25:00,1059.35,1056.29,1059.35,1056.29,-0.28,-3.0,285466,625117989.0,0.29,0.07
2025-08-21 14:30:00,1056.26,1056.43,1056.43,1054.82,0.01,0.14,315140,721597584.0,0.15,0.08
2025-08-21 14:35:00,1056.49,1053.78,1057.36,1053.78,-0.25,-2.65,244510,581586538.0,0.34,0.06
2025-08-21 14:40:00,1053.93,1053.58,1054.59,1053.0,-0.02,-0.2,272015,609575734.0,0.15,0.07
2025-08-21 14:45:00,1053.56,1054.85,1055.67,1053.34,0.12,1.27,224688,542366154.0,0.22,0.06
2025-08-21 14:50:00,1054.88,1056.1,1056.24,1054.25,0.12,1.25,261387,602723948.0,0.19,0.07
2025-08-21 14:55:00,1056.06,1057.74,1057.77,1056.06,0.16,1.64,304126,702141846.0,0.16,0.08
2025-08-21 15:00:00,1057.79,1058.34,1058.39,1057.72,0.06,0.6,308683,698450872.0,0.06,0.08
2025-08-22 09:35:00,1059.96,1056.65,1060.53,1056.17,-0.16,-1.69,964328,2514370871.0,0.41,0.24
2025-08-22 09:40:00,1056.64,1054.94,1056.87,1054.03,-0.16,-1.71,607661,1599596640.0,0.27,0.15
2025-08-22 09:45:00,1054.83,1056.77,1056.88,1052.94,0.17,1.83,468888,1127484887.0,0.37,0.12
2025-08-22 09:50:00,1056.81,1056.09,1057.27,1054.88,-0.06,-0.68,368470,952851185.0,0.23,0.09
2025-08-22 09:55:00,1056.16,1055.58,1057.23,1055.58,-0.05,-0.51,332911,845134215.0,0.16,0.08
2025-08-22 10:00:00,1055.44,1054.88,1055.71,1054.6,-0.07,-0.7,276996,685508460.0,0.11,0.07
2025-08-22 10:05:00,1054.88,1054.75,1056.38,1054.32,-0.01,-0.13,325058,746691097.0,0.2,0.08
2025-08-22 10:10:00,1054.63,1052.06,1054.74,1052.06,-0.26,-2.69,374536,888565334.0,0.25,0.09
2025-08-22 10:15:00,1051.97,1050.47,1051.97,1050.32,-0.15,-1.59,361483,808540291.0,0.16,0.09
2025-08-22 10:20:00,1050.53,1052.55,1052.61,1049.43,0.2,2.08,338320,816010254.0,0.3,0.09
2025-08-22 10:25:00,1052.49,1049.77,1052.49,1049.77,-0.26,-2.78,240632,601694392.0,0.26,0.06
2025-08-22 10:30:00,1049.78,1049.56,1050.16,1049.23,-0.02,-0.21,256501,679554183.0,0.09,0.06
2025-08-22 10:35:00,1049.51,1049.89,1050.89,1049.51,0.03,0.33,211774,576719382.0,0.13,0.05
2025-08-22 10:40:00,1049.83,1050.38,1050.42,1049.1,0.05,0.49,193978,522382178.0,0.13,0.05
2025-08-22 10:45:00,1050.37,1050.76,1050.84,1050.17,0.04,0.38,153309,454367052.0,0.06,0.04
2025-08-22 10:50:00,1050.73,1052.67,1053.49,1050.73,0.18,1.91,190825,455602463.0,0.26,0.05
2025-08-22 10:55:00,1052.79,1053.8,1054.22,1052.32,0.11,1.13,161382,431914618.0,0.18,0.04
2025-08-22 11:00:00,1053.74,1053.81,1053.84,1052.96,0.0,0.01,217352,565682750.0,0.08,0.05
2025-08-22 11:05:00,1053.85,1052.66,1054.35,1052.55,-0.11,-1.15,200162,532582955.0,0.17,0.05
2025-08-22 11:10:00,1052.64,1053.2,1053.58,1052.09,0.05,0.54,159913,426406899.0,0.14,0.04
2025-08-22 11:15:00,1053.26,1053.12,1053.27,1052.66,-0.01,-0.08,140238,378860089.0,0.06,0.04
2025-08-22 11:20:00,1053.07,1053.05,1053.59,1052.78,-0.01,-0.07,166507,462561910.0,0.08,0.04
2025-08-22 11:25:00,1053.11,1052.01,1053.21,1052.01,-0.1,-1.04,131723,380760019.0,0.11,0.03
2025-08-22 11:30:00,1052.05,1052.33,1052.33,1051.32,0.03,0.32,139404,364705609.0,0.1,0.04
