日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,18963.03,18861.34,18963.03,18795.63,-0.78,-148.88,1842767,3398527408.0,0.88,0.64
2025-08-19 09:40:00,18860.22,18904.95,18912.1,18859.93,0.23,43.61,853701,1599926832.0,0.28,0.3
2025-08-19 09:45:00,18903.6,18906.58,18922.36,18876.98,0.01,1.63,711647,1314590298.0,0.24,0.25
2025-08-19 09:50:00,18905.3,18913.75,18921.99,18883.62,0.04,7.17,647555,1154629321.0,0.2,0.22
2025-08-19 09:55:00,18915.87,18941.22,18947.02,18915.44,0.15,27.47,529598,986875910.0,0.17,0.18
2025-08-19 10:00:00,18941.15,18890.04,18941.41,18889.87,-0.27,-51.18,516486,997630854.0,0.27,0.18
2025-08-19 10:05:00,18887.57,18800.82,18888.21,18800.82,-0.47,-89.22,647608,1178824664.0,0.46,0.22
2025-08-19 10:10:00,18801.93,18835.92,18835.92,18752.23,0.19,35.1,632690,1012867022.0,0.45,0.22
2025-08-19 10:15:00,18837.12,18806.48,18837.69,18803.29,-0.16,-29.44,339990,602538723.0,0.18,0.12
2025-08-19 10:20:00,18809.04,18768.46,18812.7,18762.23,-0.2,-38.02,340786,639845252.0,0.27,0.12
2025-08-19 10:25:00,18768.91,18757.38,18770.63,18747.38,-0.06,-11.08,332895,565686576.0,0.12,0.12
2025-08-19 10:30:00,18759.23,18814.76,18817.2,18758.37,0.31,57.38,299096,471665366.0,0.31,0.1
2025-08-19 10:35:00,18815.95,18859.89,18861.9,18812.53,0.24,45.13,264810,444390265.0,0.26,0.09
2025-08-19 10:40:00,18860.53,18883.13,18886.21,18859.02,0.12,23.24,234358,386130742.0,0.14,0.08
2025-08-19 10:45:00,18883.4,18868.28,18883.41,18860.04,-0.08,-14.85,281449,388252220.0,0.12,0.1
2025-08-19 10:50:00,18866.77,18882.62,18886.44,18863.05,0.08,14.34,255240,327151323.0,0.12,0.09
2025-08-19 10:55:00,18883.09,18917.23,18917.23,18883.09,0.18,34.61,177593,283809296.0,0.18,0.06
2025-08-19 11:00:00,18918.2,18916.73,18939.11,18915.54,0.0,-0.5,313683,517530838.0,0.12,0.11
2025-08-19 11:05:00,18920.21,18973.56,18979.41,18916.03,0.3,56.83,362643,592097644.0,0.34,0.13
2025-08-19 11:10:00,18973.97,18979.39,18991.69,18970.94,0.03,5.83,235026,417023302.0,0.11,0.08
2025-08-19 11:15:00,18979.25,19001.67,19005.16,18979.25,0.12,22.28,258147,412159633.0,0.14,0.09
2025-08-19 11:20:00,19004.02,19012.36,19015.51,18994.36,0.06,10.69,224557,368632357.0,0.11,0.08
2025-08-19 11:25:00,19013.75,19032.9,19039.48,19013.75,0.11,20.54,196068,346729794.0,0.14,0.07
2025-08-19 11:30:00,19031.09,19046.26,19046.75,19029.75,0.07,13.36,179397,355209287.0,0.09,0.06
2025-08-19 13:05:00,19046.26,19091.54,19096.73,19046.26,0.24,45.28,352741,800450007.0,0.26,0.12
2025-08-19 13:10:00,19089.82,19112.28,19121.51,19081.16,0.11,20.74,279932,574527572.0,0.21,0.1
2025-08-19 13:15:00,19115.7,19131.59,19147.2,19113.55,0.1,19.31,299942,653842391.0,0.18,0.1
2025-08-19 13:20:00,19129.51,19140.04,19145.38,19125.69,0.04,8.45,306098,595404144.0,0.1,0.11
2025-08-19 13:25:00,19143.89,19124.11,19146.96,19117.55,-0.08,-15.93,233236,504447953.0,0.15,0.08
2025-08-19 13:30:00,19124.33,19103.08,19126.88,19086.98,-0.11,-21.03,322997,573806790.0,0.21,0.11
2025-08-19 13:35:00,19101.7,19033.26,19101.7,19033.23,-0.37,-69.82,305366,522028731.0,0.36,0.11
2025-08-19 13:40:00,19031.09,19049.08,19051.11,19009.73,0.08,15.82,260867,448261396.0,0.22,0.09
2025-08-19 13:45:00,19050.46,19045.8,19057.39,19045.59,-0.02,-3.28,377784,475638129.0,0.06,0.13
2025-08-19 13:50:00,19047.99,19013.71,19047.99,19006.97,-0.17,-32.09,310901,476544070.0,0.22,0.11
2025-08-19 13:55:00,19014.94,18964.36,19015.03,18954.95,-0.26,-49.35,302775,524651922.0,0.32,0.1
2025-08-19 14:00:00,18966.08,18971.26,18994.99,18966.08,0.04,6.9,212894,351043646.0,0.15,0.07
2025-08-19 14:05:00,18970.44,19029.23,19029.23,18964.26,0.31,57.97,201437,363596269.0,0.34,0.07
2025-08-19 14:10:00,19028.89,19029.18,19043.9,19028.89,0.0,-0.05,171894,292387674.0,0.08,0.06
2025-08-19 14:15:00,19030.43,19007.73,19031.29,19007.73,-0.11,-21.45,143783,249258385.0,0.12,0.05
2025-08-19 14:20:00,19008.56,18990.72,19023.01,18990.72,-0.09,-17.01,166206,321029172.0,0.17,0.06
2025-08-19 14:25:00,18989.62,18963.13,18989.62,18961.13,-0.15,-27.59,207679,365254912.0,0.15,0.07
2025-08-19 14:30:00,18961.19,18955.49,18961.34,18926.36,-0.04,-7.64,269087,450901724.0,0.18,0.09
2025-08-19 14:35:00,18956.62,18994.17,18998.63,18956.62,0.2,38.68,201785,335563400.0,0.22,0.07
2025-08-19 14:40:00,18994.77,18995.97,19008.27,18992.38,0.01,1.8,228351,379121507.0,0.08,0.08
2025-08-19 14:45:00,18994.17,19001.68,19001.68,18986.33,0.03,5.71,226104,399983433.0,0.08,0.08
2025-08-19 14:50:00,18999.59,19007.53,19009.43,18999.2,0.03,5.85,323893,569642406.0,0.05,0.11
2025-08-19 14:55:00,19006.76,18995.3,19006.76,18990.21,-0.06,-12.23,454801,783242660.0,0.09,0.16
2025-08-19 15:00:00,18994.9,19005.62,19005.78,18993.57,0.05,10.32,425555,750001948.0,0.06,0.15
2025-08-20 09:35:00,18906.72,18908.31,18927.62,18845.37,-0.51,-97.31,1309522,2397190097.0,0.43,0.45
2025-08-20 09:40:00,18911.2,18998.93,19005.79,18890.67,0.48,90.62,851580,1513888818.0,0.61,0.3
2025-08-20 09:45:00,18998.97,18977.59,19006.23,18977.59,-0.11,-21.34,646935,1235105962.0,0.15,0.22
2025-08-20 09:50:00,18976.29,19019.23,19021.3,18952.31,0.22,41.64,523992,992623264.0,0.36,0.18
2025-08-20 09:55:00,19018.85,19001.25,19026.68,18987.36,-0.09,-17.98,405198,780976086.0,0.21,0.14
2025-08-20 10:00:00,19000.09,18975.26,19000.09,18959.52,-0.14,-25.99,341467,646186985.0,0.21,0.12
2025-08-20 10:05:00,18974.01,18979.31,18998.22,18965.15,0.02,4.05,374334,661367401.0,0.17,0.13
2025-08-20 10:10:00,18975.56,18946.52,18981.68,18929.86,-0.17,-32.79,378753,579662721.0,0.27,0.13
2025-08-20 10:15:00,18948.39,18952.78,18957.07,18940.01,0.03,6.26,287283,433164270.0,0.09,0.1
2025-08-20 10:20:00,18951.67,18961.84,18969.03,18950.21,0.05,9.06,265040,418143900.0,0.1,0.09
2025-08-20 10:25:00,18960.69,18933.63,18960.69,18931.19,-0.15,-28.21,255969,429806879.0,0.16,0.09
2025-08-20 10:30:00,18933.29,18960.87,18960.87,18924.52,0.14,27.24,210408,335076642.0,0.19,0.07
2025-08-20 10:35:00,18960.34,18981.46,18983.23,18958.57,0.11,20.59,377117,413948776.0,0.13,0.13
2025-08-20 10:40:00,18981.72,18980.46,19002.24,18978.13,-0.01,-1.0,254050,358478216.0,0.13,0.09
2025-08-20 10:45:00,18978.67,18966.5,18983.19,18965.56,-0.07,-13.96,166206,275484063.0,0.09,0.06
2025-08-20 10:50:00,18969.04,18967.79,18977.81,18966.07,0.01,1.29,152311,255188080.0,0.06,0.05
2025-08-20 10:55:00,18969.95,18941.88,18970.91,18941.88,-0.14,-25.91,259633,373654388.0,0.15,0.09
