日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,50817.09,50637.33,50817.09,50542.04,-0.27,-138.32,346351,543767886.0,0.54,0.22
2025-08-19 09:40:00,50643.14,50754.36,50761.36,50631.25,0.23,117.03,179885,281186846.0,0.26,0.12
2025-08-19 09:45:00,50752.92,50844.11,50870.91,50737.99,0.18,89.75,159552,247184337.0,0.26,0.1
2025-08-19 09:50:00,50840.98,50862.19,50927.04,50821.7,0.04,18.08,161226,304715474.0,0.21,0.1
2025-08-19 09:55:00,50860.15,50905.36,50984.8,50859.89,0.08,43.17,165654,256327726.0,0.25,0.11
2025-08-19 10:00:00,50905.84,50911.02,50917.27,50863.25,0.01,5.66,147851,204883896.0,0.11,0.09
2025-08-19 10:05:00,50905.72,50804.59,50924.78,50799.96,-0.21,-106.43,186494,308679209.0,0.25,0.12
2025-08-19 10:10:00,50797.73,50876.49,50883.0,50704.7,0.14,71.9,161944,263708598.0,0.35,0.1
2025-08-19 10:15:00,50873.95,50827.13,50893.77,50821.84,-0.1,-49.36,85544,147310498.0,0.14,0.05
2025-08-19 10:20:00,50826.1,50770.54,50828.2,50762.5,-0.11,-56.59,91706,159936242.0,0.13,0.06
2025-08-19 10:25:00,50768.45,50812.89,50846.24,50757.67,0.08,42.35,111723,197317789.0,0.17,0.07
2025-08-19 10:30:00,50808.03,50998.5,51008.34,50805.47,0.37,185.61,175097,262678138.0,0.4,0.11
2025-08-19 10:35:00,50998.22,51114.11,51139.16,50992.46,0.23,115.61,158560,202929548.0,0.29,0.1
2025-08-19 10:40:00,51113.09,51050.43,51119.27,51045.3,-0.12,-63.68,86575,127298261.0,0.14,0.06
2025-08-19 10:45:00,51048.14,50986.52,51070.22,50986.52,-0.13,-63.91,69132,99716923.0,0.16,0.04
2025-08-19 10:50:00,50989.6,51004.07,51037.73,50988.41,0.03,17.55,56268,82945125.0,0.1,0.04
2025-08-19 10:55:00,51005.04,51003.91,51019.98,50989.86,0.0,-0.16,49114,77430902.0,0.06,0.03
2025-08-19 11:00:00,51007.32,50950.46,51008.92,50945.09,-0.1,-53.45,62007,89323790.0,0.13,0.04
2025-08-19 11:05:00,50949.3,51038.13,51044.29,50949.3,0.17,87.67,66206,105290391.0,0.19,0.04
2025-08-19 11:10:00,51040.84,51017.3,51041.53,50998.65,-0.04,-20.83,100674,98302552.0,0.08,0.06
2025-08-19 11:15:00,51023.45,51053.02,51059.71,51022.59,0.07,35.72,69601,91982457.0,0.07,0.04
2025-08-19 11:20:00,51050.12,51039.67,51074.3,51032.29,-0.03,-13.35,56025,74970477.0,0.08,0.04
