日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,26131.12,26075.42,26146.76,26058.04,-0.09,-23.01,2205399,1732273683.0,0.34,0.1
2025-08-19 09:40:00,26076.94,26101.1,26101.76,26058.43,0.1,25.68,1267363,973418013.0,0.17,0.06
2025-08-19 09:45:00,26099.3,26159.39,26167.45,26091.15,0.22,58.29,1206466,863382381.0,0.29,0.05
2025-08-19 09:50:00,26159.27,26161.54,26177.63,26149.85,0.01,2.15,963785,727783265.0,0.11,0.04
2025-08-19 09:55:00,26161.0,26186.84,26192.93,26161.0,0.1,25.3,740363,584161278.0,0.12,0.03
2025-08-19 10:00:00,26184.96,26172.1,26200.84,26172.1,-0.06,-14.74,876106,607243382.0,0.11,0.04
2025-08-19 10:05:00,26170.94,26111.18,26176.85,26109.5,-0.23,-60.92,1304941,839752344.0,0.26,0.06
2025-08-19 10:10:00,26102.68,26125.96,26132.24,26058.54,0.06,14.78,1189200,775620577.0,0.28,0.05
2025-08-19 10:15:00,26131.11,26141.6,26167.08,26121.09,0.06,15.64,527251,383684110.0,0.18,0.02
2025-08-19 10:20:00,26141.32,26139.56,26156.84,26128.12,-0.01,-2.04,584803,371795372.0,0.11,0.03
2025-08-19 10:25:00,26134.41,26118.05,26147.71,26111.61,-0.08,-21.51,493124,386474131.0,0.14,0.02
2025-08-19 10:30:00,26124.25,26156.52,26164.39,26116.97,0.15,38.47,450844,347163145.0,0.18,0.02
2025-08-19 10:35:00,26154.01,26186.38,26195.42,26150.21,0.11,29.86,441074,321502512.0,0.17,0.02
2025-08-19 10:40:00,26186.34,26218.38,26226.17,26185.11,0.12,32.0,422014,321737958.0,0.16,0.02
2025-08-19 10:45:00,26218.18,26220.48,26227.58,26207.73,0.01,2.1,466478,369250907.0,0.08,0.02
2025-08-19 10:50:00,26221.56,26232.84,26245.28,26211.92,0.05,12.36,451975,489864022.0,0.13,0.02
2025-08-19 10:55:00,26234.3,26239.38,26253.4,26230.2,0.02,6.54,430751,378081529.0,0.09,0.02
2025-08-19 11:00:00,26237.21,26239.89,26255.41,26227.87,0.0,0.51,402135,300690880.0,0.1,0.02
2025-08-19 11:05:00,26240.92,26255.75,26261.19,26223.95,0.06,15.86,429442,353993688.0,0.14,0.02
2025-08-19 11:10:00,26253.38,26260.89,26268.74,26244.36,0.02,5.14,439547,367447853.0,0.09,0.02
2025-08-19 11:15:00,26254.63,26270.32,26275.69,26254.63,0.04,9.43,476409,345548559.0,0.08,0.02
2025-08-19 11:20:00,26267.1,26272.8,26287.51,26265.8,0.01,2.48,396556,269681881.0,0.08,0.02
2025-08-19 11:25:00,26270.44,26280.49,26284.18,26270.32,0.03,7.69,456023,328279950.0,0.05,0.02
2025-08-19 11:30:00,26279.83,26288.19,26294.35,26271.56,0.03,7.7,624997,419782860.0,0.09,0.03
2025-08-19 13:05:00,26288.19,26294.36,26300.2,26272.35,0.02,6.17,630014,440292238.0,0.11,0.03
