日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,2253.77,2264.43,2264.43,2249.19,0.69,15.45,851964,1593610005.0,0.68,0.17
2025-08-19 09:40:00,2263.12,2262.14,2266.29,2260.91,-0.1,-2.29,436761,866457817.0,0.24,0.09
2025-08-19 09:45:00,2262.18,2263.95,2264.61,2259.39,0.08,1.81,417864,679957188.0,0.23,0.08
2025-08-19 09:50:00,2263.86,2258.22,2264.15,2257.63,-0.25,-5.73,311454,535199874.0,0.29,0.06
2025-08-19 09:55:00,2257.88,2260.88,2261.41,2257.0,0.12,2.66,293845,553621810.0,0.2,0.06
2025-08-19 10:00:00,2260.66,2256.87,2261.8,2256.87,-0.18,-4.01,307221,581445903.0,0.22,0.06
2025-08-19 10:05:00,2256.55,2244.83,2256.55,2244.74,-0.53,-12.04,1061599,1776975761.0,0.52,0.21
2025-08-19 10:10:00,2245.16,2247.8,2248.02,2239.5,0.13,2.97,793403,1295781834.0,0.38,0.16
2025-08-19 10:15:00,2247.89,2246.37,2248.62,2246.3,-0.06,-1.43,220674,404435053.0,0.1,0.04
2025-08-19 10:20:00,2246.93,2245.71,2248.45,2245.69,-0.03,-0.66,187720,348110838.0,0.12,0.04
2025-08-19 10:25:00,2245.8,2245.62,2246.88,2244.8,0.0,-0.09,217992,444061655.0,0.09,0.04
2025-08-19 10:30:00,2245.95,2249.1,2249.73,2244.75,0.15,3.48,257369,431323178.0,0.22,0.05
2025-08-19 10:35:00,2249.07,2249.53,2249.96,2248.05,0.02,0.43,179120,272788127.0,0.08,0.04
2025-08-19 10:40:00,2249.75,2253.0,2254.44,2249.52,0.15,3.47,135868,210925649.0,0.22,0.03
2025-08-19 10:45:00,2253.06,2251.39,2253.57,2251.08,-0.07,-1.61,103373,186771272.0,0.11,0.02
2025-08-19 10:50:00,2251.43,2249.65,2251.43,2248.88,-0.08,-1.74,105086,188940546.0,0.11,0.02
2025-08-19 10:55:00,2249.55,2252.3,2252.3,2249.22,0.12,2.65,124217,198065431.0,0.14,0.02
2025-08-19 11:00:00,2252.22,2252.5,2254.54,2251.82,0.01,0.2,125578,202735575.0,0.12,0.03
2025-08-19 11:05:00,2252.73,2257.86,2258.05,2252.18,0.24,5.36,158270,256438058.0,0.26,0.03
2025-08-19 11:10:00,2257.51,2257.77,2258.71,2256.93,0.0,-0.09,120881,201235721.0,0.08,0.02
2025-08-19 11:15:00,2258.0,2261.92,2261.92,2258.0,0.18,4.15,140957,252344203.0,0.17,0.03
2025-08-19 11:20:00,2261.99,2261.63,2262.71,2261.17,-0.01,-0.29,134401,227220927.0,0.07,0.03
2025-08-19 11:25:00,2261.61,2262.43,2262.75,2260.77,0.04,0.8,135514,199868310.0,0.09,0.03
2025-08-19 11:30:00,2262.67,2263.97,2264.8,2262.1,0.07,1.54,102346,198508348.0,0.12,0.02
2025-08-19 13:05:00,2263.97,2270.5,2270.74,2263.97,0.29,6.53,276691,474181156.0,0.3,0.06
2025-08-19 13:10:00,2270.49,2274.0,2274.74,2268.86,0.15,3.5,233456,375189985.0,0.26,0.05
2025-08-19 13:15:00,2274.16,2272.55,2275.12,2271.81,-0.06,-1.45,185220,393046406.0,0.15,0.04
2025-08-19 13:20:00,2272.48,2276.66,2276.82,2272.33,0.18,4.11,156351,445584025.0,0.2,0.03
2025-08-19 13:25:00,2276.99,2274.73,2277.13,2273.78,-0.08,-1.93,139944,302052848.0,0.15,0.03
2025-08-19 13:30:00,2275.06,2272.25,2275.79,2270.95,-0.11,-2.48,141009,292361310.0,0.21,0.03
2025-08-19 13:35:00,2272.44,2267.7,2273.42,2267.7,-0.2,-4.55,175100,309257244.0,0.25,0.04
2025-08-19 13:40:00,2267.67,2268.91,2268.97,2264.59,0.05,1.21,117709,218814563.0,0.19,0.02
2025-08-19 13:45:00,2269.0,2268.32,2269.07,2267.13,-0.03,-0.59,99153,188340536.0,0.09,0.02
2025-08-19 13:50:00,2268.2,2263.02,2268.38,2262.85,-0.23,-5.3,133868,228190606.0,0.24,0.03
2025-08-19 13:55:00,2262.84,2257.71,2263.59,2257.61,-0.23,-5.31,199614,281409364.0,0.26,0.04
2025-08-19 14:00:00,2257.67,2260.08,2260.42,2257.67,0.1,2.37,113228,197038958.0,0.12,0.02
2025-08-19 14:05:00,2259.96,2263.29,2263.29,2258.39,0.14,3.21,138302,216678137.0,0.22,0.03
2025-08-19 14:10:00,2264.15,2266.52,2268.35,2262.89,0.14,3.23,110800,210444919.0,0.24,0.02
2025-08-19 14:15:00,2266.25,2265.09,2266.58,2264.11,-0.06,-1.43,101119,163348840.0,0.11,0.02
2025-08-19 14:20:00,2265.17,2261.65,2265.22,2261.53,-0.15,-3.44,100648,153546980.0,0.16,0.02
2025-08-19 14:25:00,2261.72,2257.89,2261.72,2257.21,-0.17,-3.76,152418,235766447.0,0.2,0.03
2025-08-19 14:30:00,2257.43,2255.06,2257.56,2252.13,-0.13,-2.83,193730,317901625.0,0.24,0.04
2025-08-19 14:35:00,2255.42,2259.28,2260.21,2255.42,0.19,4.22,120898,200212185.0,0.21,0.02
2025-08-19 14:40:00,2259.73,2258.83,2260.53,2258.68,-0.02,-0.45,127657,202727036.0,0.08,0.03
2025-08-19 14:45:00,2258.99,2258.74,2259.31,2256.9,0.0,-0.09,198030,339971109.0,0.11,0.04
2025-08-19 14:50:00,2258.76,2258.08,2259.63,2257.45,-0.03,-0.66,249766,423943381.0,0.1,0.05
2025-08-19 14:55:00,2257.72,2257.74,2258.36,2256.77,-0.02,-0.34,351235,609397564.0,0.07,0.07
2025-08-19 15:00:00,2257.97,2259.91,2260.1,2257.97,0.1,2.17,339438,608321192.0,0.09,0.07
2025-08-20 09:35:00,2254.89,2252.72,2256.47,2247.82,-0.32,-7.19,1312437,2380774515.0,0.38,0.26
2025-08-20 09:40:00,2252.27,2255.86,2255.89,2251.19,0.14,3.14,585286,997711271.0,0.21,0.12
2025-08-20 09:45:00,2255.71,2258.24,2259.9,2254.73,0.11,2.38,584552,1103959676.0,0.23,0.12
2025-08-20 09:50:00,2258.22,2270.23,2270.23,2257.48,0.53,11.99,702910,1435857230.0,0.56,0.14
2025-08-20 09:55:00,2270.42,2270.69,2273.18,2268.21,0.02,0.46,249427,695419234.0,0.22,0.05
2025-08-20 10:00:00,2270.59,2266.97,2270.77,2265.2,-0.16,-3.72,272508,529904941.0,0.25,0.05
2025-08-20 10:05:00,2267.24,2268.21,2269.76,2266.63,0.05,1.24,202220,399158434.0,0.14,0.04
2025-08-20 10:10:00,2267.86,2265.48,2268.93,2263.93,-0.12,-2.73,200651,350296917.0,0.22,0.04
2025-08-20 10:15:00,2265.41,2267.69,2267.79,2265.28,0.1,2.21,156397,286798460.0,0.11,0.03
2025-08-20 10:20:00,2267.32,2266.66,2269.57,2266.24,-0.05,-1.03,308301,598974653.0,0.15,0.06
2025-08-20 10:25:00,2266.48,2262.96,2266.48,2260.94,-0.16,-3.7,290996,557232322.0,0.24,0.06
2025-08-20 10:30:00,2262.61,2267.25,2267.25,2260.75,0.19,4.29,312581,545542388.0,0.29,0.06
2025-08-20 10:35:00,2266.81,2269.23,2270.43,2266.77,0.09,1.98,268043,400593381.0,0.16,0.05
2025-08-20 10:40:00,2269.22,2268.75,2270.01,2267.85,-0.02,-0.48,230453,339819124.0,0.1,0.05
2025-08-20 10:45:00,2269.16,2267.51,2269.37,2267.0,-0.05,-1.24,141059,237376605.0,0.1,0.03
2025-08-20 10:50:00,2267.35,2270.97,2270.97,2266.87,0.15,3.46,105528,204364956.0,0.18,0.02
2025-08-20 10:55:00,2270.87,2265.92,2270.99,2265.05,-0.22,-5.05,152728,244205944.0,0.26,0.03
2025-08-20 11:00:00,2266.22,2261.33,2266.22,2261.33,-0.2,-4.59,130596,231094269.0,0.22,0.03
2025-08-20 11:05:00,2261.41,2260.63,2261.41,2258.86,-0.03,-0.7,167884,281922764.0,0.11,0.03
2025-08-20 11:10:00,2260.77,2262.21,2263.64,2260.33,0.07,1.58,106369,258910134.0,0.15,0.02
2025-08-20 11:15:00,2262.25,2263.42,2263.42,2260.18,0.05,1.21,123846,223104204.0,0.14,0.02
2025-08-20 11:20:00,2263.44,2256.69,2263.44,2255.27,-0.3,-6.73,184941,287995118.0,0.36,0.04
2025-08-20 11:25:00,2256.35,2253.37,2258.14,2253.09,-0.15,-3.32,101986,172249836.0,0.22,0.02
2025-08-20 11:30:00,2253.44,2253.49,2253.88,2247.59,0.01,0.12,200779,298873997.0,0.28,0.04
2025-08-20 13:05:00,2253.49,2257.29,2258.02,2253.49,0.17,3.8,201913,291105674.0,0.2,0.04
2025-08-20 13:10:00,2257.1,2254.66,2258.87,2253.51,-0.12,-2.63,178999,259433176.0,0.24,0.04
2025-08-20 13:15:00,2254.69,2260.98,2262.32,2254.54,0.28,6.32,194905,308367209.0,0.35,0.04
2025-08-20 13:20:00,2260.68,2259.03,2260.86,2257.92,-0.09,-1.95,136629,225307934.0,0.13,0.03
2025-08-20 13:25:00,2259.05,2263.19,2263.59,2258.77,0.18,4.16,151661,256731275.0,0.21,0.03
