日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,708.25,707.01,708.82,704.96,-0.36,-2.58,499246,352116221.0,0.54,0.42
2025-08-19 09:40:00,706.55,707.82,708.12,706.23,0.11,0.81,199359,143033771.0,0.27,0.17
2025-08-19 09:45:00,707.95,708.85,708.93,706.79,0.15,1.03,252693,161462310.0,0.3,0.21
2025-08-19 09:50:00,708.61,710.11,710.79,708.61,0.18,1.26,193140,152780209.0,0.31,0.16
2025-08-19 09:55:00,710.29,710.31,710.73,709.78,0.03,0.2,139798,120488259.0,0.13,0.12
2025-08-19 10:00:00,710.42,709.0,710.83,708.97,-0.18,-1.31,182845,118376178.0,0.26,0.16
2025-08-19 10:05:00,708.91,706.27,709.07,706.27,-0.39,-2.73,169196,132936197.0,0.39,0.14
2025-08-19 10:10:00,706.59,707.04,707.28,705.23,0.11,0.77,217054,130554734.0,0.29,0.18
2025-08-19 10:15:00,707.0,706.61,707.99,706.55,-0.06,-0.43,102269,69606500.0,0.2,0.09
2025-08-19 10:20:00,706.76,706.03,707.29,705.92,-0.08,-0.58,115473,86604826.0,0.19,0.1
2025-08-19 10:25:00,706.03,705.34,706.14,704.84,-0.1,-0.69,77318,64950277.0,0.18,0.07
2025-08-19 10:30:00,705.27,707.12,707.35,705.27,0.25,1.78,63172,54498644.0,0.29,0.05
2025-08-19 10:35:00,707.09,708.82,708.96,706.8,0.24,1.7,95493,64685951.0,0.31,0.08
2025-08-19 10:40:00,708.92,709.44,709.88,708.72,0.09,0.62,182655,99594496.0,0.16,0.16
2025-08-19 10:45:00,709.63,709.62,710.21,709.15,0.03,0.18,109784,68029533.0,0.15,0.09
2025-08-19 10:50:00,709.46,708.91,709.62,708.71,-0.1,-0.71,41370,38678559.0,0.13,0.04
2025-08-19 10:55:00,709.07,709.43,709.57,708.82,0.07,0.52,40122,31942591.0,0.11,0.03
2025-08-19 11:00:00,709.37,709.07,709.68,709.07,-0.05,-0.36,46122,39110298.0,0.09,0.04
2025-08-19 11:05:00,709.31,709.71,709.88,709.02,0.09,0.64,41113,37364707.0,0.12,0.03
2025-08-19 11:10:00,709.72,710.67,711.01,709.55,0.14,0.96,49136,44290863.0,0.21,0.04
2025-08-19 11:15:00,710.53,710.95,711.38,710.47,0.04,0.28,44644,48272522.0,0.13,0.04
2025-08-19 11:20:00,710.85,710.71,711.03,710.41,-0.03,-0.24,69680,54672783.0,0.09,0.06
2025-08-19 11:25:00,710.71,711.08,711.4,710.51,0.05,0.37,67161,46960644.0,0.13,0.06
2025-08-19 11:30:00,711.2,711.09,711.3,710.54,0.0,0.01,62405,53650992.0,0.11,0.05
2025-08-19 13:05:00,711.09,711.42,711.73,710.68,0.05,0.33,139139,104701261.0,0.15,0.12
2025-08-19 13:10:00,711.43,710.52,711.43,710.51,-0.13,-0.9,49552,40698201.0,0.13,0.04
2025-08-19 13:15:00,710.61,709.71,711.11,709.61,-0.11,-0.81,51826,45819699.0,0.21,0.04
2025-08-19 13:20:00,709.76,709.8,710.44,709.52,0.01,0.09,49579,41427726.0,0.13,0.04
2025-08-19 13:25:00,709.88,709.0,710.08,708.7,-0.11,-0.8,96371,61434494.0,0.19,0.08
2025-08-19 13:30:00,709.0,708.64,709.13,708.33,-0.05,-0.36,78873,54994526.0,0.11,0.07
2025-08-19 13:35:00,708.9,708.18,709.11,708.17,-0.06,-0.46,56135,44239016.0,0.13,0.05
2025-08-19 13:40:00,708.12,708.85,708.91,707.36,0.09,0.67,73816,52442130.0,0.22,0.06
2025-08-19 13:45:00,708.93,708.97,709.13,708.29,0.02,0.12,42364,30920628.0,0.12,0.04
2025-08-19 13:50:00,708.98,707.83,709.11,707.55,-0.16,-1.14,47396,38329214.0,0.22,0.04
2025-08-19 13:55:00,707.61,706.9,707.88,706.36,-0.13,-0.93,63952,63044683.0,0.21,0.05
2025-08-19 14:00:00,706.89,706.74,707.39,706.49,-0.02,-0.16,65133,52567536.0,0.13,0.06
2025-08-19 14:05:00,706.74,708.37,708.46,706.25,0.23,1.63,45522,38491396.0,0.31,0.04
2025-08-19 14:10:00,708.07,708.12,708.88,708.07,-0.04,-0.25,79743,42225882.0,0.11,0.07
2025-08-19 14:15:00,708.08,707.92,708.42,707.59,-0.03,-0.2,37952,28723845.0,0.12,0.03
2025-08-19 14:20:00,707.85,707.71,708.6,707.71,-0.03,-0.21,45664,39446937.0,0.13,0.04
2025-08-19 14:25:00,707.71,707.57,708.03,707.16,-0.02,-0.14,53683,43831186.0,0.12,0.05
2025-08-19 14:30:00,707.32,706.96,707.53,706.75,-0.09,-0.61,100204,59379318.0,0.11,0.09
2025-08-19 14:35:00,707.13,707.82,708.14,707.13,0.12,0.86,62056,39759967.0,0.14,0.05
2025-08-19 14:40:00,707.94,707.82,708.36,707.61,0.0,0.0,42178,32190364.0,0.11,0.04
2025-08-19 14:45:00,708.0,708.59,708.61,707.39,0.11,0.77,118040,65915697.0,0.17,0.1
2025-08-19 14:50:00,708.28,708.54,708.77,708.08,-0.01,-0.05,98523,72428583.0,0.1,0.08
2025-08-19 14:55:00,708.53,708.82,708.89,708.0,0.04,0.28,109644,82998589.0,0.13,0.09
2025-08-19 15:00:00,708.67,708.86,709.19,708.52,0.01,0.04,125744,96056352.0,0.09,0.11
2025-08-20 09:35:00,707.09,705.12,707.45,702.75,-0.53,-3.74,318113,247599509.0,0.66,0.27
2025-08-20 09:40:00,705.19,706.37,706.47,703.83,0.18,1.25,199677,138760406.0,0.37,0.17
2025-08-20 09:45:00,706.34,705.42,706.87,705.42,-0.13,-0.95,170721,107802456.0,0.21,0.14
