日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1745.3,1742.43,1747.61,1738.05,-0.3,-5.17,792383,1893839900.0,0.55,0.34
2025-08-19 09:40:00,1742.9,1748.48,1750.26,1742.9,0.35,6.05,344207,793385863.0,0.42,0.15
2025-08-19 09:45:00,1748.38,1744.14,1748.38,1741.95,-0.25,-4.34,294515,635501628.0,0.37,0.13
2025-08-19 09:50:00,1744.46,1745.93,1747.09,1743.48,0.1,1.79,217268,476238398.0,0.21,0.09
2025-08-19 09:55:00,1746.06,1752.93,1753.77,1746.06,0.4,7.0,214995,458692940.0,0.44,0.09
2025-08-19 10:00:00,1752.97,1747.78,1752.97,1747.72,-0.29,-5.15,204088,380957054.0,0.3,0.09
2025-08-19 10:05:00,1747.85,1739.99,1747.85,1739.92,-0.45,-7.79,253843,553682325.0,0.45,0.11
2025-08-19 10:10:00,1739.81,1741.35,1742.08,1736.05,0.08,1.36,210986,437719171.0,0.35,0.09
2025-08-19 10:15:00,1741.43,1737.27,1741.68,1737.27,-0.23,-4.08,159591,272610843.0,0.25,0.07
2025-08-19 10:20:00,1737.59,1735.43,1737.69,1735.25,-0.11,-1.84,122086,278718204.0,0.14,0.05
2025-08-19 10:25:00,1735.4,1733.57,1735.4,1733.17,-0.11,-1.86,102364,224574182.0,0.13,0.04
2025-08-19 10:30:00,1733.09,1737.4,1737.79,1732.56,0.22,3.83,96676,185711478.0,0.3,0.04
2025-08-19 10:35:00,1737.15,1740.03,1740.57,1737.15,0.15,2.63,100487,147274854.0,0.2,0.04
2025-08-19 10:40:00,1740.21,1739.05,1740.27,1738.13,-0.06,-0.98,62196,111320390.0,0.12,0.03
2025-08-19 10:45:00,1738.9,1740.19,1740.4,1738.49,0.07,1.14,71788,118877853.0,0.11,0.03
2025-08-19 10:50:00,1739.95,1739.67,1740.3,1738.84,-0.03,-0.52,66614,113345607.0,0.08,0.03
2025-08-19 10:55:00,1739.59,1741.98,1742.18,1739.59,0.13,2.31,86646,133306013.0,0.15,0.04
2025-08-19 11:00:00,1742.08,1741.57,1742.99,1740.86,-0.02,-0.41,63990,121256177.0,0.12,0.03
2025-08-19 11:05:00,1741.61,1745.29,1745.76,1741.09,0.21,3.72,68974,121708656.0,0.27,0.03
2025-08-19 11:10:00,1745.94,1748.43,1748.54,1745.51,0.18,3.14,107191,172746974.0,0.17,0.05
2025-08-19 11:15:00,1748.61,1748.94,1749.4,1747.93,0.03,0.51,77412,179203186.0,0.08,0.03
2025-08-19 11:20:00,1749.1,1749.02,1749.98,1747.97,0.0,0.08,72101,130764824.0,0.11,0.03
2025-08-19 11:25:00,1748.97,1750.05,1751.02,1748.65,0.06,1.03,63542,118993764.0,0.14,0.03
2025-08-19 11:30:00,1750.26,1750.97,1751.44,1749.66,0.05,0.92,79866,138041762.0,0.1,0.03
2025-08-19 13:05:00,1750.97,1754.18,1755.3,1750.92,0.18,3.21,165924,279655143.0,0.25,0.07
2025-08-19 13:10:00,1753.6,1756.98,1757.83,1752.79,0.16,2.8,155779,235050853.0,0.29,0.07
2025-08-19 13:15:00,1756.81,1753.98,1756.84,1753.6,-0.17,-3.0,110379,200482352.0,0.18,0.05
2025-08-19 13:20:00,1754.07,1753.75,1754.07,1752.56,-0.01,-0.23,111562,201692239.0,0.09,0.05
2025-08-19 13:25:00,1753.88,1752.01,1754.0,1752.01,-0.1,-1.74,74714,150218842.0,0.11,0.03
2025-08-19 13:30:00,1751.95,1749.9,1751.95,1749.48,-0.12,-2.11,85981,170312605.0,0.14,0.04
2025-08-19 13:35:00,1749.91,1745.84,1750.76,1745.84,-0.23,-4.06,94902,150568075.0,0.28,0.04
2025-08-19 13:40:00,1745.75,1747.18,1747.38,1744.29,0.08,1.34,73590,134133507.0,0.18,0.03
2025-08-19 13:45:00,1747.45,1746.32,1747.91,1746.32,-0.05,-0.86,55882,94125180.0,0.09,0.02
2025-08-19 13:50:00,1746.54,1743.08,1746.54,1742.97,-0.19,-3.24,75213,129010772.0,0.2,0.03
2025-08-19 13:55:00,1742.9,1740.6,1742.9,1739.77,-0.14,-2.48,87742,151732249.0,0.18,0.04
2025-08-19 14:00:00,1740.56,1742.11,1742.59,1740.56,0.09,1.51,66592,109287331.0,0.12,0.03
2025-08-19 14:05:00,1742.27,1745.66,1746.01,1741.54,0.2,3.55,68897,116353619.0,0.26,0.03
2025-08-19 14:10:00,1745.58,1745.64,1747.79,1745.58,0.0,-0.02,53998,96118242.0,0.13,0.02
2025-08-19 14:15:00,1745.49,1744.07,1745.67,1743.92,-0.09,-1.57,56031,90441270.0,0.1,0.02
2025-08-19 14:20:00,1744.32,1743.62,1745.29,1743.41,-0.03,-0.45,60428,100589333.0,0.11,0.03
2025-08-19 14:25:00,1743.64,1739.83,1743.64,1739.82,-0.22,-3.79,76021,123815900.0,0.22,0.03
2025-08-19 14:30:00,1739.87,1738.86,1739.87,1736.27,-0.06,-0.97,93552,176591786.0,0.21,0.04
2025-08-19 14:35:00,1738.9,1741.89,1742.3,1738.9,0.17,3.03,78314,107787243.0,0.2,0.03
2025-08-19 14:40:00,1742.02,1742.4,1742.82,1741.77,0.03,0.51,60866,105238392.0,0.06,0.03
2025-08-19 14:45:00,1742.24,1741.59,1742.24,1740.32,-0.05,-0.81,65743,135822337.0,0.11,0.03
2025-08-19 14:50:00,1741.62,1741.48,1742.88,1741.18,-0.01,-0.11,106226,184930897.0,0.1,0.05
2025-08-19 14:55:00,1741.29,1741.1,1741.69,1740.09,-0.02,-0.38,110984,214935036.0,0.09,0.05
2025-08-19 15:00:00,1741.21,1742.21,1742.64,1741.21,0.06,1.11,147412,295253665.0,0.08,0.06
2025-08-20 09:35:00,1733.28,1736.47,1738.05,1729.65,-0.33,-5.74,477089,1113656275.0,0.48,0.2
2025-08-20 09:40:00,1736.94,1741.91,1743.43,1734.52,0.31,5.44,283923,626264123.0,0.51,0.12
2025-08-20 09:45:00,1741.62,1741.25,1746.34,1741.17,-0.04,-0.66,215255,424213523.0,0.3,0.09
2025-08-20 09:50:00,1741.1,1743.09,1744.27,1740.64,0.11,1.84,193003,312475641.0,0.21,0.08
2025-08-20 09:55:00,1743.33,1740.52,1744.02,1740.43,-0.15,-2.57,129589,251529568.0,0.21,0.06
2025-08-20 10:00:00,1740.48,1739.89,1740.96,1738.35,-0.04,-0.63,152820,256821910.0,0.15,0.07
2025-08-20 10:05:00,1739.73,1740.19,1741.21,1737.65,0.02,0.3,131984,249594758.0,0.2,0.06
2025-08-20 10:10:00,1740.14,1740.13,1740.78,1738.12,0.0,-0.06,142762,241553425.0,0.15,0.06
2025-08-20 10:15:00,1740.11,1740.08,1740.96,1738.92,0.0,-0.05,104879,204589212.0,0.12,0.05
2025-08-20 10:20:00,1740.01,1742.31,1742.57,1740.01,0.13,2.23,100869,170255760.0,0.15,0.04
2025-08-20 10:25:00,1741.83,1740.93,1742.3,1740.54,-0.08,-1.38,77193,147623932.0,0.1,0.03
2025-08-20 10:30:00,1740.79,1743.56,1743.56,1739.77,0.15,2.63,83451,174367133.0,0.22,0.04
2025-08-20 10:35:00,1743.28,1745.88,1746.12,1743.28,0.13,2.32,108438,165909124.0,0.16,0.05
2025-08-20 10:40:00,1745.9,1744.46,1746.52,1744.03,-0.08,-1.42,118702,184325904.0,0.14,0.05
2025-08-20 10:45:00,1744.21,1744.32,1745.39,1743.69,-0.01,-0.14,105970,221281789.0,0.1,0.05
2025-08-20 10:50:00,1744.25,1743.74,1744.25,1742.78,-0.03,-0.58,71262,138548236.0,0.08,0.03
2025-08-20 10:55:00,1743.63,1741.34,1743.63,1741.15,-0.14,-2.4,101931,201534939.0,0.14,0.04
2025-08-20 11:00:00,1741.11,1738.55,1741.44,1738.37,-0.16,-2.79,122491,250721417.0,0.18,0.05
2025-08-20 11:05:00,1738.47,1737.36,1738.47,1735.46,-0.07,-1.19,114565,237865771.0,0.17,0.05
2025-08-20 11:10:00,1737.29,1737.33,1738.14,1737.01,0.0,-0.03,86362,168920916.0,0.07,0.04
2025-08-20 11:15:00,1737.36,1735.47,1737.51,1735.06,-0.11,-1.86,72516,134251448.0,0.14,0.03
2025-08-20 11:20:00,1735.32,1731.95,1735.89,1731.22,-0.2,-3.52,106463,202440297.0,0.27,0.05
2025-08-20 11:25:00,1732.18,1729.31,1733.06,1729.31,-0.15,-2.64,81863,144871696.0,0.22,0.04
2025-08-20 11:30:00,1729.41,1732.07,1732.33,1725.58,0.16,2.76,160686,237251554.0,0.39,0.07
2025-08-20 13:05:00,1732.07,1730.32,1732.36,1730.18,-0.1,-1.75,93476,151759387.0,0.13,0.04
2025-08-20 13:10:00,1730.25,1728.57,1730.25,1728.06,-0.1,-1.75,88409,141849134.0,0.13,0.04
2025-08-20 13:15:00,1728.85,1732.06,1732.68,1728.6,0.2,3.49,70102,111810588.0,0.24,0.03
2025-08-20 13:20:00,1732.17,1732.48,1732.5,1731.12,0.02,0.42,60033,97372456.0,0.08,0.03
2025-08-20 13:25:00,1732.36,1733.08,1733.48,1731.91,0.03,0.6,56943,91253375.0,0.09,0.02
2025-08-20 13:30:00,1732.93,1734.39,1734.6,1732.38,0.08,1.31,73512,107662569.0,0.13,0.03
2025-08-20 13:35:00,1734.31,1734.54,1734.89,1733.62,0.01,0.15,84990,113270817.0,0.07,0.04
2025-08-20 13:40:00,1734.49,1736.17,1736.97,1734.49,0.09,1.63,68870,125629265.0,0.14,0.03
2025-08-20 13:45:00,1736.18,1734.4,1736.81,1734.31,-0.1,-1.77,74469,127255989.0,0.14,0.03
2025-08-20 13:50:00,1734.36,1735.24,1735.8,1734.29,0.05,0.84,72324,114105414.0,0.09,0.03
2025-08-20 13:55:00,1735.24,1735.28,1735.82,1734.7,0.0,0.04,79924,134367770.0,0.06,0.03
2025-08-20 14:00:00,1735.11,1735.83,1735.83,1733.61,0.03,0.55,70083,129406919.0,0.13,0.03
2025-08-20 14:05:00,1736.17,1740.05,1740.3,1736.13,0.24,4.22,78194,135154410.0,0.24,0.03
2025-08-20 14:10:00,1740.33,1739.95,1741.65,1739.7,-0.01,-0.1,97399,148207167.0,0.11,0.04
2025-08-20 14:15:00,1740.09,1741.86,1742.11,1739.64,0.11,1.91,88872,131497425.0,0.14,0.04
2025-08-20 14:20:00,1741.99,1743.7,1744.64,1741.7,0.11,1.84,155179,208499083.0,0.17,0.07
2025-08-20 14:25:00,1743.53,1741.18,1743.53,1740.6,-0.14,-2.52,101094,149825107.0,0.17,0.04
2025-08-20 14:30:00,1741.33,1743.89,1744.12,1741.02,0.16,2.71,99608,163312607.0,0.18,0.04
2025-08-20 14:35:00,1743.93,1745.69,1746.04,1743.92,0.1,1.8,116309,172531757.0,0.12,0.05
2025-08-20 14:40:00,1746.17,1744.52,1746.17,1743.32,-0.07,-1.17,100739,171459990.0,0.16,0.04
2025-08-20 14:45:00,1744.57,1744.81,1745.13,1743.58,0.02,0.29,136706,176788804.0,0.09,0.06
2025-08-20 14:50:00,1745.13,1746.81,1747.25,1744.78,0.11,2.0,163779,241560426.0,0.14,0.07
