日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,29699.71,29652.35,29734.77,29641.71,-0.2,-58.99,1634035,1129115417.0,0.31,0.36
2025-08-19 09:40:00,29645.23,29663.58,29686.36,29623.29,0.04,11.23,794900,598561372.0,0.21,0.18
2025-08-19 09:45:00,29668.99,29710.63,29747.1,29668.99,0.16,47.05,635920,436561006.0,0.26,0.14
2025-08-19 09:50:00,29707.62,29708.32,29753.06,29707.62,-0.01,-2.31,432091,371591691.0,0.15,0.1
2025-08-19 09:55:00,29712.38,29736.48,29746.77,29702.24,0.09,28.16,616496,362852037.0,0.15,0.14
2025-08-19 10:00:00,29727.6,29733.18,29765.96,29716.88,-0.01,-3.3,486694,384534863.0,0.17,0.11
2025-08-19 10:05:00,29731.19,29641.58,29739.67,29640.45,-0.31,-91.6,648166,505418573.0,0.33,0.14
2025-08-19 10:10:00,29637.69,29667.96,29679.09,29568.2,0.09,26.38,552299,464092595.0,0.37,0.12
2025-08-19 10:15:00,29670.42,29653.63,29678.38,29638.34,-0.05,-14.33,237635,210938383.0,0.13,0.05
2025-08-19 10:20:00,29652.91,29664.41,29696.59,29641.35,0.04,10.78,205080,202251685.0,0.19,0.05
2025-08-19 10:25:00,29669.83,29632.95,29674.97,29613.74,-0.11,-31.46,255637,169133834.0,0.21,0.06
2025-08-19 10:30:00,29629.47,29686.27,29691.55,29623.26,0.18,53.32,177430,159315127.0,0.23,0.04
2025-08-19 10:35:00,29680.34,29714.94,29735.76,29673.04,0.1,28.67,185222,186058474.0,0.21,0.04
2025-08-19 10:40:00,29719.39,29756.2,29771.86,29713.65,0.14,41.26,253723,174834879.0,0.2,0.06
2025-08-19 10:45:00,29754.19,29760.18,29772.67,29742.87,0.01,3.98,216347,138483323.0,0.1,0.05
2025-08-19 10:50:00,29762.75,29749.88,29776.0,29745.21,-0.03,-10.3,161581,124272383.0,0.1,0.04
2025-08-19 10:55:00,29755.12,29738.99,29755.31,29726.67,-0.04,-10.89,137578,106306782.0,0.1,0.03
2025-08-19 11:00:00,29734.08,29725.24,29749.94,29715.87,-0.05,-13.75,106816,98374749.0,0.11,0.02
2025-08-19 11:05:00,29732.16,29754.59,29764.03,29703.13,0.1,29.35,156623,143592303.0,0.2,0.03
2025-08-19 11:10:00,29761.3,29755.67,29779.16,29739.52,0.0,1.08,112610,121987489.0,0.13,0.03
2025-08-19 11:15:00,29756.85,29777.62,29788.57,29746.42,0.07,21.95,94294,95593192.0,0.14,0.02
2025-08-19 11:20:00,29774.95,29769.84,29781.58,29752.2,-0.03,-7.78,95959,93791450.0,0.1,0.02
2025-08-19 11:25:00,29771.14,29772.29,29785.99,29758.84,0.01,2.45,85786,86117006.0,0.09,0.02
2025-08-19 11:30:00,29773.46,29759.35,29780.6,29746.91,-0.04,-12.94,104226,105021165.0,0.11,0.02
2025-08-19 13:05:00,29759.35,29805.38,29805.38,29756.23,0.15,46.03,262027,224638549.0,0.17,0.06
2025-08-19 13:10:00,29799.65,29785.45,29810.28,29780.25,-0.07,-19.93,150767,134377168.0,0.1,0.03
2025-08-19 13:15:00,29792.42,29793.56,29814.92,29782.06,0.03,8.11,148291,148271244.0,0.11,0.03
2025-08-19 13:20:00,29797.81,29779.77,29820.22,29773.38,-0.05,-13.79,144876,147396465.0,0.16,0.03
2025-08-19 13:25:00,29780.79,29764.38,29802.57,29764.38,-0.05,-15.39,154127,107404616.0,0.13,0.03
2025-08-19 13:30:00,29765.15,29737.76,29771.03,29732.3,-0.09,-26.62,149218,161503694.0,0.13,0.03
2025-08-19 13:35:00,29736.67,29697.99,29752.03,29682.05,-0.13,-39.77,242429,227976934.0,0.24,0.05
2025-08-19 13:40:00,29692.06,29696.79,29722.04,29680.22,0.0,-1.2,155582,143056205.0,0.14,0.03
2025-08-19 13:45:00,29703.57,29701.27,29722.53,29693.91,0.02,4.48,173771,126764711.0,0.1,0.04
2025-08-19 13:50:00,29710.85,29687.67,29715.62,29669.96,-0.05,-13.6,139074,133240718.0,0.15,0.03
2025-08-19 13:55:00,29688.4,29661.56,29695.88,29624.79,-0.09,-26.11,255912,200120771.0,0.24,0.06
2025-08-19 14:00:00,29659.5,29681.2,29692.17,29659.5,0.07,19.64,208641,152713266.0,0.11,0.05
2025-08-19 14:05:00,29687.44,29719.51,29735.08,29667.46,0.13,38.31,128668,99041385.0,0.23,0.03
2025-08-19 14:10:00,29718.83,29730.14,29756.82,29718.21,0.04,10.63,193957,245146206.0,0.13,0.04
2025-08-19 14:15:00,29740.37,29702.48,29740.37,29701.79,-0.09,-27.66,132756,124979815.0,0.13,0.03
2025-08-19 14:20:00,29708.94,29679.91,29728.79,29679.91,-0.08,-22.57,130741,135290529.0,0.16,0.03
2025-08-19 14:25:00,29681.61,29646.64,29684.34,29640.53,-0.11,-33.27,191590,164030513.0,0.15,0.04
2025-08-19 14:30:00,29650.55,29618.56,29656.54,29611.85,-0.09,-28.08,166398,186292627.0,0.15,0.04
2025-08-19 14:35:00,29620.82,29651.44,29660.87,29620.82,0.11,32.88,124990,122881419.0,0.14,0.03
2025-08-19 14:40:00,29640.05,29650.88,29670.2,29640.05,0.0,-0.56,184703,139962982.0,0.1,0.04
2025-08-19 14:45:00,29650.79,29655.02,29663.6,29631.5,0.01,4.14,213958,223029154.0,0.11,0.05
2025-08-19 14:50:00,29654.59,29667.19,29673.1,29646.15,0.04,12.17,216117,212996198.0,0.09,0.05
2025-08-19 14:55:00,29660.17,29659.87,29682.84,29649.37,-0.02,-7.32,326309,337878993.0,0.11,0.07
2025-08-19 15:00:00,29656.68,29656.03,29677.5,29653.14,-0.01,-3.84,339718,280730830.0,0.08,0.08
2025-08-20 09:35:00,29627.67,29628.23,29653.78,29495.55,-0.09,-27.8,991042,721456259.0,0.53,0.22
2025-08-20 09:40:00,29615.05,29635.66,29665.1,29610.03,0.03,7.43,487822,296471232.0,0.19,0.11
2025-08-20 09:45:00,29633.38,29595.62,29675.32,29592.58,-0.14,-40.04,421556,318762608.0,0.28,0.09
2025-08-20 09:50:00,29601.62,29614.37,29624.94,29570.07,0.06,18.75,419189,442462250.0,0.19,0.09
2025-08-20 09:55:00,29611.4,29585.02,29618.45,29577.36,-0.1,-29.35,361150,306294516.0,0.14,0.08
2025-08-20 10:00:00,29595.85,29562.1,29600.5,29539.8,-0.08,-22.92,357089,312116459.0,0.21,0.08
2025-08-20 10:05:00,29558.9,29540.53,29583.91,29530.25,-0.07,-21.57,344309,259081408.0,0.18,0.08
2025-08-20 10:10:00,29537.74,29550.39,29569.52,29537.74,0.03,9.86,388199,332977651.0,0.11,0.09
2025-08-20 10:15:00,29549.4,29545.7,29560.11,29530.14,-0.02,-4.69,187281,170886714.0,0.1,0.04
2025-08-20 10:20:00,29550.19,29532.45,29556.58,29519.05,-0.04,-13.25,231604,213163319.0,0.13,0.05
2025-08-20 10:25:00,29514.84,29531.51,29541.2,29507.11,0.0,-0.94,288190,201431442.0,0.12,0.06
2025-08-20 10:30:00,29525.3,29582.35,29582.35,29521.57,0.17,50.84,171883,182861940.0,0.21,0.04
2025-08-20 10:35:00,29580.11,29646.96,29654.71,29580.11,0.22,64.61,246979,171918664.0,0.25,0.06
2025-08-20 10:40:00,29648.05,29675.61,29711.2,29648.05,0.1,28.65,241333,218048545.0,0.21,0.05
2025-08-20 10:45:00,29674.18,29696.48,29696.48,29653.71,0.07,20.87,137575,116960949.0,0.14,0.03
2025-08-20 10:50:00,29683.29,29680.41,29697.03,29659.51,-0.05,-16.07,107320,103751729.0,0.13,0.02
2025-08-20 10:55:00,29673.76,29637.01,29679.56,29637.01,-0.15,-43.4,140971,100996692.0,0.14,0.03
2025-08-20 11:00:00,29642.13,29641.04,29657.4,29618.03,0.01,4.03,142393,104870613.0,0.13,0.03
2025-08-20 11:05:00,29639.6,29634.45,29641.91,29599.4,-0.02,-6.59,156888,128516557.0,0.14,0.04
2025-08-20 11:10:00,29633.52,29633.31,29647.07,29615.61,0.0,-1.14,123574,93376672.0,0.11,0.03
2025-08-20 11:15:00,29637.94,29635.67,29648.22,29610.77,0.01,2.36,99386,79651475.0,0.13,0.02
2025-08-20 11:20:00,29625.89,29587.89,29635.26,29571.21,-0.16,-47.78,168447,138237692.0,0.22,0.04
2025-08-20 11:25:00,29594.01,29566.74,29607.09,29555.18,-0.07,-21.15,137660,104662735.0,0.18,0.03
2025-08-20 11:30:00,29559.27,29550.06,29564.06,29499.44,-0.06,-16.68,355512,180882358.0,0.22,0.08
2025-08-20 13:05:00,29550.06,29555.66,29599.45,29550.06,0.02,5.6,151690,122004692.0,0.17,0.03
2025-08-20 13:10:00,29557.12,29552.88,29574.01,29539.22,-0.01,-2.78,102745,83487053.0,0.12,0.02
2025-08-20 13:15:00,29552.21,29597.11,29603.33,29548.59,0.15,44.23,94412,76695326.0,0.19,0.02
