日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1088.53,1093.65,1094.18,1086.89,1.16,12.59,148030,121109777.0,0.67,0.15
2025-08-19 09:40:00,1093.52,1100.14,1100.14,1091.65,0.59,6.49,89600,91289193.0,0.78,0.09
2025-08-19 09:45:00,1100.1,1099.55,1100.87,1098.24,-0.05,-0.59,197276,104258200.0,0.24,0.2
2025-08-19 09:50:00,1099.63,1099.48,1100.36,1098.51,-0.01,-0.07,93104,74434690.0,0.17,0.09
2025-08-19 09:55:00,1099.3,1100.96,1101.56,1099.03,0.13,1.48,53628,46029051.0,0.23,0.05
2025-08-19 10:00:00,1101.14,1103.5,1104.47,1100.12,0.23,2.54,57745,52522395.0,0.4,0.06
2025-08-19 10:05:00,1103.54,1097.53,1103.97,1097.53,-0.54,-5.97,93120,57888584.0,0.58,0.09
2025-08-19 10:10:00,1097.73,1097.51,1098.13,1095.36,0.0,-0.02,81327,55833749.0,0.25,0.08
2025-08-19 10:15:00,1097.42,1099.52,1100.1,1097.34,0.18,2.01,112750,41372445.0,0.25,0.11
2025-08-19 10:20:00,1099.74,1097.91,1099.88,1097.16,-0.15,-1.61,34164,22722286.0,0.25,0.03
2025-08-19 10:25:00,1097.64,1096.24,1097.75,1095.63,-0.15,-1.67,48933,23479699.0,0.19,0.05
2025-08-19 10:30:00,1096.42,1098.09,1098.6,1096.08,0.17,1.85,31992,24935444.0,0.23,0.03
2025-08-19 10:35:00,1097.92,1099.66,1100.12,1097.92,0.14,1.57,37116,28424787.0,0.2,0.04
2025-08-19 10:40:00,1099.76,1099.97,1100.77,1099.16,0.03,0.31,62708,47263568.0,0.15,0.06
2025-08-19 10:45:00,1100.07,1099.65,1101.19,1099.39,-0.03,-0.32,48200,23604264.0,0.16,0.05
2025-08-19 10:50:00,1099.65,1098.27,1100.28,1098.08,-0.13,-1.38,35147,26508943.0,0.2,0.04
2025-08-19 10:55:00,1098.35,1101.47,1101.47,1098.22,0.29,3.2,35468,24107616.0,0.3,0.04
2025-08-19 11:00:00,1101.73,1101.13,1102.24,1100.95,-0.03,-0.34,61038,35951245.0,0.12,0.06
2025-08-19 11:05:00,1101.13,1105.39,1105.79,1101.02,0.39,4.26,87608,54728684.0,0.43,0.09
2025-08-19 11:10:00,1105.97,1107.84,1108.61,1105.11,0.22,2.45,92895,59867582.0,0.32,0.09
2025-08-19 11:15:00,1107.77,1110.03,1110.6,1107.77,0.2,2.19,75840,56952998.0,0.26,0.08
2025-08-19 11:20:00,1110.01,1111.42,1111.88,1109.62,0.13,1.39,53069,42102298.0,0.2,0.05
2025-08-19 11:25:00,1111.44,1111.47,1111.93,1110.46,0.0,0.05,38145,27604545.0,0.13,0.04
2025-08-19 11:30:00,1111.45,1112.37,1113.55,1111.23,0.08,0.9,43961,33519965.0,0.21,0.04
2025-08-19 13:05:00,1112.37,1114.35,1114.81,1111.4,0.18,1.98,94727,70133376.0,0.31,0.09
2025-08-19 13:10:00,1114.35,1114.08,1115.39,1113.47,-0.02,-0.27,50603,44513171.0,0.17,0.05
2025-08-19 13:15:00,1113.84,1113.15,1114.44,1112.78,-0.08,-0.93,34389,29284202.0,0.15,0.03
2025-08-19 13:20:00,1113.21,1113.66,1114.31,1112.59,0.05,0.51,43739,36458884.0,0.15,0.04
2025-08-19 13:25:00,1113.5,1112.66,1113.76,1111.94,-0.09,-1.0,40667,40500966.0,0.16,0.04
2025-08-19 13:30:00,1112.47,1111.93,1113.35,1111.16,-0.07,-0.73,34698,28610263.0,0.2,0.03
2025-08-19 13:35:00,1111.75,1110.72,1112.54,1109.72,-0.11,-1.21,34254,31814530.0,0.25,0.03
2025-08-19 13:40:00,1110.72,1111.36,1111.46,1109.18,0.06,0.64,46057,33271601.0,0.21,0.05
2025-08-19 13:45:00,1111.49,1111.88,1112.47,1110.99,0.05,0.52,25281,21619236.0,0.13,0.03
2025-08-19 13:50:00,1111.82,1110.47,1112.35,1110.29,-0.13,-1.41,25049,24367156.0,0.19,0.03
2025-08-19 13:55:00,1110.98,1107.04,1111.76,1106.79,-0.31,-3.43,45133,35596270.0,0.45,0.05
2025-08-19 14:00:00,1107.0,1107.84,1109.17,1107.0,0.07,0.8,22585,19715254.0,0.2,0.02
2025-08-19 14:05:00,1107.9,1109.41,1109.61,1107.16,0.14,1.57,21939,18390826.0,0.22,0.02
2025-08-19 14:10:00,1109.61,1110.46,1110.46,1108.86,0.09,1.05,15045,12012483.0,0.14,0.02
2025-08-19 14:15:00,1110.46,1110.9,1110.9,1108.57,0.04,0.44,27922,18262750.0,0.21,0.03
2025-08-19 14:20:00,1110.8,1109.19,1110.9,1108.99,-0.15,-1.71,24953,19884718.0,0.17,0.02
2025-08-19 14:25:00,1109.23,1106.57,1109.23,1106.57,-0.24,-2.62,19999,18134065.0,0.24,0.02
2025-08-19 14:30:00,1106.35,1107.08,1107.47,1105.6,0.05,0.51,29930,27134718.0,0.17,0.03
2025-08-19 14:35:00,1107.02,1108.13,1108.61,1107.02,0.09,1.05,28194,25582289.0,0.14,0.03
2025-08-19 14:40:00,1108.23,1108.47,1109.08,1107.4,0.03,0.34,27180,25769626.0,0.15,0.03
2025-08-19 14:45:00,1108.41,1108.37,1108.58,1107.33,-0.01,-0.1,31838,29421963.0,0.11,0.03
2025-08-19 14:50:00,1108.04,1108.37,1109.54,1108.01,0.0,0.0,43588,36406760.0,0.14,0.04
2025-08-19 14:55:00,1108.27,1107.3,1108.54,1106.79,-0.1,-1.07,65789,53916092.0,0.16,0.07
2025-08-19 15:00:00,1107.76,1108.6,1109.21,1107.7,0.12,1.3,72821,47500360.0,0.14,0.07
2025-08-20 09:35:00,1108.96,1112.03,1112.21,1105.76,0.31,3.43,293074,152612106.0,0.58,0.29
2025-08-20 09:40:00,1112.06,1114.33,1115.35,1109.78,0.21,2.3,166784,89746298.0,0.5,0.17
2025-08-20 09:45:00,1114.04,1116.74,1119.42,1113.53,0.22,2.41,189513,78651020.0,0.53,0.19
2025-08-20 09:50:00,1116.89,1116.49,1118.11,1115.74,-0.02,-0.25,90174,46183858.0,0.21,0.09
2025-08-20 09:55:00,1116.18,1115.7,1117.19,1114.13,-0.07,-0.79,115482,73078370.0,0.27,0.12
2025-08-20 10:00:00,1115.13,1115.2,1115.79,1113.53,-0.04,-0.5,75408,55686616.0,0.2,0.08
2025-08-20 10:05:00,1115.13,1113.58,1115.13,1113.06,-0.15,-1.62,49902,39456170.0,0.19,0.05
2025-08-20 10:10:00,1113.26,1112.76,1113.69,1112.35,-0.07,-0.82,63190,36400300.0,0.12,0.06
2025-08-20 10:15:00,1112.89,1113.72,1114.0,1112.1,0.09,0.96,32138,23910628.0,0.17,0.03
2025-08-20 10:20:00,1113.86,1112.74,1113.86,1112.21,-0.09,-0.98,31833,20784593.0,0.15,0.03
2025-08-20 10:25:00,1112.79,1110.01,1112.79,1109.92,-0.25,-2.73,44639,33940456.0,0.26,0.04
2025-08-20 10:30:00,1109.97,1111.98,1111.98,1109.54,0.18,1.97,39642,30083613.0,0.22,0.04
2025-08-20 10:35:00,1112.06,1114.81,1115.57,1111.42,0.25,2.83,66411,35307259.0,0.37,0.07
2025-08-20 10:40:00,1114.86,1114.98,1116.75,1114.28,0.02,0.17,48190,30003069.0,0.22,0.05
