日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,48753.66,48796.14,48796.5,48530.55,0.19,93.11,5785917,9981088720.0,0.55,0.5
2025-08-19 09:40:00,48795.73,48838.27,48885.96,48734.57,0.09,42.13,3035959,4895979904.0,0.31,0.26
2025-08-19 09:45:00,48835.29,48732.55,48835.29,48677.22,-0.22,-105.72,2439801,4223142560.0,0.32,0.21
2025-08-19 09:50:00,48729.23,48724.74,48738.78,48672.73,-0.02,-7.81,1973642,3218329856.0,0.14,0.17
2025-08-19 09:55:00,48721.88,48742.29,48772.53,48721.88,0.04,17.55,1526659,2530225088.0,0.1,0.13
2025-08-19 10:00:00,48739.91,48596.68,48739.91,48596.39,-0.3,-145.61,1899151,3166728624.0,0.29,0.16
2025-08-19 10:05:00,48595.4,48354.16,48598.97,48354.16,-0.5,-242.52,2270381,4007683936.0,0.5,0.2
2025-08-19 10:10:00,48351.29,48422.83,48424.45,48243.41,0.14,68.67,2118949,3537080112.0,0.37,0.18
2025-08-19 10:15:00,48424.51,48355.29,48431.63,48346.64,-0.14,-67.54,1062295,1981811456.0,0.18,0.09
2025-08-19 10:20:00,48358.09,48279.3,48363.95,48279.3,-0.16,-75.99,957671,1849721232.0,0.18,0.08
2025-08-19 10:25:00,48280.14,48252.82,48308.56,48248.32,-0.05,-26.48,969580,1794897152.0,0.12,0.08
2025-08-19 10:30:00,48251.45,48419.63,48428.24,48251.45,0.35,166.81,1199054,1568550208.0,0.37,0.1
2025-08-19 10:35:00,48422.0,48482.86,48482.91,48411.33,0.13,63.23,808192,1429238019.0,0.15,0.07
2025-08-19 10:40:00,48486.21,48551.36,48554.32,48486.21,0.14,68.5,718484,1294372753.0,0.14,0.06
2025-08-19 10:45:00,48552.1,48580.68,48580.68,48536.83,0.06,29.32,688101,1248903354.0,0.09,0.06
2025-08-19 10:50:00,48582.54,48584.17,48586.45,48524.63,0.01,3.49,753366,1400607779.0,0.13,0.07
2025-08-19 10:55:00,48586.23,48767.43,48767.43,48586.23,0.38,183.26,1205980,2253091008.0,0.37,0.1
2025-08-19 11:00:00,48767.52,48711.72,48793.56,48705.77,-0.11,-55.71,1369288,1792322327.0,0.18,0.12
2025-08-19 11:05:00,48713.93,48902.19,48912.9,48713.93,0.39,190.47,948852,1718342891.0,0.41,0.08
2025-08-19 11:10:00,48905.69,48916.12,48921.88,48868.25,0.03,13.93,933308,1779963984.0,0.11,0.08
2025-08-19 11:15:00,48916.95,49031.35,49035.99,48916.95,0.24,115.23,1067147,1937472112.0,0.24,0.09
2025-08-19 11:20:00,49025.26,49084.13,49100.76,48997.77,0.11,52.78,1072117,1839725808.0,0.21,0.09
2025-08-19 11:25:00,49086.65,49191.7,49205.28,49086.65,0.22,107.57,1342026,2165921968.0,0.24,0.12
2025-08-19 11:30:00,49193.76,49336.69,49339.93,49191.43,0.29,144.99,1415766,2629952032.0,0.3,0.12
2025-08-19 13:05:00,49336.69,49510.18,49531.5,49336.69,0.35,173.49,2280285,4715993392.0,0.39,0.2
2025-08-19 13:10:00,49509.62,49610.88,49619.58,49477.85,0.2,100.7,1449702,3049045856.0,0.29,0.13
2025-08-19 13:15:00,49614.26,49590.05,49634.71,49580.29,-0.04,-20.83,1543090,2842076400.0,0.11,0.13
2025-08-19 13:20:00,49592.11,49558.69,49610.46,49546.5,-0.06,-31.36,1375409,2402695984.0,0.13,0.12
2025-08-19 13:25:00,49554.7,49557.16,49567.22,49533.4,0.0,-1.53,841787,1643775376.0,0.07,0.07
2025-08-19 13:30:00,49554.77,49517.27,49580.41,49486.98,-0.08,-39.89,885478,1766284512.0,0.19,0.08
2025-08-19 13:35:00,49517.04,49394.12,49517.04,49383.11,-0.25,-123.15,987317,1726477120.0,0.27,0.09
2025-08-19 13:40:00,49392.28,49457.61,49459.84,49360.23,0.13,63.49,1027886,1583482362.0,0.2,0.09
2025-08-19 13:45:00,49455.7,49402.97,49458.91,49402.97,-0.11,-54.64,707827,1213542078.0,0.11,0.06
2025-08-19 13:50:00,49398.82,49290.2,49402.55,49290.2,-0.23,-112.77,905641,2043245136.0,0.23,0.08
2025-08-19 13:55:00,49290.64,49185.28,49290.64,49153.36,-0.21,-104.92,878969,1754179264.0,0.28,0.08
2025-08-19 14:00:00,49194.14,49206.6,49242.11,49194.14,0.04,21.32,590066,1220565766.0,0.1,0.05
2025-08-19 14:05:00,49203.53,49334.02,49334.02,49182.39,0.26,127.42,621307,1203678081.0,0.31,0.05
2025-08-19 14:10:00,49334.1,49369.66,49371.94,49334.1,0.07,35.64,635844,1252440717.0,0.08,0.06
2025-08-19 14:15:00,49368.12,49326.61,49368.12,49310.65,-0.09,-43.05,593387,1161150826.0,0.12,0.05
2025-08-19 14:20:00,49327.68,49293.81,49359.86,49293.81,-0.07,-32.8,588645,1233775888.0,0.13,0.05
2025-08-19 14:25:00,49295.04,49229.75,49295.04,49227.5,-0.13,-64.06,603453,1154034776.0,0.14,0.05
2025-08-19 14:30:00,49229.47,49189.04,49229.47,49135.6,-0.08,-40.71,871026,1439329408.0,0.19,0.08
2025-08-19 14:35:00,49191.95,49314.18,49319.68,49191.95,0.25,125.14,808100,1404541069.0,0.26,0.07
2025-08-19 14:40:00,49316.19,49330.54,49354.78,49315.73,0.03,16.36,735884,1455201056.0,0.08,0.06
2025-08-19 14:45:00,49332.51,49361.51,49362.37,49308.07,0.06,30.97,789931,1453749264.0,0.11,0.07
2025-08-19 14:50:00,49363.37,49376.47,49380.34,49360.97,0.03,14.96,984852,1717249872.0,0.04,0.09
2025-08-19 14:55:00,49376.26,49354.96,49376.26,49348.85,-0.04,-21.51,1352108,2330155568.0,0.06,0.12
2025-08-19 15:00:00,49358.02,49370.69,49372.73,49355.36,0.03,15.73,1453061,2373708067.0,0.04,0.13
2025-08-20 09:35:00,49173.08,49206.4,49259.85,49041.05,-0.33,-164.29,5852280,10664021712.0,0.44,0.51
2025-08-20 09:40:00,49199.77,49321.13,49338.18,49171.73,0.23,114.73,2770111,5060391968.0,0.34,0.24
2025-08-20 09:45:00,49318.95,49414.2,49511.04,49310.63,0.19,93.07,2270343,4021945984.0,0.41,0.2
2025-08-20 09:50:00,49413.14,49449.38,49490.44,49361.6,0.07,35.18,1698634,3105020288.0,0.26,0.15
2025-08-20 09:55:00,49457.91,49366.75,49490.03,49366.75,-0.17,-82.63,1551293,2611292928.0,0.25,0.13
2025-08-20 10:00:00,49365.33,49289.02,49365.33,49220.07,-0.16,-77.73,1509123,2526671648.0,0.29,0.13
2025-08-20 10:05:00,49289.68,49359.19,49399.25,49285.28,0.14,70.17,1318210,2170648496.0,0.23,0.11
2025-08-20 10:10:00,49356.79,49341.5,49397.59,49308.53,-0.04,-17.69,1495145,2534771824.0,0.18,0.13
2025-08-20 10:15:00,49343.58,49425.39,49425.39,49312.26,0.17,83.89,1136079,2271408144.0,0.23,0.1
2025-08-20 10:20:00,49425.77,49510.02,49512.07,49425.77,0.17,84.63,1344885,2803919424.0,0.17,0.12
2025-08-20 10:25:00,49506.36,49505.54,49509.59,49447.8,-0.01,-4.48,1156505,2367135696.0,0.12,0.1
2025-08-20 10:30:00,49508.94,49570.68,49570.68,49488.09,0.13,65.14,1019819,1777252528.0,0.17,0.09
2025-08-20 10:35:00,49570.57,49634.93,49642.39,49567.47,0.13,64.25,903772,1607069840.0,0.15,0.08
2025-08-20 10:40:00,49636.82,49594.61,49700.11,49588.78,-0.08,-40.32,1059990,1618670512.0,0.22,0.09
2025-08-20 10:45:00,49593.98,49561.04,49596.07,49561.04,-0.07,-33.57,661907,1160665482.0,0.07,0.06
2025-08-20 10:50:00,49559.36,49609.14,49613.72,49554.22,0.1,48.1,639524,1123590115.0,0.12,0.06
2025-08-20 10:55:00,49610.68,49537.35,49610.68,49536.67,-0.14,-71.79,705940,1192087851.0,0.15,0.06
