日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1902.12,1906.97,1906.97,1892.96,0.57,10.83,5626928,12644223232.0,0.74,0.72
2025-08-19 09:40:00,1906.84,1909.57,1910.68,1903.79,0.14,2.6,2321182,6262634816.0,0.36,0.3
2025-08-19 09:45:00,1909.49,1906.21,1909.49,1901.54,-0.18,-3.36,1738770,4635671456.0,0.42,0.22
2025-08-19 09:50:00,1906.4,1904.25,1907.25,1902.57,-0.1,-1.96,1482334,3784031760.0,0.25,0.19
2025-08-19 09:55:00,1904.26,1904.76,1908.2,1903.86,0.03,0.51,1374564,3212143712.0,0.23,0.18
2025-08-19 10:00:00,1904.51,1898.24,1905.02,1898.24,-0.34,-6.52,1590938,3660829968.0,0.36,0.2
2025-08-19 10:05:00,1898.06,1887.23,1898.06,1887.23,-0.58,-11.01,1763228,4321591568.0,0.57,0.22
2025-08-19 10:10:00,1887.12,1893.35,1893.48,1883.62,0.32,6.12,1473747,3772691728.0,0.52,0.19
2025-08-19 10:15:00,1893.6,1885.75,1893.6,1885.48,-0.4,-7.6,945574,2529581216.0,0.43,0.12
2025-08-19 10:20:00,1885.78,1884.27,1888.0,1883.96,-0.08,-1.48,761168,2084826560.0,0.21,0.1
2025-08-19 10:25:00,1884.26,1885.46,1885.46,1883.02,0.06,1.19,673742,1907557616.0,0.13,0.09
2025-08-19 10:30:00,1885.8,1892.76,1893.47,1885.8,0.39,7.3,627888,1643798576.0,0.41,0.08
2025-08-19 10:35:00,1892.56,1894.73,1894.9,1891.53,0.1,1.97,497169,1421558532.0,0.18,0.06
2025-08-19 10:40:00,1894.69,1898.73,1898.98,1894.69,0.21,4.0,535498,1374032561.0,0.23,0.07
2025-08-19 10:45:00,1898.54,1896.47,1899.09,1895.79,-0.12,-2.26,524254,1232486863.0,0.17,0.07
2025-08-19 10:50:00,1896.51,1898.37,1898.56,1895.46,0.1,1.9,427227,1020596330.0,0.16,0.05
2025-08-19 10:55:00,1898.54,1901.31,1901.73,1898.54,0.15,2.94,408626,1012715965.0,0.17,0.05
2025-08-19 11:00:00,1901.39,1902.18,1903.39,1900.87,0.05,0.87,716923,1283642677.0,0.13,0.09
2025-08-19 11:05:00,1902.33,1912.32,1912.69,1902.33,0.53,10.14,1109446,1804128992.0,0.54,0.14
2025-08-19 11:10:00,1912.34,1912.29,1913.37,1910.8,0.0,-0.03,680427,1550630219.0,0.13,0.09
