日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1518.38,1508.35,1518.64,1504.69,-0.75,-11.41,1147349,1463434489.0,0.92,0.35
2025-08-19 09:40:00,1509.27,1515.54,1517.36,1508.18,0.48,7.19,646886,809130257.0,0.61,0.2
2025-08-19 09:45:00,1515.47,1520.49,1521.51,1512.7,0.33,4.95,668124,800536358.0,0.58,0.2
2025-08-19 09:50:00,1520.65,1520.35,1522.91,1520.25,-0.01,-0.14,639856,793334705.0,0.17,0.19
2025-08-19 09:55:00,1520.63,1520.39,1521.71,1517.83,0.0,0.04,481372,579240220.0,0.26,0.15
2025-08-19 10:00:00,1520.16,1513.91,1520.24,1513.91,-0.43,-6.48,496893,559029933.0,0.42,0.15
2025-08-19 10:05:00,1513.93,1508.77,1513.93,1508.66,-0.34,-5.14,511736,607800363.0,0.35,0.16
2025-08-19 10:10:00,1508.79,1511.53,1512.18,1505.29,0.18,2.76,453610,530794852.0,0.46,0.14
2025-08-19 10:15:00,1512.08,1511.36,1513.53,1510.61,-0.01,-0.17,383806,439120289.0,0.19,0.12
2025-08-19 10:20:00,1511.2,1509.01,1512.19,1509.01,-0.16,-2.35,371189,407114780.0,0.21,0.11
2025-08-19 10:25:00,1508.86,1509.12,1509.91,1507.1,0.01,0.11,358227,415363964.0,0.19,0.11
2025-08-19 10:30:00,1509.15,1515.08,1515.73,1509.04,0.39,5.96,432166,489359294.0,0.44,0.13
2025-08-19 10:35:00,1514.93,1515.64,1515.77,1513.39,0.04,0.56,253422,295469310.0,0.16,0.08
2025-08-19 10:40:00,1516.19,1515.07,1517.46,1514.58,-0.04,-0.57,364746,354879574.0,0.19,0.11
2025-08-19 10:45:00,1514.93,1513.85,1515.53,1513.57,-0.08,-1.22,272098,275740403.0,0.13,0.08
2025-08-19 10:50:00,1513.92,1512.97,1513.92,1511.77,-0.06,-0.88,188995,241164386.0,0.14,0.06
2025-08-19 10:55:00,1512.98,1512.23,1513.31,1511.47,-0.05,-0.74,204648,237505163.0,0.12,0.06
2025-08-19 11:00:00,1512.29,1512.41,1513.7,1511.47,0.01,0.18,140511,181662767.0,0.15,0.04
2025-08-19 11:05:00,1512.37,1515.45,1515.85,1512.37,0.2,3.04,163122,196624297.0,0.23,0.05
2025-08-19 11:10:00,1515.86,1516.29,1516.4,1515.41,0.06,0.84,125972,176227291.0,0.07,0.04
2025-08-19 11:15:00,1516.22,1517.24,1517.51,1515.98,0.06,0.95,135151,160146559.0,0.1,0.04
2025-08-19 11:20:00,1517.09,1515.15,1517.52,1514.92,-0.14,-2.09,141305,177783369.0,0.17,0.04
2025-08-19 11:25:00,1515.4,1515.01,1515.9,1514.19,-0.01,-0.14,114187,146625581.0,0.11,0.03
2025-08-19 11:30:00,1515.05,1514.08,1516.04,1514.01,-0.06,-0.93,144837,186610410.0,0.13,0.04
2025-08-19 13:05:00,1514.08,1514.32,1515.78,1513.02,0.02,0.24,267854,366180114.0,0.18,0.08
2025-08-19 13:10:00,1514.59,1512.59,1514.59,1512.59,-0.11,-1.73,211549,236352865.0,0.13,0.06
2025-08-19 13:15:00,1513.13,1512.18,1513.7,1511.98,-0.03,-0.41,177550,236348667.0,0.11,0.05
2025-08-19 13:20:00,1512.12,1510.35,1512.41,1509.87,-0.12,-1.83,174806,231473209.0,0.17,0.05
2025-08-19 13:25:00,1510.23,1509.66,1511.16,1509.23,-0.05,-0.69,158452,210019162.0,0.13,0.05
2025-08-19 13:30:00,1509.7,1508.76,1509.86,1507.73,-0.06,-0.9,170781,226370699.0,0.14,0.05
2025-08-19 13:35:00,1508.65,1505.7,1509.36,1505.59,-0.2,-3.06,220541,295328692.0,0.25,0.07
2025-08-19 13:40:00,1505.5,1508.31,1508.45,1505.07,0.17,2.61,206668,247037841.0,0.22,0.06
2025-08-19 13:45:00,1508.16,1508.55,1509.21,1507.63,0.02,0.24,130882,187052456.0,0.1,0.04
2025-08-19 13:50:00,1508.83,1506.19,1508.86,1506.19,-0.16,-2.36,163465,238079639.0,0.18,0.05
2025-08-19 13:55:00,1506.28,1503.3,1506.61,1502.81,-0.19,-2.89,272042,311074752.0,0.25,0.08
2025-08-19 14:00:00,1503.42,1502.12,1504.39,1501.92,-0.08,-1.18,159396,212608473.0,0.16,0.05
2025-08-19 14:05:00,1502.25,1507.04,1507.41,1501.82,0.33,4.92,154058,192958307.0,0.37,0.05
2025-08-19 14:10:00,1507.02,1507.08,1508.64,1506.5,0.0,0.04,131699,178550612.0,0.14,0.04
2025-08-19 14:15:00,1506.9,1506.82,1506.9,1505.43,-0.02,-0.26,124702,176426144.0,0.1,0.04
2025-08-19 14:20:00,1506.96,1505.27,1507.85,1505.27,-0.1,-1.55,129357,156887100.0,0.17,0.04
2025-08-19 14:25:00,1505.37,1502.87,1505.38,1502.87,-0.16,-2.4,164694,197963123.0,0.17,0.05
