日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,33025.35,33131.66,33131.66,32970.37,0.4,131.57,4477829,11954157184.0,0.49,0.68
2025-08-19 09:40:00,33134.71,33210.65,33219.39,33082.88,0.24,78.99,2469640,6901094960.0,0.41,0.37
2025-08-19 09:45:00,33215.71,33216.11,33229.63,33101.51,0.02,5.46,1915540,5706134912.0,0.39,0.29
2025-08-19 09:50:00,33224.13,33145.83,33244.79,33145.83,-0.21,-70.28,1490954,4629145552.0,0.3,0.23
2025-08-19 09:55:00,33144.34,33151.77,33201.93,33144.34,0.02,5.94,1418649,3778846624.0,0.17,0.21
2025-08-19 10:00:00,33150.66,33022.52,33150.66,33022.52,-0.39,-129.25,1287303,3704099920.0,0.39,0.19
2025-08-19 10:05:00,33018.95,32812.98,33022.59,32812.98,-0.63,-209.54,1642906,4614881856.0,0.63,0.25
2025-08-19 10:10:00,32810.47,32903.94,32903.94,32746.9,0.28,90.96,1416768,3765155360.0,0.48,0.21
2025-08-19 10:15:00,32907.75,32769.86,32907.75,32766.64,-0.41,-134.08,1086797,3355355024.0,0.43,0.16
2025-08-19 10:20:00,32771.62,32691.68,32775.25,32691.68,-0.24,-78.18,1214088,3398503584.0,0.26,0.18
2025-08-19 10:25:00,32690.5,32716.37,32723.15,32680.0,0.08,24.69,976665,2848238880.0,0.13,0.15
2025-08-19 10:30:00,32720.22,32835.0,32845.32,32718.38,0.36,118.63,698787,2081238032.0,0.39,0.11
2025-08-19 10:35:00,32832.1,32894.43,32894.48,32822.47,0.18,59.43,638756,1845408256.0,0.22,0.1
2025-08-19 10:40:00,32893.18,32951.78,32952.79,32893.18,0.17,57.35,507261,1496110318.0,0.18,0.08
2025-08-19 10:45:00,32949.2,32903.36,32958.68,32890.7,-0.15,-48.42,465215,1437901616.0,0.21,0.07
2025-08-19 10:50:00,32904.48,32971.56,32971.56,32889.5,0.21,68.2,507611,1328603083.0,0.25,0.08
2025-08-19 10:55:00,32974.09,32996.79,33015.46,32973.62,0.08,25.23,433873,1206432888.0,0.13,0.07
2025-08-19 11:00:00,32998.31,32971.62,33017.95,32963.86,-0.08,-25.17,463962,1349257492.0,0.16,0.07
2025-08-19 11:05:00,32971.37,33109.19,33109.96,32971.29,0.42,137.57,498418,1548309600.0,0.42,0.08
2025-08-19 11:10:00,33107.21,33111.81,33120.19,33080.41,0.01,2.62,425018,1247903700.0,0.12,0.06
2025-08-19 11:15:00,33112.43,33142.81,33144.0,33112.43,0.09,31.0,371439,1189489609.0,0.1,0.06
2025-08-19 11:20:00,33141.84,33115.28,33141.84,33101.48,-0.08,-27.53,350535,1099941214.0,0.12,0.05
2025-08-19 11:25:00,33118.3,33190.8,33201.29,33118.3,0.23,75.52,513628,1362071102.0,0.25,0.08
2025-08-19 11:30:00,33198.2,33238.08,33238.08,33198.2,0.14,47.28,524545,1527235498.0,0.12,0.08
2025-08-19 13:05:00,33238.08,33293.35,33332.26,33238.08,0.17,55.27,851175,2681608016.0,0.28,0.13
2025-08-19 13:10:00,33294.47,33338.66,33349.04,33271.35,0.14,45.31,527257,1762086256.0,0.23,0.08
2025-08-19 13:15:00,33338.57,33298.11,33345.0,33298.1,-0.12,-40.55,555679,1760350784.0,0.14,0.08
2025-08-19 13:20:00,33296.91,33257.97,33296.91,33251.07,-0.12,-40.14,513296,1707414544.0,0.14,0.08
2025-08-19 13:25:00,33260.34,33225.36,33267.47,33218.59,-0.1,-32.61,499461,1566522320.0,0.15,0.08
2025-08-19 13:30:00,33223.0,33232.03,33237.75,33215.13,0.02,6.67,464320,1432045112.0,0.07,0.07
2025-08-19 13:35:00,33231.45,33134.94,33235.59,33134.94,-0.29,-97.09,501590,1609014864.0,0.3,0.08
2025-08-19 13:40:00,33133.48,33182.44,33183.54,33111.61,0.14,47.5,552188,1538980410.0,0.22,0.08
2025-08-19 13:45:00,33185.19,33187.1,33190.89,33169.63,0.01,4.66,368358,1115366819.0,0.06,0.06
2025-08-19 13:50:00,33183.13,33106.93,33183.67,33106.72,-0.24,-80.17,423728,1298747078.0,0.23,0.06
2025-08-19 13:55:00,33107.87,33031.14,33111.86,33021.6,-0.23,-75.79,574253,1621475267.0,0.27,0.09
2025-08-19 14:00:00,33033.16,33030.65,33061.57,33030.05,0.0,-0.49,482782,1293961987.0,0.1,0.07
2025-08-19 14:05:00,33031.55,33142.41,33142.99,33027.27,0.34,111.76,424098,1184454938.0,0.35,0.06
2025-08-19 14:10:00,33142.9,33150.51,33172.89,33142.9,0.02,8.1,345072,1063372444.0,0.09,0.05
2025-08-19 14:15:00,33149.43,33114.05,33149.43,33101.55,-0.11,-36.46,334952,984919617.0,0.14,0.05
2025-08-19 14:20:00,33117.43,33103.17,33151.73,33103.17,-0.03,-10.88,345275,1044168185.0,0.15,0.05
2025-08-19 14:25:00,33103.67,33041.43,33103.67,33041.43,-0.19,-61.74,377524,1109827757.0,0.19,0.06
2025-08-19 14:30:00,33040.8,33019.25,33040.8,32976.56,-0.07,-22.18,492647,1409444318.0,0.19,0.07
2025-08-19 14:35:00,33018.18,33077.31,33080.7,33018.18,0.18,58.06,469809,1193648012.0,0.19,0.07
2025-08-19 14:40:00,33076.27,33088.95,33103.88,33073.98,0.04,11.64,420256,1256545208.0,0.09,0.06
2025-08-19 14:45:00,33087.55,33120.43,33123.05,33074.78,0.1,31.48,509534,1441478313.0,0.15,0.08
2025-08-19 14:50:00,33120.5,33136.52,33143.55,33116.66,0.05,16.09,664940,1821599104.0,0.08,0.1
2025-08-19 14:55:00,33138.84,33129.95,33138.84,33117.76,-0.02,-6.57,867504,2463435328.0,0.06,0.13
2025-08-19 15:00:00,33130.6,33147.97,33154.66,33128.95,0.05,18.02,924982,2513205294.0,0.08,0.14
2025-08-20 09:35:00,32895.83,32642.55,32895.83,32563.07,-1.52,-505.42,4257101,12336777280.0,1.0,0.64
2025-08-20 09:40:00,32642.13,32951.59,32963.43,32605.45,0.95,309.04,2401521,6495032928.0,1.1,0.36
2025-08-20 09:45:00,32949.49,32815.01,32949.49,32815.01,-0.41,-136.58,1664702,4502869840.0,0.41,0.25
