日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,2008.13,2012.3,2012.3,2000.6,-0.36,-7.32,691981,1596937834.0,0.58,0.64
2025-08-19 09:40:00,2013.41,2014.13,2015.94,2010.03,0.09,1.83,383764,947792748.0,0.29,0.36
2025-08-19 09:45:00,2013.94,2011.41,2013.94,2008.45,-0.14,-2.72,322536,779550122.0,0.27,0.3
2025-08-19 09:50:00,2011.56,2010.72,2013.11,2008.03,-0.03,-0.69,289430,694565591.0,0.25,0.27
2025-08-19 09:55:00,2010.5,2018.36,2022.35,2010.46,0.38,7.64,272787,694703966.0,0.59,0.25
2025-08-19 10:00:00,2019.2,2010.72,2019.2,2009.84,-0.38,-7.64,327097,757535921.0,0.46,0.3
2025-08-19 10:05:00,2010.23,1995.4,2010.24,1995.4,-0.76,-15.32,332999,748829586.0,0.74,0.31
2025-08-19 10:10:00,1995.23,2002.99,2003.41,1990.46,0.38,7.59,288371,634867637.0,0.65,0.27
2025-08-19 10:15:00,2003.18,1996.57,2003.74,1996.25,-0.32,-6.42,153446,364275030.0,0.37,0.14
2025-08-19 10:20:00,1996.34,1991.06,1997.16,1991.06,-0.28,-5.51,140840,360964639.0,0.31,0.13
2025-08-19 10:25:00,1991.06,1989.22,1991.91,1988.87,-0.09,-1.84,129265,308130072.0,0.15,0.12
2025-08-19 10:30:00,1989.37,1994.24,1994.72,1989.37,0.25,5.02,108100,271171899.0,0.27,0.1
2025-08-19 10:35:00,1993.2,1994.88,1995.73,1993.06,0.03,0.64,111657,267979700.0,0.13,0.1
2025-08-19 10:40:00,1995.09,1996.77,1996.9,1994.8,0.09,1.89,86590,212956697.0,0.11,0.08
2025-08-19 10:45:00,1996.86,1996.93,2000.2,1996.4,0.01,0.16,92405,234621387.0,0.19,0.09
2025-08-19 10:50:00,1997.03,1997.54,1998.89,1995.3,0.03,0.61,86967,195616664.0,0.18,0.08
2025-08-19 10:55:00,1997.73,1999.03,2001.86,1997.73,0.07,1.49,67674,161632409.0,0.21,0.06
2025-08-19 11:00:00,1998.98,1994.31,1999.27,1994.05,-0.24,-4.72,68061,154449632.0,0.26,0.06
