日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,31494.84,31522.57,31551.14,31433.89,0.49,153.94,4314213,5477546128.0,0.37,0.46
2025-08-19 09:40:00,31522.27,31563.26,31563.26,31487.63,0.13,40.69,1660297,2261135184.0,0.24,0.18
2025-08-19 09:45:00,31561.63,31580.67,31583.55,31519.68,0.06,17.41,1293143,1633286534.0,0.2,0.14
2025-08-19 09:50:00,31581.41,31560.55,31584.82,31554.48,-0.06,-20.12,1062723,1346091822.0,0.1,0.11
2025-08-19 09:55:00,31562.15,31598.31,31623.46,31559.7,0.12,37.76,1303084,1589122084.0,0.2,0.14
2025-08-19 10:00:00,31597.4,31493.86,31597.4,31493.27,-0.33,-104.45,972407,1249697451.0,0.33,0.1
2025-08-19 10:05:00,31493.9,31359.14,31494.99,31359.14,-0.43,-134.72,1082074,1381146076.0,0.43,0.12
2025-08-19 10:10:00,31356.6,31421.39,31421.84,31305.29,0.2,62.25,1065579,1343170158.0,0.37,0.11
2025-08-19 10:15:00,31422.76,31380.3,31422.76,31373.84,-0.13,-41.09,560254,675253760.0,0.16,0.06
2025-08-19 10:20:00,31381.41,31324.21,31383.25,31324.21,-0.18,-56.09,509075,678004989.0,0.19,0.05
2025-08-19 10:25:00,31323.48,31299.0,31324.62,31296.3,-0.08,-25.21,465342,594692764.0,0.09,0.05
2025-08-19 10:30:00,31298.42,31375.96,31376.16,31297.38,0.25,76.96,450737,565312471.0,0.25,0.05
2025-08-19 10:35:00,31372.87,31431.68,31434.85,31371.08,0.18,55.72,481591,667743622.0,0.2,0.05
2025-08-19 10:40:00,31432.83,31463.13,31464.3,31432.33,0.1,31.45,434160,618012226.0,0.1,0.05
2025-08-19 10:45:00,31460.97,31450.69,31462.61,31436.78,-0.04,-12.44,411293,583155406.0,0.08,0.04
2025-08-19 10:50:00,31451.95,31460.03,31467.02,31434.24,0.03,9.34,346697,483805076.0,0.1,0.04
2025-08-19 10:55:00,31460.75,31473.07,31480.02,31458.63,0.04,13.04,346483,447845804.0,0.07,0.04
2025-08-19 11:00:00,31473.68,31472.29,31498.37,31468.38,0.0,-0.78,357436,470284851.0,0.1,0.04
2025-08-19 11:05:00,31472.96,31537.73,31540.17,31472.96,0.21,65.44,325059,426689561.0,0.21,0.03
2025-08-19 11:10:00,31538.35,31539.58,31541.86,31518.52,0.01,1.85,309959,421587568.0,0.07,0.03
2025-08-19 11:15:00,31538.34,31602.45,31602.45,31538.34,0.2,62.87,501681,619695831.0,0.2,0.05
2025-08-19 11:20:00,31601.92,31620.06,31640.11,31599.33,0.06,17.61,629605,699042105.0,0.13,0.07
2025-08-19 11:25:00,31622.22,31643.74,31654.36,31622.22,0.07,23.68,752902,794000877.0,0.1,0.08
2025-08-19 11:30:00,31644.34,31649.24,31651.47,31639.44,0.02,5.5,508222,563534135.0,0.04,0.05
2025-08-19 13:05:00,31649.24,31679.38,31682.19,31649.24,0.1,30.14,699717,842339955.0,0.1,0.08
