日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,13075.03,13056.49,13075.03,13013.51,-0.06,-7.35,2100795,1314447233.0,0.47,0.36
2025-08-19 09:40:00,13055.54,13083.77,13089.14,13055.31,0.21,27.28,1138804,711310251.0,0.26,0.19
2025-08-19 09:45:00,13085.81,13097.99,13104.78,13082.67,0.11,14.22,677105,503901304.0,0.17,0.11
2025-08-19 09:50:00,13097.15,13109.2,13117.73,13095.03,0.09,11.21,696496,496813171.0,0.17,0.12
2025-08-19 09:55:00,13108.74,13136.78,13137.8,13108.02,0.21,27.58,947539,520921013.0,0.23,0.16
2025-08-19 10:00:00,13134.7,13144.64,13151.81,13133.54,0.06,7.86,906514,541425100.0,0.14,0.15
2025-08-19 10:05:00,13146.7,13106.73,13155.82,13106.52,-0.29,-37.91,524878,435475583.0,0.38,0.09
2025-08-19 10:10:00,13104.47,13117.98,13119.06,13089.84,0.09,11.25,521894,420659605.0,0.22,0.09
2025-08-19 10:15:00,13118.67,13112.7,13126.92,13112.53,-0.04,-5.28,306683,248124343.0,0.11,0.05
2025-08-19 10:20:00,13112.58,13098.72,13114.26,13098.72,-0.11,-13.98,219768,222970506.0,0.12,0.04
2025-08-19 10:25:00,13098.14,13098.58,13106.09,13093.6,0.0,-0.14,294544,256169159.0,0.1,0.05
2025-08-19 10:30:00,13098.4,13137.92,13138.72,13098.4,0.3,39.34,474613,391388289.0,0.31,0.08
2025-08-19 10:35:00,13137.77,13168.23,13171.74,13137.77,0.23,30.31,480793,397175965.0,0.26,0.08
2025-08-19 10:40:00,13167.37,13172.29,13175.93,13167.37,0.03,4.06,372926,340465243.0,0.07,0.06
2025-08-19 10:45:00,13172.71,13169.13,13173.76,13166.05,-0.02,-3.16,297909,274785668.0,0.06,0.05
2025-08-19 10:50:00,13170.26,13170.54,13177.66,13167.68,0.01,1.41,251828,221921450.0,0.08,0.04
2025-08-19 10:55:00,13171.7,13176.99,13178.29,13171.7,0.05,6.45,200555,192663260.0,0.05,0.03
2025-08-19 11:00:00,13176.38,13179.9,13185.84,13176.38,0.02,2.91,186311,190303163.0,0.07,0.03
2025-08-19 11:05:00,13179.09,13196.5,13198.1,13178.45,0.13,16.6,266084,221179598.0,0.15,0.05
2025-08-19 11:10:00,13196.61,13192.59,13196.66,13186.8,-0.03,-3.91,194880,187029217.0,0.07,0.03
2025-08-19 11:15:00,13193.14,13195.82,13196.36,13190.18,0.02,3.23,213126,203016760.0,0.05,0.04
2025-08-19 11:20:00,13194.25,13218.35,13223.46,13193.1,0.17,22.53,278469,233296426.0,0.23,0.05
2025-08-19 11:25:00,13217.72,13216.47,13218.82,13212.98,-0.01,-1.88,197789,180887873.0,0.04,0.03
