日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1045.51,1044.05,1047.53,1042.74,-0.25,-2.65,185539,525420932.0,0.46,0.2
2025-08-19 09:40:00,1044.36,1049.25,1049.79,1044.09,0.5,5.2,127080,317049696.0,0.55,0.14
2025-08-19 09:45:00,1049.06,1050.94,1051.72,1048.98,0.16,1.69,99817,266925578.0,0.26,0.11
2025-08-19 09:50:00,1050.96,1051.42,1052.76,1050.54,0.05,0.48,118777,273774459.0,0.21,0.13
2025-08-19 09:55:00,1051.3,1051.57,1051.87,1049.46,0.01,0.15,87717,189277084.0,0.23,0.1
2025-08-19 10:00:00,1051.69,1050.25,1052.22,1050.21,-0.13,-1.32,65788,165950553.0,0.19,0.07
2025-08-19 10:05:00,1050.16,1046.43,1050.52,1046.43,-0.36,-3.82,83635,207029553.0,0.39,0.09
2025-08-19 10:10:00,1046.4,1047.78,1048.1,1044.44,0.13,1.35,72798,179282939.0,0.35,0.08
2025-08-19 10:15:00,1047.95,1047.75,1048.68,1047.34,0.0,-0.03,52948,105776003.0,0.13,0.06
2025-08-19 10:20:00,1047.74,1045.64,1047.85,1045.64,-0.2,-2.11,47307,117483839.0,0.21,0.05
2025-08-19 10:25:00,1045.69,1044.69,1045.7,1044.42,-0.09,-0.95,44096,121811868.0,0.12,0.05
2025-08-19 10:30:00,1044.61,1047.83,1047.83,1044.42,0.3,3.14,41918,83964123.0,0.33,0.05
2025-08-19 10:35:00,1047.86,1049.24,1049.95,1047.84,0.13,1.41,49802,116211295.0,0.2,0.05
2025-08-19 10:40:00,1049.38,1049.66,1050.32,1049.19,0.04,0.42,49511,86842974.0,0.11,0.05
2025-08-19 10:45:00,1049.6,1049.39,1050.22,1049.01,-0.03,-0.27,27241,71239985.0,0.12,0.03
2025-08-19 10:50:00,1049.43,1050.63,1050.75,1049.32,0.12,1.24,26586,56285856.0,0.14,0.03
2025-08-19 10:55:00,1050.47,1051.9,1052.03,1050.37,0.12,1.27,35649,74899301.0,0.16,0.04
2025-08-19 11:00:00,1051.96,1051.81,1052.79,1051.76,-0.01,-0.09,40221,66727361.0,0.1,0.04
2025-08-19 11:05:00,1051.94,1055.36,1055.41,1051.94,0.34,3.55,74974,107630364.0,0.33,0.08
2025-08-19 11:10:00,1055.34,1054.94,1055.63,1054.54,-0.04,-0.42,55187,82770738.0,0.1,0.06
2025-08-19 11:15:00,1054.94,1055.18,1055.29,1054.04,0.02,0.24,44890,70776838.0,0.12,0.05
2025-08-19 11:20:00,1055.27,1054.22,1055.79,1054.14,-0.09,-0.96,36692,71603595.0,0.16,0.04
2025-08-19 11:25:00,1054.17,1054.42,1054.66,1054.11,0.02,0.2,30876,59030190.0,0.05,0.03
2025-08-19 11:30:00,1054.4,1054.07,1054.78,1054.05,-0.03,-0.35,35018,82082157.0,0.07,0.04
2025-08-19 13:05:00,1054.07,1055.55,1055.86,1054.07,0.14,1.48,60495,143934193.0,0.17,0.07
