日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1248.64,1242.63,1248.86,1228.93,0.4,4.89,1306984,3189623520.0,1.61,0.84
2025-08-19 09:40:00,1242.41,1239.75,1247.16,1237.75,-0.23,-2.88,750618,1781803564.0,0.76,0.48
2025-08-19 09:45:00,1239.47,1241.12,1243.06,1236.59,0.11,1.37,492638,1062242403.0,0.52,0.32
2025-08-19 09:50:00,1240.76,1243.69,1244.69,1240.47,0.21,2.57,364897,876342479.0,0.34,0.24
2025-08-19 09:55:00,1244.92,1245.83,1250.14,1244.51,0.17,2.14,284926,602081596.0,0.45,0.18
2025-08-19 10:00:00,1245.83,1241.92,1245.83,1240.25,-0.31,-3.91,219540,494857617.0,0.45,0.14
2025-08-19 10:05:00,1242.16,1233.23,1242.16,1232.65,-0.7,-8.69,368733,753064701.0,0.77,0.24
2025-08-19 10:10:00,1233.09,1232.41,1233.77,1228.02,-0.07,-0.82,293531,584015187.0,0.47,0.19
2025-08-19 10:15:00,1232.46,1231.99,1234.8,1231.99,-0.03,-0.42,212586,419756331.0,0.23,0.14
2025-08-19 10:20:00,1232.21,1230.76,1232.21,1228.99,-0.1,-1.23,223112,381509953.0,0.26,0.14
2025-08-19 10:25:00,1230.46,1226.4,1231.06,1226.4,-0.35,-4.36,173386,324051414.0,0.38,0.11
2025-08-19 10:30:00,1226.3,1227.8,1229.02,1224.96,0.11,1.4,174879,364601600.0,0.33,0.11
2025-08-19 10:35:00,1227.94,1228.49,1230.43,1227.6,0.06,0.69,122600,269572382.0,0.23,0.08
2025-08-19 10:40:00,1228.39,1234.96,1235.2,1228.39,0.53,6.47,136182,332051975.0,0.55,0.09
2025-08-19 10:45:00,1234.67,1231.98,1234.68,1230.38,-0.24,-2.98,131337,295131760.0,0.35,0.08
2025-08-19 10:50:00,1231.91,1230.5,1232.26,1229.76,-0.12,-1.48,84199,181552617.0,0.2,0.05
2025-08-19 10:55:00,1230.63,1228.98,1231.93,1228.89,-0.12,-1.52,74313,163101142.0,0.25,0.05
2025-08-19 11:00:00,1228.9,1230.14,1230.28,1228.27,0.09,1.16,72446,149017366.0,0.16,0.05
2025-08-19 11:05:00,1230.14,1232.27,1232.7,1229.6,0.17,2.13,77563,162136538.0,0.25,0.05
2025-08-19 11:10:00,1231.78,1231.03,1232.43,1229.69,-0.1,-1.24,83731,158779225.0,0.22,0.05
2025-08-19 11:15:00,1230.99,1233.17,1233.81,1230.99,0.17,2.14,69838,160888558.0,0.23,0.05
2025-08-19 11:20:00,1233.25,1232.32,1233.72,1231.87,-0.07,-0.85,67602,141388418.0,0.15,0.04
2025-08-19 11:25:00,1232.05,1232.77,1233.63,1231.86,0.04,0.45,69488,160922170.0,0.14,0.04
2025-08-19 11:30:00,1232.58,1231.08,1232.77,1230.68,-0.14,-1.69,89797,211783295.0,0.17,0.06
2025-08-19 13:05:00,1231.08,1231.51,1233.25,1231.08,0.03,0.43,110398,258449996.0,0.18,0.07
2025-08-19 13:10:00,1231.4,1232.41,1232.99,1230.7,0.07,0.9,93270,192436774.0,0.19,0.06
2025-08-19 13:15:00,1232.38,1229.62,1232.57,1229.55,-0.23,-2.79,99928,210640387.0,0.25,0.06
2025-08-19 13:20:00,1230.03,1227.45,1230.03,1227.34,-0.18,-2.17,135695,297127913.0,0.22,0.09
2025-08-19 13:25:00,1227.67,1226.18,1228.01,1225.94,-0.1,-1.27,135368,354500285.0,0.17,0.09
2025-08-19 13:30:00,1225.91,1225.71,1226.27,1224.45,-0.04,-0.47,148609,309005884.0,0.15,0.1
2025-08-19 13:35:00,1225.86,1222.58,1225.9,1222.04,-0.26,-3.13,147712,349683548.0,0.31,0.1
2025-08-19 13:40:00,1222.15,1223.98,1224.57,1222.15,0.11,1.4,101874,226969832.0,0.2,0.07
2025-08-19 13:45:00,1223.97,1223.02,1224.18,1222.81,-0.08,-0.96,88036,193835201.0,0.11,0.06
2025-08-19 13:50:00,1223.11,1223.21,1223.33,1221.44,0.02,0.19,113306,226187519.0,0.15,0.07
2025-08-19 13:55:00,1222.93,1221.49,1223.61,1221.39,-0.14,-1.72,98974,218995308.0,0.18,0.06
2025-08-19 14:00:00,1221.43,1220.47,1221.75,1220.47,-0.08,-1.02,100225,237153090.0,0.1,0.06
2025-08-19 14:05:00,1220.49,1224.52,1224.57,1220.37,0.33,4.05,96479,182216909.0,0.34,0.06
2025-08-19 14:10:00,1224.55,1222.94,1226.74,1222.94,-0.13,-1.58,83996,210373994.0,0.31,0.05
2025-08-19 14:15:00,1223.1,1222.51,1223.27,1222.23,-0.04,-0.43,69772,159171043.0,0.09,0.04
2025-08-19 14:20:00,1222.66,1221.34,1223.11,1221.13,-0.1,-1.17,85016,182087523.0,0.16,0.05
2025-08-19 14:25:00,1221.07,1217.62,1221.18,1217.3,-0.3,-3.72,200864,395097709.0,0.32,0.13
2025-08-19 14:30:00,1217.61,1217.25,1217.72,1216.37,-0.03,-0.37,127242,263790451.0,0.11,0.08
2025-08-19 14:35:00,1217.42,1220.65,1221.11,1217.42,0.28,3.4,92440,180112246.0,0.3,0.06
2025-08-19 14:40:00,1220.6,1218.6,1220.69,1218.6,-0.17,-2.05,91085,185341542.0,0.17,0.06
