日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,14608.52,14553.19,14614.08,14542.61,-0.31,-45.93,1651445,961554410.0,0.49,0.45
2025-08-19 09:40:00,14552.51,14610.28,14611.52,14547.68,0.39,57.09,691598,415224257.0,0.44,0.19
2025-08-19 09:45:00,14608.81,14623.33,14627.34,14608.0,0.09,13.05,619349,413129488.0,0.13,0.17
2025-08-19 09:50:00,14623.27,14625.34,14638.88,14621.87,0.01,2.01,435958,352769021.0,0.12,0.12
2025-08-19 09:55:00,14623.73,14652.2,14657.21,14623.73,0.18,26.86,411085,300687161.0,0.23,0.11
2025-08-19 10:00:00,14650.11,14664.89,14677.68,14650.11,0.09,12.69,513545,277834053.0,0.19,0.14
2025-08-19 10:05:00,14663.54,14626.37,14666.49,14626.37,-0.26,-38.52,687287,376545749.0,0.27,0.19
2025-08-19 10:10:00,14626.22,14632.99,14635.97,14590.78,0.05,6.62,595593,335305501.0,0.31,0.16
2025-08-19 10:15:00,14632.96,14624.13,14635.78,14620.73,-0.06,-8.86,352290,184220965.0,0.1,0.1
2025-08-19 10:20:00,14623.56,14617.21,14633.25,14615.71,-0.05,-6.92,236013,176576357.0,0.12,0.06
2025-08-19 10:25:00,14616.46,14618.58,14619.54,14606.38,0.01,1.37,289151,167895243.0,0.09,0.08
2025-08-19 10:30:00,14618.75,14651.33,14653.85,14615.14,0.22,32.75,388506,197530110.0,0.26,0.11
2025-08-19 10:35:00,14652.83,14681.52,14704.33,14652.03,0.21,30.19,335390,270067175.0,0.36,0.09
2025-08-19 10:40:00,14681.59,14686.07,14691.49,14676.81,0.03,4.55,186792,147798105.0,0.1,0.05
2025-08-19 10:45:00,14687.05,14677.02,14687.05,14673.4,-0.06,-9.05,170936,119492253.0,0.09,0.05
2025-08-19 10:50:00,14677.66,14690.75,14692.63,14674.7,0.09,13.73,183627,138587410.0,0.12,0.05
2025-08-19 10:55:00,14691.92,14702.13,14708.15,14691.92,0.08,11.38,182004,142901916.0,0.11,0.05
2025-08-19 11:00:00,14701.65,14696.11,14704.49,14693.21,-0.04,-6.02,124435,99895461.0,0.08,0.03
2025-08-19 11:05:00,14695.82,14715.95,14720.09,14694.67,0.14,19.84,110897,104038598.0,0.17,0.03
2025-08-19 11:10:00,14716.99,14707.74,14718.3,14704.53,-0.06,-8.21,137224,100224921.0,0.09,0.04
2025-08-19 11:15:00,14708.4,14708.58,14712.96,14704.89,0.01,0.84,97706,88357384.0,0.05,0.03
2025-08-19 11:20:00,14707.09,14707.4,14713.05,14703.6,-0.01,-1.18,101757,83212447.0,0.06,0.03
2025-08-19 11:25:00,14707.38,14718.18,14720.34,14704.12,0.07,10.78,111845,96813105.0,0.11,0.03
2025-08-19 11:30:00,14718.48,14716.08,14723.17,14712.37,-0.01,-2.1,104776,90291942.0,0.07,0.03
2025-08-19 13:05:00,14716.08,14730.09,14733.71,14716.08,0.1,14.01,224200,200242714.0,0.12,0.06
