日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1350.08,1352.88,1352.88,1347.01,0.03,0.35,6508031,15867671520.0,0.43,0.7
2025-08-19 09:40:00,1352.95,1356.6,1356.6,1351.46,0.27,3.72,3233977,7941469904.0,0.38,0.35
2025-08-19 09:45:00,1356.75,1358.58,1358.93,1353.08,0.15,1.98,2536612,6456328992.0,0.43,0.27
2025-08-19 09:50:00,1358.59,1361.63,1362.9,1358.59,0.22,3.05,3207839,7544632976.0,0.32,0.35
2025-08-19 09:55:00,1361.57,1361.89,1364.57,1361.57,0.02,0.26,2161512,5580879152.0,0.22,0.23
2025-08-19 10:00:00,1361.86,1357.24,1361.86,1357.24,-0.34,-4.65,1869596,5021897504.0,0.34,0.2
2025-08-19 10:05:00,1357.06,1350.18,1357.06,1350.18,-0.52,-7.06,2325855,5836938416.0,0.51,0.25
2025-08-19 10:10:00,1350.23,1355.24,1355.25,1347.72,0.37,5.06,2610488,5819926912.0,0.56,0.28
2025-08-19 10:15:00,1355.31,1356.82,1358.63,1354.84,0.12,1.58,1862491,4684617712.0,0.28,0.2
2025-08-19 10:20:00,1356.75,1354.44,1358.29,1354.44,-0.18,-2.38,1514758,3935883664.0,0.28,0.16
2025-08-19 10:25:00,1354.4,1354.8,1354.96,1353.47,0.03,0.36,1535898,4401014368.0,0.11,0.17
2025-08-19 10:30:00,1354.99,1360.04,1360.19,1354.99,0.39,5.24,1722021,5086370608.0,0.38,0.19
2025-08-19 10:35:00,1360.04,1365.67,1365.67,1359.88,0.41,5.63,1844783,5106487744.0,0.43,0.2
2025-08-19 10:40:00,1365.65,1367.47,1368.24,1365.65,0.13,1.8,1791554,4244219168.0,0.19,0.19
2025-08-19 10:45:00,1367.44,1364.38,1368.06,1364.26,-0.23,-3.09,1274839,2968468832.0,0.28,0.14
2025-08-19 10:50:00,1364.42,1363.49,1364.42,1362.84,-0.07,-0.89,872063,2287393664.0,0.12,0.09
2025-08-19 10:55:00,1363.46,1362.81,1364.15,1362.81,-0.05,-0.68,729701,1853203840.0,0.1,0.08
2025-08-19 11:00:00,1362.75,1361.73,1362.76,1361.63,-0.08,-1.08,789214,1963167440.0,0.08,0.09
2025-08-19 11:05:00,1361.71,1365.15,1365.56,1361.71,0.25,3.42,780763,1841784320.0,0.28,0.08
2025-08-19 11:10:00,1365.09,1365.67,1365.67,1364.71,0.04,0.52,711778,1575863680.0,0.07,0.08
2025-08-19 11:15:00,1365.72,1367.23,1367.64,1365.72,0.11,1.56,590791,1547989824.0,0.14,0.06
2025-08-19 11:20:00,1367.19,1364.87,1367.19,1364.82,-0.17,-2.36,551190,1358319078.0,0.17,0.06
2025-08-19 11:25:00,1364.93,1366.27,1366.27,1364.79,0.1,1.4,520842,1304920849.0,0.11,0.06
2025-08-19 11:30:00,1366.28,1365.92,1367.48,1365.77,-0.03,-0.35,602969,1492523115.0,0.13,0.07
2025-08-19 13:05:00,1365.92,1367.25,1367.54,1365.92,0.1,1.33,1019046,2772063744.0,0.12,0.11
2025-08-19 13:10:00,1367.19,1366.04,1367.19,1365.7,-0.09,-1.21,695511,1803006528.0,0.11,0.08
2025-08-19 13:15:00,1366.07,1363.88,1366.39,1363.88,-0.16,-2.16,798808,2111670096.0,0.18,0.09
2025-08-19 13:20:00,1363.85,1361.43,1363.85,1361.34,-0.18,-2.45,841248,2164830176.0,0.18,0.09
2025-08-19 13:25:00,1361.38,1360.21,1361.78,1360.21,-0.09,-1.22,717891,1779787776.0,0.12,0.08
2025-08-19 13:30:00,1360.15,1359.86,1360.19,1358.54,-0.03,-0.35,858065,2141148944.0,0.12,0.09
2025-08-19 13:35:00,1359.99,1355.56,1360.3,1355.56,-0.32,-4.3,933138,2297664080.0,0.35,0.1
2025-08-19 13:40:00,1355.5,1357.68,1357.83,1354.37,0.16,2.12,989851,2437610048.0,0.26,0.11
2025-08-19 13:45:00,1357.71,1360.11,1360.12,1357.15,0.18,2.43,968675,2544602368.0,0.22,0.1
2025-08-19 13:50:00,1360.14,1357.63,1360.37,1357.33,-0.18,-2.48,1044592,2901303056.0,0.22,0.11
