日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,18198.82,18300.84,18300.84,18134.04,0.5,90.23,4613208,15094356560.0,0.92,0.76
2025-08-19 09:40:00,18299.33,18336.64,18336.64,18255.33,0.2,35.8,2434440,8814092560.0,0.44,0.4
2025-08-19 09:45:00,18338.65,18412.21,18419.57,18299.1,0.41,75.57,2175088,7984359936.0,0.66,0.36
2025-08-19 09:50:00,18412.41,18384.71,18422.08,18370.6,-0.15,-27.5,1751015,6206032816.0,0.28,0.29
2025-08-19 09:55:00,18384.79,18403.49,18425.43,18383.61,0.1,18.78,1558082,4688575824.0,0.23,0.26
2025-08-19 10:00:00,18402.28,18360.04,18402.28,18360.04,-0.24,-43.45,1387902,4614824016.0,0.23,0.23
2025-08-19 10:05:00,18360.27,18245.66,18360.27,18245.66,-0.62,-114.38,1641570,5267419488.0,0.62,0.27
2025-08-19 10:10:00,18243.81,18321.47,18321.47,18212.56,0.42,75.81,1582993,4854979184.0,0.6,0.26
2025-08-19 10:15:00,18320.78,18248.49,18320.78,18244.45,-0.4,-72.98,998238,3226307024.0,0.42,0.16
2025-08-19 10:20:00,18249.59,18201.51,18251.83,18201.51,-0.26,-46.98,991599,3388616976.0,0.28,0.16
2025-08-19 10:25:00,18201.43,18188.71,18212.45,18188.05,-0.07,-12.8,823974,2877048944.0,0.13,0.14
2025-08-19 10:30:00,18188.68,18249.73,18255.01,18188.68,0.34,61.02,845519,2501832384.0,0.36,0.14
2025-08-19 10:35:00,18248.52,18254.52,18255.89,18242.45,0.03,4.79,645926,1952120032.0,0.07,0.11
2025-08-19 10:40:00,18255.79,18292.87,18292.87,18255.79,0.21,38.35,548559,1686400016.0,0.2,0.09
2025-08-19 10:45:00,18292.29,18269.15,18299.64,18259.49,-0.13,-23.72,514762,1598720640.0,0.22,0.08
2025-08-19 10:50:00,18268.77,18296.38,18296.38,18257.86,0.15,27.23,472712,1475623157.0,0.21,0.08
2025-08-19 10:55:00,18298.2,18313.16,18328.29,18298.2,0.09,16.78,609216,1785387824.0,0.16,0.1
2025-08-19 11:00:00,18313.82,18286.92,18324.9,18286.77,-0.14,-26.24,530917,1640810224.0,0.21,0.09
2025-08-19 11:05:00,18287.53,18349.77,18349.89,18287.53,0.34,62.85,456064,1362453558.0,0.34,0.07
2025-08-19 11:10:00,18351.29,18377.09,18377.09,18338.81,0.15,27.32,557100,1550328220.0,0.21,0.09
2025-08-19 11:15:00,18383.0,18385.48,18402.07,18383.0,0.05,8.39,535435,1520019515.0,0.1,0.09
2025-08-19 11:20:00,18383.7,18380.46,18383.7,18362.09,-0.03,-5.02,377399,1202922189.0,0.12,0.06
2025-08-19 11:25:00,18380.33,18444.61,18450.32,18380.33,0.35,64.15,613416,2106872720.0,0.38,0.1
2025-08-19 11:30:00,18444.21,18454.63,18455.51,18438.03,0.05,10.02,509463,1531033380.0,0.09,0.08
2025-08-19 13:05:00,18454.63,18443.26,18479.5,18432.61,-0.06,-11.37,938450,2621045376.0,0.25,0.15
2025-08-19 13:10:00,18443.24,18454.01,18466.05,18424.63,0.06,10.75,612762,1799940208.0,0.22,0.1
2025-08-19 13:15:00,18454.68,18416.47,18460.15,18415.72,-0.2,-37.54,542465,1697395104.0,0.24,0.09
2025-08-19 13:20:00,18414.35,18397.79,18422.83,18390.63,-0.1,-18.68,501022,1432078932.0,0.17,0.08
2025-08-19 13:25:00,18396.68,18380.6,18409.06,18380.6,-0.09,-17.19,519638,1365767263.0,0.15,0.09
2025-08-19 13:30:00,18382.26,18385.9,18385.9,18365.6,0.03,5.3,626725,1650881106.0,0.11,0.1
2025-08-19 13:35:00,18386.81,18320.21,18387.06,18320.21,-0.36,-65.69,662730,1847367488.0,0.36,0.11
2025-08-19 13:40:00,18320.47,18349.04,18353.19,18310.81,0.16,28.83,514852,1514242186.0,0.23,0.08
2025-08-19 13:45:00,18348.26,18356.04,18356.86,18332.46,0.04,7.0,377229,1074636499.0,0.13,0.06
2025-08-19 13:50:00,18356.56,18330.84,18358.42,18323.03,-0.14,-25.2,496471,1278096720.0,0.19,0.08
2025-08-19 13:55:00,18329.95,18280.34,18331.72,18274.19,-0.28,-50.5,533384,1496828502.0,0.31,0.09
2025-08-19 14:00:00,18281.5,18284.51,18303.9,18281.5,0.02,4.17,427928,1138319157.0,0.12,0.07
2025-08-19 14:05:00,18283.44,18343.54,18343.63,18280.83,0.32,59.03,390960,1152132034.0,0.34,0.06
2025-08-19 14:10:00,18343.63,18349.57,18367.5,18343.35,0.03,6.03,387866,1116786701.0,0.13,0.06
2025-08-19 14:15:00,18349.13,18329.61,18350.09,18326.21,-0.11,-19.96,391898,1108829069.0,0.13,0.06
2025-08-19 14:20:00,18331.27,18317.06,18347.2,18317.06,-0.07,-12.55,466763,1354579606.0,0.16,0.08
2025-08-19 14:25:00,18317.11,18288.11,18317.11,18288.11,-0.16,-28.95,496456,1338992325.0,0.16,0.08
2025-08-19 14:30:00,18289.35,18277.67,18290.22,18251.96,-0.06,-10.44,670731,1858911888.0,0.21,0.11
2025-08-19 14:35:00,18277.56,18304.35,18306.62,18277.56,0.15,26.68,481770,1362579523.0,0.16,0.08
2025-08-19 14:40:00,18303.89,18304.85,18322.07,18301.78,0.0,0.5,485177,1667912000.0,0.11,0.08
2025-08-19 14:45:00,18303.73,18326.98,18327.17,18297.5,0.12,22.13,691092,1963101520.0,0.16,0.11
2025-08-19 14:50:00,18327.18,18339.21,18342.5,18326.75,0.07,12.23,889108,2593835152.0,0.09,0.15
2025-08-19 14:55:00,18341.25,18319.72,18341.25,18317.46,-0.11,-19.49,1019863,2969022992.0,0.13,0.17
2025-08-19 15:00:00,18320.89,18325.84,18326.77,18318.12,0.03,6.12,977638,3136648942.0,0.05,0.16
2025-08-20 09:35:00,18152.74,18037.04,18155.16,17998.63,-1.58,-288.8,4033736,15617196144.0,0.85,0.66
2025-08-20 09:40:00,18034.19,18195.48,18195.48,17994.28,0.88,158.44,2134350,7255128304.0,1.12,0.35
2025-08-20 09:45:00,18192.76,18115.17,18202.0,18115.17,-0.44,-80.31,1738598,5576562400.0,0.48,0.29
2025-08-20 09:50:00,18114.65,18159.9,18179.23,18103.76,0.25,44.73,1284485,4317222736.0,0.42,0.21
2025-08-20 09:55:00,18160.17,18193.38,18195.7,18153.85,0.18,33.48,1485584,4138225632.0,0.23,0.24
2025-08-20 10:00:00,18190.46,18159.19,18190.66,18131.88,-0.19,-34.19,1177709,3408251280.0,0.32,0.19
2025-08-20 10:05:00,18156.19,18154.6,18191.35,18135.56,-0.03,-4.59,983063,3227253536.0,0.31,0.16
2025-08-20 10:10:00,18150.54,18168.26,18168.26,18105.99,0.08,13.66,1054192,3249187504.0,0.34,0.17
2025-08-20 10:15:00,18174.91,18210.14,18210.14,18169.5,0.23,41.88,1231503,2993876576.0,0.22,0.2
2025-08-20 10:20:00,18210.49,18251.1,18252.62,18202.78,0.22,40.96,959509,2523444256.0,0.27,0.16
2025-08-20 10:25:00,18249.65,18271.57,18277.03,18238.79,0.11,20.47,866963,2545869296.0,0.21,0.14
2025-08-20 10:30:00,18273.48,18295.62,18307.75,18257.19,0.13,24.05,802488,2514199568.0,0.28,0.13
2025-08-20 10:35:00,18296.88,18296.3,18301.79,18277.88,0.0,0.68,628351,1966209136.0,0.13,0.1
2025-08-20 10:40:00,18295.14,18304.26,18325.01,18291.08,0.04,7.96,703574,2082336640.0,0.19,0.12
2025-08-20 10:45:00,18304.05,18287.41,18305.03,18283.15,-0.09,-16.85,692281,2133806464.0,0.12,0.11
2025-08-20 10:50:00,18287.15,18299.14,18302.48,18286.29,0.06,11.73,647926,2116893312.0,0.09,0.11
2025-08-20 10:55:00,18300.13,18270.17,18300.13,18257.39,-0.16,-28.97,561772,1713902000.0,0.23,0.09
2025-08-20 11:00:00,18271.12,18213.81,18271.12,18213.76,-0.31,-56.36,589124,1844513760.0,0.31,0.1
2025-08-20 11:05:00,18211.72,18202.16,18219.93,18184.76,-0.06,-11.65,591668,1736469088.0,0.19,0.1
2025-08-20 11:10:00,18202.27,18188.01,18214.23,18186.74,-0.08,-14.15,448079,1309414918.0,0.15,0.07
2025-08-20 11:15:00,18188.7,18180.76,18194.6,18171.89,-0.04,-7.25,370048,1248607144.0,0.12,0.06
2025-08-20 11:20:00,18180.47,18140.58,18180.47,18126.11,-0.22,-40.18,650059,1864465296.0,0.3,0.11
2025-08-20 11:25:00,18140.88,18114.12,18151.12,18114.12,-0.15,-26.46,447571,1348076913.0,0.2,0.07
2025-08-20 11:30:00,18111.89,18130.46,18130.46,18071.71,0.09,16.34,668916,1808868596.0,0.32,0.11
2025-08-20 13:05:00,18130.46,18175.15,18191.95,18130.46,0.25,44.69,619163,2276711456.0,0.34,0.1
2025-08-20 13:10:00,18175.98,18140.55,18198.19,18140.02,-0.19,-34.6,491077,1740608704.0,0.32,0.08
2025-08-20 13:15:00,18140.88,18156.49,18167.55,18140.43,0.09,15.94,434566,1369550073.0,0.15,0.07
2025-08-20 13:20:00,18155.57,18192.11,18195.92,18150.06,0.2,35.62,735415,2290468528.0,0.25,0.12
2025-08-20 13:25:00,18191.06,18169.72,18191.06,18168.95,-0.12,-22.39,437181,1408077735.0,0.12,0.07
2025-08-20 13:30:00,18169.85,18186.41,18186.41,18141.85,0.09,16.69,459683,1463551997.0,0.25,0.08
2025-08-20 13:35:00,18187.39,18181.6,18190.67,18170.72,-0.03,-4.81,391319,1195560504.0,0.11,0.06
2025-08-20 13:40:00,18182.76,18212.31,18214.53,18182.76,0.17,30.71,487717,1478932220.0,0.17,0.08
2025-08-20 13:45:00,18213.28,18196.24,18228.89,18196.24,-0.09,-16.07,359780,1149451900.0,0.18,0.06
2025-08-20 13:50:00,18195.2,18226.04,18226.07,18190.34,0.16,29.8,421433,1285908960.0,0.2,0.07
2025-08-20 13:55:00,18224.41,18237.41,18238.07,18219.48,0.06,11.37,404604,1299902111.0,0.1,0.07
2025-08-20 14:00:00,18237.21,18264.48,18264.48,18221.3,0.15,27.07,480859,1605951136.0,0.24,0.08
2025-08-20 14:05:00,18264.54,18312.42,18312.42,18264.54,0.26,47.94,587491,1967236832.0,0.26,0.1
2025-08-20 14:10:00,18313.09,18320.62,18334.05,18307.9,0.04,8.2,742018,2716709536.0,0.14,0.12
2025-08-20 14:15:00,18319.47,18359.74,18364.41,18318.81,0.21,39.12,582111,2115367792.0,0.25,0.1
2025-08-20 14:20:00,18359.93,18376.36,18388.0,18359.93,0.09,16.62,726652,2475732800.0,0.15,0.12
2025-08-20 14:25:00,18375.18,18358.45,18377.03,18345.32,-0.1,-17.91,497399,1703698816.0,0.17,0.08
2025-08-20 14:30:00,18358.76,18379.83,18379.83,18352.16,0.12,21.38,468671,1479466224.0,0.15,0.08
2025-08-20 14:35:00,18380.14,18392.6,18403.73,18380.14,0.07,12.77,595261,1677812080.0,0.13,0.1
2025-08-20 14:40:00,18392.12,18373.4,18392.12,18360.41,-0.1,-19.2,613697,1743016320.0,0.17,0.1
2025-08-20 14:45:00,18375.23,18377.45,18378.16,18366.6,0.02,4.05,623880,1822474976.0,0.06,0.1
2025-08-20 14:50:00,18378.83,18415.32,18415.58,18378.83,0.21,37.87,794731,2216661600.0,0.2,0.13
2025-08-20 14:55:00,18416.07,18425.06,18426.56,18411.62,0.05,9.74,1062794,3055539808.0,0.08,0.17
2025-08-20 15:00:00,18426.21,18436.07,18436.07,18423.47,0.06,11.01,1035298,3165278305.0,0.07,0.17
