日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,46541.73,46614.71,46617.78,46392.54,0.25,118.42,5334562,10096698304.0,0.48,0.65
2025-08-19 09:40:00,46622.41,46662.75,46689.93,46576.66,0.1,48.04,2687432,4846137472.0,0.24,0.33
2025-08-19 09:45:00,46664.22,46637.2,46666.71,46557.87,-0.05,-25.55,2462207,4432399712.0,0.23,0.3
2025-08-19 09:50:00,46634.52,46680.65,46687.27,46611.33,0.09,43.45,1821431,3367860352.0,0.16,0.22
2025-08-19 09:55:00,46677.89,46734.79,46755.65,46677.89,0.12,54.14,1594469,2849295312.0,0.17,0.19
2025-08-19 10:00:00,46729.34,46595.5,46729.34,46593.29,-0.3,-139.29,1613099,2909000544.0,0.29,0.2
2025-08-19 10:05:00,46595.25,46321.98,46595.25,46321.98,-0.59,-273.52,1920178,3403649264.0,0.59,0.23
2025-08-19 10:10:00,46320.34,46425.8,46425.84,46214.74,0.22,103.82,1769857,2924487200.0,0.46,0.21
2025-08-19 10:15:00,46422.7,46341.2,46426.18,46334.5,-0.18,-84.6,1146714,1914410080.0,0.2,0.14
2025-08-19 10:20:00,46344.78,46282.39,46355.58,46278.29,-0.13,-58.81,1055292,1949511168.0,0.17,0.13
2025-08-19 10:25:00,46279.75,46226.98,46279.75,46221.21,-0.12,-55.41,981247,1784761328.0,0.13,0.12
2025-08-19 10:30:00,46226.98,46407.02,46408.15,46223.96,0.39,180.04,832721,1549730960.0,0.4,0.1
2025-08-19 10:35:00,46405.24,46460.95,46460.95,46396.04,0.12,53.93,713914,1328070728.0,0.14,0.09
2025-08-19 10:40:00,46466.63,46531.92,46531.92,46466.63,0.15,70.97,800461,1248683741.0,0.14,0.1
2025-08-19 10:45:00,46529.46,46560.1,46560.1,46522.2,0.06,28.18,1052199,1223931729.0,0.08,0.13
2025-08-19 10:50:00,46558.64,46556.32,46569.75,46523.21,-0.01,-3.78,668377,1025658805.0,0.1,0.08
2025-08-19 10:55:00,46556.55,46698.26,46698.26,46556.55,0.3,141.94,651561,1132410170.0,0.3,0.08
2025-08-19 11:00:00,46699.34,46667.16,46731.02,46663.43,-0.07,-31.1,803701,1445515687.0,0.14,0.1
2025-08-19 11:05:00,46668.75,46855.22,46857.63,46666.79,0.4,188.06,833900,1542519874.0,0.41,0.1
2025-08-19 11:10:00,46857.38,46858.93,46864.54,46823.24,0.01,3.71,716649,1399190059.0,0.09,0.09
2025-08-19 11:15:00,46861.75,46907.87,46911.18,46861.75,0.1,48.94,600160,1182063457.0,0.11,0.07
2025-08-19 11:20:00,46913.09,46911.71,46931.09,46878.56,0.01,3.84,581085,1046430532.0,0.11,0.07
2025-08-19 11:25:00,46910.46,46979.94,46989.95,46910.46,0.15,68.23,620551,1249719357.0,0.17,0.08
2025-08-19 11:30:00,46982.45,47103.59,47103.78,46980.71,0.26,123.65,961570,1747039327.0,0.26,0.12
2025-08-19 13:05:00,47103.59,47257.59,47279.01,47103.59,0.33,154.0,1862555,3448990176.0,0.37,0.23
2025-08-19 13:10:00,47258.51,47282.25,47295.86,47220.45,0.05,24.66,1089553,1900239008.0,0.16,0.13
2025-08-19 13:15:00,47281.04,47256.68,47313.03,47256.68,-0.05,-25.57,1056066,2138726688.0,0.12,0.13
2025-08-19 13:20:00,47258.97,47279.95,47302.19,47245.36,0.05,23.27,1399288,2426539984.0,0.12,0.17
2025-08-19 13:25:00,47280.61,47244.95,47280.77,47237.99,-0.07,-35.0,1368299,2027927104.0,0.09,0.17
2025-08-19 13:30:00,47244.67,47218.75,47260.85,47183.16,-0.06,-26.2,960246,1676829607.0,0.16,0.12
2025-08-19 13:35:00,47219.29,47080.44,47222.79,47080.44,-0.29,-138.31,1028860,1717424880.0,0.3,0.12
2025-08-19 13:40:00,47075.38,47139.24,47145.08,47040.32,0.12,58.8,1015062,1567717153.0,0.22,0.12
2025-08-19 13:45:00,47142.63,47122.73,47146.9,47118.89,-0.04,-16.51,646001,1039672573.0,0.06,0.08
2025-08-19 13:50:00,47123.61,47012.8,47123.61,47012.8,-0.23,-109.93,718992,1194328591.0,0.24,0.09
