日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,51182.4,51491.32,51533.03,51177.69,0.65,333.18,332982,1912205081.0,0.69,0.11
2025-08-19 09:40:00,51488.93,51840.7,51840.7,51488.93,0.68,349.38,433148,2026100528.0,0.68,0.14
2025-08-19 09:45:00,51845.13,51770.26,51899.82,51748.94,-0.14,-70.44,339328,1582612431.0,0.29,0.11
2025-08-19 09:50:00,51773.26,51663.05,51906.12,51663.05,-0.21,-107.21,264181,1373232679.0,0.47,0.09
2025-08-19 09:55:00,51665.57,51835.26,51835.26,51665.57,0.33,172.21,174524,857829538.0,0.33,0.06
2025-08-19 10:00:00,51842.16,52053.19,52071.05,51842.16,0.42,217.93,375296,1738479273.0,0.44,0.12
2025-08-19 10:05:00,52045.95,51945.12,52089.02,51945.12,-0.21,-108.07,312810,1246880886.0,0.28,0.1
2025-08-19 10:10:00,51937.85,52036.76,52046.04,51828.15,0.18,91.64,228768,995224528.0,0.42,0.07
2025-08-19 10:15:00,52041.38,52210.98,52210.98,52030.93,0.33,174.22,247062,1074454253.0,0.35,0.08
2025-08-19 10:20:00,52209.32,52307.93,52374.89,52209.32,0.19,96.95,431721,2075954084.0,0.32,0.14
2025-08-19 10:25:00,52308.66,52239.38,52308.66,52213.41,-0.13,-68.55,191943,780449942.0,0.18,0.06
2025-08-19 10:30:00,52237.54,52288.06,52295.8,52205.64,0.09,48.68,135593,523710356.0,0.17,0.04
2025-08-19 10:35:00,52292.12,52286.99,52323.42,52271.61,0.0,-1.07,114352,458661663.0,0.1,0.04
2025-08-19 10:40:00,52282.98,52280.07,52291.89,52263.95,-0.01,-6.92,103467,452203291.0,0.05,0.03
2025-08-19 10:45:00,52277.01,52293.54,52318.09,52276.45,0.03,13.47,98824,415366954.0,0.08,0.03
2025-08-19 10:50:00,52295.77,52254.36,52298.93,52229.44,-0.07,-39.18,93228,404132357.0,0.13,0.03
2025-08-19 10:55:00,52253.78,52275.87,52275.87,52241.25,0.04,21.51,60080,321631061.0,0.07,0.02
2025-08-19 11:00:00,52271.02,52301.53,52303.75,52265.61,0.05,25.66,79529,414285457.0,0.07,0.03
2025-08-19 11:05:00,52305.37,52337.5,52379.2,52304.31,0.07,35.97,83126,408780710.0,0.14,0.03
2025-08-19 11:10:00,52333.18,52302.3,52333.18,52276.81,-0.07,-35.2,48293,248110038.0,0.11,0.02
2025-08-19 11:15:00,52299.28,52364.26,52371.78,52293.77,0.12,61.96,52051,295196029.0,0.15,0.02
2025-08-19 11:20:00,52363.3,52317.4,52367.58,52308.68,-0.09,-46.86,50747,317983094.0,0.11,0.02
2025-08-19 11:25:00,52318.18,52299.2,52322.74,52292.9,-0.03,-18.2,43469,236855723.0,0.06,0.01
2025-08-19 11:30:00,52297.49,52292.75,52317.41,52289.52,-0.01,-6.45,55500,301303136.0,0.05,0.02
