日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,8441.82,8463.83,8485.74,8435.22,0.41,34.49,4265240,1649968736.0,0.6,0.22
2025-08-19 09:40:00,8465.67,8474.14,8479.69,8460.07,0.12,10.31,2176634,867068364.0,0.23,0.11
2025-08-19 09:45:00,8473.45,8485.1,8491.17,8472.61,0.13,10.96,1664814,639084379.0,0.22,0.09
2025-08-19 09:50:00,8484.94,8462.44,8488.69,8462.01,-0.27,-22.66,1356725,515337803.0,0.31,0.07
2025-08-19 09:55:00,8459.29,8473.91,8474.74,8459.29,0.14,11.47,1305233,466533271.0,0.18,0.07
2025-08-19 10:00:00,8473.47,8457.46,8481.34,8453.64,-0.19,-16.45,1101889,433034534.0,0.33,0.06
2025-08-19 10:05:00,8457.34,8423.93,8457.58,8422.56,-0.4,-33.53,1090250,469737296.0,0.41,0.06
2025-08-19 10:10:00,8422.46,8443.14,8444.88,8415.43,0.23,19.21,1125436,469318826.0,0.35,0.06
2025-08-19 10:15:00,8443.49,8444.94,8448.1,8437.4,0.02,1.8,508191,232850194.0,0.13,0.03
2025-08-19 10:20:00,8442.54,8438.33,8444.88,8433.97,-0.08,-6.61,615386,242067538.0,0.13,0.03
2025-08-19 10:25:00,8436.74,8435.87,8442.06,8432.65,-0.03,-2.46,704560,270181469.0,0.11,0.04
2025-08-19 10:30:00,8436.11,8446.62,8454.1,8432.59,0.13,10.75,901164,358909488.0,0.25,0.05
2025-08-19 10:35:00,8449.77,8451.6,8457.61,8448.57,0.06,4.98,594399,281843308.0,0.11,0.03
2025-08-19 10:40:00,8452.97,8450.94,8455.6,8445.68,-0.01,-0.66,449545,182439849.0,0.12,0.02
2025-08-19 10:45:00,8453.98,8451.33,8456.07,8445.24,0.0,0.39,338663,149243107.0,0.13,0.02
2025-08-19 10:50:00,8450.22,8456.13,8460.03,8447.16,0.06,4.8,415129,203011865.0,0.15,0.02
2025-08-19 10:55:00,8455.27,8455.65,8458.25,8451.45,-0.01,-0.48,383452,171768015.0,0.08,0.02
2025-08-19 11:00:00,8455.64,8454.31,8457.71,8449.8,-0.02,-1.34,301800,125001515.0,0.09,0.02
2025-08-19 11:05:00,8451.54,8450.14,8453.86,8444.46,-0.05,-4.17,308102,127848180.0,0.11,0.02
2025-08-19 11:10:00,8450.27,8452.4,8457.98,8445.72,0.03,2.26,408691,167736978.0,0.15,0.02
