日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,4265.69,4262.25,4269.98,4261.36,-0.09,-3.66,2831259,2221907513.0,0.2,0.02
2025-08-19 09:40:00,4262.01,4252.02,4263.07,4252.02,-0.24,-10.23,2201934,1556561589.0,0.26,0.02
2025-08-19 09:45:00,4252.6,4258.71,4261.07,4250.69,0.16,6.69,1468927,1115796832.0,0.24,0.01
2025-08-19 09:50:00,4258.82,4247.98,4258.82,4246.15,-0.25,-10.73,1322076,1068878457.0,0.3,0.01
2025-08-19 09:55:00,4248.17,4259.7,4260.34,4246.22,0.28,11.72,1311474,949825412.0,0.33,0.01
2025-08-19 10:00:00,4259.83,4261.8,4263.63,4258.71,0.05,2.1,1228252,936356372.0,0.12,0.01
2025-08-19 10:05:00,4262.01,4264.92,4270.02,4260.96,0.07,3.12,1845033,1381929512.0,0.21,0.01
2025-08-19 10:10:00,4265.38,4260.06,4270.11,4258.01,-0.11,-4.86,1734138,1323540513.0,0.28,0.01
2025-08-19 10:15:00,4258.95,4266.03,4268.65,4257.6,0.14,5.97,766366,595522376.0,0.26,0.01
2025-08-19 10:20:00,4265.73,4270.44,4271.13,4263.6,0.1,4.41,713578,566831241.0,0.18,0.01
2025-08-19 10:25:00,4270.86,4266.11,4271.17,4264.36,-0.1,-4.33,697581,553411801.0,0.16,0.01
2025-08-19 10:30:00,4265.93,4265.59,4266.44,4257.53,-0.01,-0.52,752248,573624631.0,0.21,0.01
2025-08-19 10:35:00,4264.87,4263.47,4266.46,4261.79,-0.05,-2.12,345032,297641705.0,0.11,0.0
2025-08-19 10:40:00,4263.58,4266.16,4269.71,4262.17,0.06,2.69,434966,395276118.0,0.18,0.0
2025-08-19 10:45:00,4266.04,4263.08,4266.95,4261.41,-0.07,-3.08,411173,341109650.0,0.13,0.0
2025-08-19 10:50:00,4263.02,4260.34,4263.54,4259.44,-0.06,-2.74,354499,263638150.0,0.1,0.0
2025-08-19 10:55:00,4261.0,4259.3,4262.02,4258.5,-0.02,-1.04,274776,234487046.0,0.08,0.0
2025-08-19 11:00:00,4260.08,4261.13,4262.78,4258.25,0.04,1.83,305667,256662090.0,0.11,0.0
2025-08-19 11:05:00,4261.13,4260.72,4262.01,4259.05,-0.01,-0.41,306926,247601895.0,0.07,0.0
2025-08-19 11:10:00,4261.83,4261.96,4263.47,4259.11,0.03,1.24,317365,262761492.0,0.1,0.0
2025-08-19 11:15:00,4261.09,4261.05,4263.18,4259.76,-0.02,-0.91,331435,252018317.0,0.08,0.0
