日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1502.25,1503.08,1503.21,1496.93,0.17,2.48,304013,661858527.0,0.42,0.19
2025-08-19 09:40:00,1503.27,1509.63,1510.27,1501.98,0.44,6.55,238174,618641436.0,0.55,0.15
2025-08-19 09:45:00,1509.54,1512.0,1512.85,1507.8,0.16,2.37,184058,485415047.0,0.33,0.11
2025-08-19 09:50:00,1511.7,1511.1,1513.41,1510.82,-0.06,-0.9,142432,328654573.0,0.17,0.09
2025-08-19 09:55:00,1511.0,1513.86,1513.93,1510.25,0.18,2.76,115586,246494547.0,0.24,0.07
2025-08-19 10:00:00,1513.95,1512.25,1515.88,1512.04,-0.11,-1.61,170417,482631894.0,0.25,0.11
2025-08-19 10:05:00,1512.37,1504.73,1512.4,1504.65,-0.5,-7.52,135136,257500926.0,0.51,0.08
2025-08-19 10:10:00,1504.89,1505.37,1505.92,1500.78,0.04,0.64,118207,214722245.0,0.34,0.07
2025-08-19 10:15:00,1505.52,1505.39,1507.78,1504.59,0.0,0.02,86818,179108053.0,0.21,0.05
2025-08-19 10:20:00,1505.47,1502.43,1506.21,1502.33,-0.2,-2.96,109332,248388733.0,0.26,0.07
2025-08-19 10:25:00,1502.52,1502.41,1503.26,1501.62,0.0,-0.02,69083,139504500.0,0.11,0.04
2025-08-19 10:30:00,1502.51,1504.87,1505.26,1502.06,0.16,2.46,51719,100481019.0,0.21,0.03
2025-08-19 10:35:00,1504.98,1507.83,1508.51,1504.87,0.2,2.96,52637,93443796.0,0.24,0.03
2025-08-19 10:40:00,1507.93,1508.81,1509.04,1507.93,0.06,0.98,54095,102792436.0,0.07,0.03
2025-08-19 10:45:00,1508.77,1509.29,1510.04,1508.01,0.03,0.48,65748,121341186.0,0.13,0.04
2025-08-19 10:50:00,1509.15,1509.3,1509.62,1508.03,0.0,0.01,42440,70484431.0,0.11,0.03
2025-08-19 10:55:00,1509.39,1509.25,1510.27,1509.18,0.0,-0.05,43724,79805717.0,0.07,0.03
2025-08-19 11:00:00,1509.31,1508.53,1509.58,1508.25,-0.05,-0.72,45328,89959098.0,0.09,0.03
2025-08-19 11:05:00,1508.57,1511.23,1511.54,1508.51,0.18,2.7,52405,86919903.0,0.2,0.03
2025-08-19 11:10:00,1511.14,1512.63,1512.66,1510.82,0.09,1.4,48446,92131238.0,0.12,0.03
2025-08-19 11:15:00,1512.72,1513.5,1514.22,1512.72,0.06,0.87,43172,86867322.0,0.1,0.03
2025-08-19 11:20:00,1513.45,1513.0,1513.66,1512.76,-0.03,-0.5,32728,68765010.0,0.06,0.02
2025-08-19 11:25:00,1512.94,1512.91,1513.69,1512.55,-0.01,-0.09,34524,71310977.0,0.08,0.02
2025-08-19 11:30:00,1512.7,1512.79,1513.85,1512.55,-0.01,-0.12,39332,83601795.0,0.09,0.02
2025-08-19 13:05:00,1512.79,1515.51,1515.6,1512.79,0.18,2.72,86655,170279785.0,0.19,0.05
2025-08-19 13:10:00,1515.54,1516.02,1517.01,1514.59,0.03,0.51,43845,89958729.0,0.16,0.03
2025-08-19 13:15:00,1516.12,1514.8,1516.64,1514.8,-0.08,-1.22,55320,109292989.0,0.12,0.03
2025-08-19 13:20:00,1514.78,1514.3,1516.05,1514.07,-0.03,-0.5,69523,128735314.0,0.13,0.04
2025-08-19 13:25:00,1514.62,1513.56,1516.03,1513.49,-0.05,-0.74,46659,85739549.0,0.17,0.03
2025-08-19 13:30:00,1513.57,1512.44,1513.57,1511.47,-0.07,-1.12,39696,74227909.0,0.14,0.02
