日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,3362.68,3356.44,3363.08,3343.94,-0.05,-1.84,5054312,10912146160.0,0.57,0.45
2025-08-19 09:40:00,3356.19,3359.55,3360.25,3352.43,0.09,3.11,2704879,6043219120.0,0.23,0.24
2025-08-19 09:45:00,3359.14,3360.26,3362.18,3354.15,0.02,0.71,2374668,5113012912.0,0.24,0.21
2025-08-19 09:50:00,3360.28,3363.87,3365.29,3358.27,0.11,3.61,1639089,3539060448.0,0.21,0.14
2025-08-19 09:55:00,3364.09,3366.03,3368.46,3363.83,0.06,2.16,1418662,2932087360.0,0.14,0.13
2025-08-19 10:00:00,3365.93,3358.24,3365.93,3358.24,-0.23,-7.79,1568809,3482546528.0,0.23,0.14
2025-08-19 10:05:00,3358.33,3342.08,3358.96,3342.08,-0.48,-16.16,2128257,4853351664.0,0.5,0.19
2025-08-19 10:10:00,3342.21,3350.16,3350.18,3336.08,0.24,8.08,1900665,3939886832.0,0.42,0.17
2025-08-19 10:15:00,3350.3,3345.33,3350.99,3344.78,-0.14,-4.83,1191171,2628956032.0,0.19,0.1
2025-08-19 10:20:00,3345.39,3339.13,3347.06,3339.13,-0.19,-6.2,1106636,2454132320.0,0.24,0.1
2025-08-19 10:25:00,3339.0,3338.48,3342.0,3338.09,-0.02,-0.65,952890,2137251760.0,0.12,0.08
2025-08-19 10:30:00,3338.55,3350.78,3350.96,3338.53,0.37,12.3,1096243,1975372912.0,0.37,0.1
2025-08-19 10:35:00,3350.47,3355.13,3355.13,3350.47,0.13,4.35,1047376,1911940400.0,0.14,0.09
2025-08-19 10:40:00,3355.39,3359.51,3359.51,3355.39,0.13,4.38,860185,1505672890.0,0.12,0.08
2025-08-19 10:45:00,3359.22,3358.03,3359.22,3356.27,-0.04,-1.48,680334,1278564185.0,0.09,0.06
2025-08-19 10:50:00,3358.22,3360.65,3360.69,3355.99,0.08,2.62,691297,1312393433.0,0.14,0.06
2025-08-19 10:55:00,3360.75,3365.91,3365.91,3360.75,0.16,5.26,895988,1690483532.0,0.15,0.08
2025-08-19 11:00:00,3366.11,3363.48,3367.66,3363.02,-0.07,-2.43,1068523,1909083744.0,0.14,0.09
2025-08-19 11:05:00,3363.54,3375.66,3376.06,3363.54,0.36,12.18,1082147,1975903808.0,0.37,0.1
2025-08-19 11:10:00,3375.78,3373.94,3375.78,3370.74,-0.05,-1.72,726717,1675585648.0,0.15,0.06
2025-08-19 11:15:00,3373.94,3376.85,3376.94,3373.94,0.09,2.91,586391,1264617380.0,0.09,0.05
2025-08-19 11:20:00,3377.16,3377.23,3378.47,3375.68,0.01,0.38,603855,1082542394.0,0.08,0.05
2025-08-19 11:25:00,3377.25,3383.46,3383.54,3377.25,0.18,6.23,615321,1350813793.0,0.19,0.05
2025-08-19 11:30:00,3383.35,3389.09,3389.21,3383.34,0.17,5.63,932149,1711153424.0,0.17,0.08
2025-08-19 13:05:00,3389.09,3393.27,3394.88,3389.09,0.12,4.18,1583787,2844485040.0,0.17,0.14
2025-08-19 13:10:00,3393.24,3395.39,3396.73,3390.81,0.06,2.12,923220,1695331712.0,0.17,0.08
2025-08-19 13:15:00,3395.51,3392.99,3397.24,3392.99,-0.07,-2.4,1183861,1966560352.0,0.13,0.1
2025-08-19 13:20:00,3392.74,3393.86,3396.33,3391.88,0.03,0.87,1010720,1837972944.0,0.13,0.09
2025-08-19 13:25:00,3394.05,3389.29,3394.05,3389.27,-0.13,-4.57,881737,1543552608.0,0.14,0.08
2025-08-19 13:30:00,3389.34,3388.1,3390.17,3385.74,-0.04,-1.19,825670,1617244288.0,0.13,0.07
2025-08-19 13:35:00,3387.94,3380.32,3388.72,3380.18,-0.23,-7.78,826161,1574237632.0,0.25,0.07
2025-08-19 13:40:00,3380.06,3384.09,3384.33,3377.76,0.11,3.77,868361,1510511280.0,0.19,0.08
2025-08-19 13:45:00,3384.15,3383.86,3384.72,3382.78,-0.01,-0.23,639879,1271412337.0,0.06,0.06
2025-08-19 13:50:00,3383.88,3377.81,3383.88,3377.14,-0.18,-6.05,771882,1412778946.0,0.2,0.07
