日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1569.17,1584.33,1585.34,1568.61,1.04,16.35,2342785,2675470600.0,1.07,0.38
2025-08-19 09:40:00,1584.25,1592.28,1592.44,1584.01,0.5,7.95,1326314,1717387632.0,0.53,0.21
2025-08-19 09:45:00,1592.32,1598.88,1600.87,1592.32,0.41,6.6,1586007,1774126480.0,0.54,0.26
2025-08-19 09:50:00,1598.73,1600.37,1600.44,1598.01,0.09,1.49,939186,1100156823.0,0.15,0.15
2025-08-19 09:55:00,1600.24,1602.97,1602.97,1596.95,0.16,2.6,865375,932799270.0,0.38,0.14
2025-08-19 10:00:00,1603.13,1605.3,1607.65,1603.13,0.15,2.33,770604,1075528109.0,0.28,0.12
2025-08-19 10:05:00,1605.27,1598.85,1605.27,1598.85,-0.4,-6.45,711627,869261453.0,0.4,0.12
2025-08-19 10:10:00,1598.72,1601.05,1601.81,1597.02,0.14,2.2,659392,757148288.0,0.3,0.11
2025-08-19 10:15:00,1601.03,1600.39,1601.03,1598.22,-0.04,-0.66,418650,473050903.0,0.18,0.07
2025-08-19 10:20:00,1600.45,1595.84,1600.45,1595.65,-0.28,-4.55,360961,462274629.0,0.3,0.06
2025-08-19 10:25:00,1595.92,1595.75,1596.17,1595.19,-0.01,-0.09,333111,376825062.0,0.06,0.05
2025-08-19 10:30:00,1595.68,1598.63,1598.77,1595.45,0.18,2.88,306494,371273170.0,0.21,0.05
2025-08-19 10:35:00,1598.33,1599.56,1600.22,1598.15,0.06,0.93,640837,407776961.0,0.13,0.1
2025-08-19 10:40:00,1599.66,1599.38,1600.5,1598.98,-0.01,-0.18,279953,317278478.0,0.1,0.05
2025-08-19 10:45:00,1599.28,1601.56,1601.79,1599.09,0.14,2.18,457175,403951754.0,0.17,0.07
2025-08-19 10:50:00,1601.53,1602.46,1602.61,1600.86,0.06,0.9,633408,439990966.0,0.11,0.1
2025-08-19 10:55:00,1602.26,1600.94,1603.47,1600.74,-0.09,-1.52,385130,376473763.0,0.17,0.06
2025-08-19 11:00:00,1600.85,1597.66,1600.85,1597.54,-0.2,-3.28,327022,353676228.0,0.21,0.05
2025-08-19 11:05:00,1597.76,1598.36,1598.8,1597.53,0.04,0.7,187757,253467262.0,0.08,0.03
2025-08-19 11:10:00,1598.3,1597.46,1598.4,1597.03,-0.06,-0.9,164111,223104033.0,0.09,0.03
2025-08-19 11:15:00,1597.38,1597.9,1597.97,1596.78,0.03,0.44,153576,199616589.0,0.07,0.02
2025-08-19 11:20:00,1597.7,1597.24,1598.14,1597.08,-0.04,-0.66,147776,198314415.0,0.07,0.02
2025-08-19 11:25:00,1597.33,1596.06,1597.41,1595.92,-0.07,-1.18,195763,264597052.0,0.09,0.03
2025-08-19 11:30:00,1596.23,1595.03,1596.38,1594.74,-0.06,-1.03,212188,298808171.0,0.1,0.03
2025-08-19 13:05:00,1595.03,1597.4,1597.46,1595.03,0.15,2.37,331416,401265273.0,0.15,0.05
2025-08-19 13:10:00,1597.31,1596.24,1597.71,1596.22,-0.07,-1.16,182751,226526182.0,0.09,0.03
2025-08-19 13:15:00,1596.34,1595.5,1596.51,1595.07,-0.05,-0.74,228499,267542524.0,0.09,0.04
2025-08-19 13:20:00,1595.5,1595.02,1595.5,1594.66,-0.03,-0.48,219853,312844857.0,0.05,0.04
2025-08-19 13:25:00,1594.94,1594.02,1595.12,1594.02,-0.06,-1.0,222892,286194686.0,0.07,0.04
2025-08-19 13:30:00,1594.09,1592.8,1594.24,1592.25,-0.08,-1.22,307589,470575422.0,0.12,0.05
2025-08-19 13:35:00,1592.78,1590.67,1593.06,1590.59,-0.13,-2.13,461417,454275487.0,0.16,0.07
