日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,11896.46,11831.62,11896.46,11814.58,-0.2,-23.18,828032,1554055894.0,0.69,0.15
2025-08-19 09:40:00,11832.48,11842.3,11847.92,11825.85,0.09,10.68,453297,839914013.0,0.19,0.08
2025-08-19 09:45:00,11843.1,11861.66,11869.13,11835.98,0.16,19.36,358931,610883327.0,0.28,0.06
2025-08-19 09:50:00,11861.57,11864.93,11869.07,11849.45,0.03,3.27,331933,572112835.0,0.17,0.06
2025-08-19 09:55:00,11867.21,11871.06,11876.85,11866.17,0.05,6.13,306157,480012423.0,0.09,0.05
2025-08-19 10:00:00,11869.55,11859.11,11881.27,11858.09,-0.1,-11.95,380793,559809589.0,0.2,0.07
2025-08-19 10:05:00,11860.74,11812.76,11862.25,11812.76,-0.39,-46.35,470978,870754586.0,0.42,0.08
2025-08-19 10:10:00,11812.41,11815.4,11816.61,11788.48,0.02,2.64,332287,557649502.0,0.24,0.06
2025-08-19 10:15:00,11815.45,11808.77,11825.29,11807.47,-0.06,-6.63,228319,406093458.0,0.15,0.04
2025-08-19 10:20:00,11809.14,11795.43,11814.53,11795.43,-0.11,-13.34,199204,350279972.0,0.16,0.04
2025-08-19 10:25:00,11795.33,11777.11,11795.33,11777.11,-0.16,-18.32,172218,298874795.0,0.15,0.03
2025-08-19 10:30:00,11778.01,11815.23,11816.09,11777.07,0.32,38.12,195475,312865257.0,0.33,0.04
2025-08-19 10:35:00,11813.79,11833.89,11834.98,11810.63,0.16,18.66,135556,230190799.0,0.21,0.02
2025-08-19 10:40:00,11832.38,11840.29,11841.34,11831.69,0.05,6.4,111950,186403151.0,0.08,0.02
2025-08-19 10:45:00,11840.55,11835.94,11841.14,11830.43,-0.04,-4.35,111761,183872614.0,0.09,0.02
2025-08-19 10:50:00,11837.47,11840.09,11841.93,11831.89,0.04,4.15,102153,165396430.0,0.08,0.02
2025-08-19 10:55:00,11840.65,11854.0,11854.71,11839.38,0.12,13.91,124425,171640906.0,0.13,0.02
2025-08-19 11:00:00,11854.1,11839.02,11854.43,11837.64,-0.13,-14.98,118318,217434843.0,0.14,0.02
2025-08-19 11:05:00,11838.37,11862.67,11864.8,11838.37,0.2,23.65,156816,263343181.0,0.22,0.03
2025-08-19 11:10:00,11861.54,11863.34,11864.08,11856.0,0.01,0.67,138317,252107696.0,0.07,0.02
2025-08-19 11:15:00,11863.66,11873.29,11873.45,11863.66,0.08,9.95,99376,181385310.0,0.08,0.02
2025-08-19 11:20:00,11872.29,11874.93,11879.87,11869.55,0.01,1.64,123715,180841463.0,0.09,0.02
2025-08-19 11:25:00,11874.5,11876.38,11880.7,11872.8,0.01,1.45,95963,152813062.0,0.07,0.02
2025-08-19 11:30:00,11877.76,11888.57,11888.89,11874.55,0.1,12.19,117687,172460089.0,0.12,0.02
2025-08-19 13:05:00,11888.57,11904.37,11908.11,11888.57,0.13,15.8,198093,319298094.0,0.16,0.04
2025-08-19 13:10:00,11903.32,11905.21,11908.66,11896.82,0.01,0.84,120905,212311368.0,0.1,0.02
2025-08-19 13:15:00,11905.51,11893.34,11906.35,11893.34,-0.1,-11.87,132831,237174482.0,0.11,0.02
2025-08-19 13:20:00,11893.51,11902.64,11903.81,11889.09,0.08,9.3,126408,223115606.0,0.12,0.02
2025-08-19 13:25:00,11901.98,11900.09,11906.03,11899.94,-0.02,-2.55,128420,186831500.0,0.05,0.02
2025-08-19 13:30:00,11900.47,11890.58,11905.22,11887.83,-0.08,-9.51,137796,253951975.0,0.15,0.02
2025-08-19 13:35:00,11892.08,11866.64,11895.01,11866.3,-0.2,-23.94,127444,224044435.0,0.24,0.02
2025-08-19 13:40:00,11866.58,11879.48,11879.96,11859.71,0.11,12.84,110159,200116507.0,0.17,0.02
2025-08-19 13:45:00,11880.24,11879.23,11883.4,11875.85,0.0,-0.25,99040,169516201.0,0.06,0.02
2025-08-19 13:50:00,11881.29,11869.57,11882.52,11861.55,-0.08,-9.66,115674,203747964.0,0.18,0.02
2025-08-19 13:55:00,11870.66,11841.66,11870.66,11837.36,-0.24,-27.91,160803,251505539.0,0.28,0.03
2025-08-19 14:00:00,11841.49,11843.89,11852.11,11841.49,0.02,2.23,113299,153203043.0,0.09,0.02
2025-08-19 14:05:00,11843.9,11866.86,11867.74,11841.02,0.19,22.97,115970,158259316.0,0.23,0.02
2025-08-19 14:10:00,11867.33,11876.01,11877.84,11867.33,0.08,9.15,95650,155872270.0,0.09,0.02
2025-08-19 14:15:00,11875.78,11872.75,11879.77,11870.27,-0.03,-3.26,127664,184861503.0,0.08,0.02
2025-08-19 14:20:00,11872.86,11864.1,11877.02,11863.45,-0.07,-8.65,117562,185606789.0,0.11,0.02
2025-08-19 14:25:00,11863.8,11848.7,11863.8,11848.08,-0.13,-15.4,117978,185043581.0,0.13,0.02
2025-08-19 14:30:00,11848.69,11838.91,11849.42,11829.46,-0.08,-9.79,179104,256835505.0,0.17,0.03
2025-08-19 14:35:00,11841.21,11857.78,11859.71,11841.21,0.16,18.87,240272,296057377.0,0.16,0.04
2025-08-19 14:40:00,11858.66,11862.95,11871.98,11858.66,0.04,5.17,256180,277110925.0,0.11,0.05
2025-08-19 14:45:00,11863.85,11867.37,11868.84,11858.97,0.04,4.42,177279,249179682.0,0.08,0.03
2025-08-19 14:50:00,11868.21,11872.68,11873.7,11865.04,0.04,5.31,213781,306463443.0,0.07,0.04
2025-08-19 14:55:00,11871.96,11872.14,11872.74,11865.82,0.0,-0.54,303110,451174502.0,0.06,0.05
2025-08-19 15:00:00,11872.03,11877.49,11877.49,11869.32,0.05,5.35,295589,404419249.0,0.07,0.05
2025-08-20 09:35:00,11862.36,11842.68,11862.36,11819.48,-0.29,-34.81,1029864,1366542154.0,0.36,0.18
2025-08-20 09:40:00,11839.07,11858.92,11864.99,11828.03,0.14,16.24,468022,713610950.0,0.31,0.08
2025-08-20 09:45:00,11858.62,11867.06,11875.29,11855.26,0.07,8.14,605104,669910906.0,0.17,0.11
2025-08-20 09:50:00,11868.03,11869.51,11888.71,11859.55,0.02,2.45,325678,457269317.0,0.25,0.06
2025-08-20 09:55:00,11869.29,11863.8,11875.18,11855.64,-0.05,-5.71,374664,506208270.0,0.16,0.07
2025-08-20 10:00:00,11864.48,11854.12,11866.05,11844.11,-0.08,-9.68,290510,364284458.0,0.18,0.05
2025-08-20 10:05:00,11856.42,11866.16,11869.99,11850.42,0.1,12.04,186398,282403462.0,0.17,0.03
2025-08-20 10:10:00,11865.16,11847.82,11868.62,11847.47,-0.15,-18.34,178628,263075418.0,0.18,0.03
2025-08-20 10:15:00,11849.27,11860.38,11860.59,11844.78,0.11,12.56,175703,284367861.0,0.13,0.03
2025-08-20 10:20:00,11860.71,11870.73,11872.94,11860.05,0.09,10.35,192504,300689342.0,0.11,0.03
2025-08-20 10:25:00,11871.21,11874.8,11876.15,11861.73,0.03,4.07,160792,269596167.0,0.12,0.03
2025-08-20 10:30:00,11872.85,11883.81,11885.22,11867.56,0.08,9.01,140129,236090959.0,0.15,0.03
2025-08-20 10:35:00,11883.24,11909.58,11909.93,11882.87,0.22,25.77,220884,285324508.0,0.23,0.04
2025-08-20 10:40:00,11910.23,11898.65,11915.59,11898.08,-0.09,-10.93,165914,246910656.0,0.15,0.03
2025-08-20 10:45:00,11898.55,11888.93,11898.83,11888.47,-0.08,-9.72,124879,177131216.0,0.09,0.02
2025-08-20 10:50:00,11888.17,11890.25,11892.88,11883.93,0.01,1.32,116320,169169744.0,0.08,0.02
2025-08-20 10:55:00,11889.94,11885.16,11894.99,11883.36,-0.04,-5.09,125340,180883952.0,0.1,0.02
2025-08-20 11:00:00,11884.83,11877.13,11889.68,11877.13,-0.07,-8.03,123600,207702988.0,0.11,0.02
