日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,20330.84,20332.69,20337.92,20221.55,0.32,64.63,688753,1541854355.0,0.57,0.41
2025-08-19 09:40:00,20320.42,20377.58,20377.58,20320.42,0.22,44.89,369183,815694691.0,0.28,0.22
2025-08-19 09:45:00,20381.33,20373.04,20381.33,20316.99,-0.02,-4.54,313578,738084080.0,0.32,0.19
2025-08-19 09:50:00,20367.52,20419.75,20423.04,20367.52,0.23,46.71,326271,639410212.0,0.27,0.19
2025-08-19 09:55:00,20422.29,20498.54,20500.89,20422.29,0.39,78.79,342567,636535638.0,0.38,0.2
2025-08-19 10:00:00,20494.12,20414.21,20494.95,20413.38,-0.41,-84.33,261779,592201305.0,0.4,0.16
2025-08-19 10:05:00,20409.66,20307.55,20409.66,20304.02,-0.52,-106.66,316466,653977878.0,0.52,0.19
2025-08-19 10:10:00,20312.45,20357.95,20359.26,20264.79,0.25,50.4,266109,535380564.0,0.47,0.16
2025-08-19 10:15:00,20359.09,20331.88,20372.84,20331.88,-0.13,-26.07,162612,390254232.0,0.2,0.1
2025-08-19 10:20:00,20335.75,20322.79,20357.27,20322.34,-0.04,-9.09,145183,377608650.0,0.17,0.09
2025-08-19 10:25:00,20325.37,20320.37,20339.9,20312.69,-0.01,-2.42,161919,423744686.0,0.13,0.1
2025-08-19 10:30:00,20316.3,20390.91,20393.06,20316.3,0.35,70.54,203646,375770873.0,0.38,0.12
2025-08-19 10:35:00,20392.17,20420.73,20422.13,20387.43,0.15,29.82,156679,280829483.0,0.17,0.09
2025-08-19 10:40:00,20416.71,20440.62,20442.82,20416.71,0.1,19.89,150013,286344944.0,0.13,0.09
2025-08-19 10:45:00,20441.59,20415.08,20441.59,20404.46,-0.12,-25.54,123510,298993223.0,0.18,0.07
2025-08-19 10:50:00,20416.29,20431.38,20432.58,20404.09,0.08,16.3,112664,281400229.0,0.14,0.07
2025-08-19 10:55:00,20431.55,20465.16,20465.16,20431.55,0.17,33.78,111466,269081225.0,0.16,0.07
2025-08-19 11:00:00,20465.37,20438.95,20467.65,20435.16,-0.13,-26.21,102666,304674625.0,0.16,0.06
2025-08-19 11:05:00,20439.75,20500.47,20504.12,20439.33,0.3,61.52,150626,373442935.0,0.32,0.09
2025-08-19 11:10:00,20503.39,20495.52,20510.05,20492.48,-0.02,-4.95,111731,288890695.0,0.09,0.07
