日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1492.5,1497.98,1501.63,1491.83,0.46,6.82,142478,639375247.0,0.66,0.02
2025-08-19 09:40:00,1497.98,1495.23,1503.74,1495.23,-0.18,-2.75,82857,320341733.0,0.57,0.01
2025-08-19 09:45:00,1495.17,1495.82,1496.48,1493.29,0.04,0.59,65282,248769551.0,0.21,0.01
2025-08-19 09:50:00,1495.71,1488.01,1495.9,1487.51,-0.52,-7.81,78082,303737543.0,0.56,0.01
2025-08-19 09:55:00,1487.88,1489.96,1491.09,1487.76,0.13,1.95,56996,212984962.0,0.22,0.01
2025-08-19 10:00:00,1489.35,1492.89,1495.21,1489.35,0.2,2.93,50245,201031137.0,0.39,0.01
2025-08-19 10:05:00,1492.52,1483.5,1492.52,1483.41,-0.63,-9.39,73386,274942087.0,0.61,0.01
2025-08-19 10:10:00,1483.43,1484.76,1484.87,1480.65,0.08,1.26,79901,260045518.0,0.28,0.01
2025-08-19 10:15:00,1484.65,1484.92,1487.72,1484.0,0.01,0.16,36458,109963934.0,0.25,0.0
2025-08-19 10:20:00,1484.48,1482.93,1486.26,1482.46,-0.13,-1.99,35282,130448908.0,0.26,0.0
2025-08-19 10:25:00,1482.88,1480.65,1483.94,1480.65,-0.15,-2.28,37647,129493638.0,0.22,0.0
2025-08-19 10:30:00,1481.07,1481.85,1483.48,1480.67,0.08,1.2,31650,119176946.0,0.19,0.0
2025-08-19 10:35:00,1481.8,1482.17,1482.26,1480.23,0.02,0.32,27098,109965651.0,0.14,0.0
2025-08-19 10:40:00,1482.4,1480.66,1484.38,1480.39,-0.1,-1.51,32345,112724481.0,0.27,0.0
2025-08-19 10:45:00,1480.33,1479.22,1480.68,1478.74,-0.1,-1.44,28529,133485112.0,0.13,0.0
2025-08-19 10:50:00,1479.24,1476.89,1479.34,1476.77,-0.16,-2.33,38632,132567487.0,0.17,0.01
2025-08-19 10:55:00,1477.12,1476.22,1477.12,1475.57,-0.05,-0.67,45123,199522872.0,0.1,0.01
2025-08-19 11:00:00,1476.37,1474.95,1477.0,1474.6,-0.09,-1.27,29819,131532776.0,0.16,0.0
2025-08-19 11:05:00,1474.95,1477.77,1479.02,1474.57,0.19,2.82,29025,113754967.0,0.3,0.0
2025-08-19 11:10:00,1477.63,1479.19,1480.16,1476.64,0.1,1.42,20817,82832787.0,0.24,0.0
2025-08-19 11:15:00,1478.99,1480.61,1481.29,1478.73,0.1,1.42,27019,92145107.0,0.17,0.0
2025-08-19 11:20:00,1480.89,1475.9,1480.89,1475.82,-0.32,-4.71,52417,230113561.0,0.34,0.01
2025-08-19 11:25:00,1475.41,1477.85,1479.03,1475.06,0.13,1.95,46450,228219159.0,0.27,0.01
2025-08-19 11:30:00,1477.87,1475.64,1478.16,1474.8,-0.15,-2.21,46485,227700487.0,0.23,0.01
2025-08-19 13:05:00,1475.64,1479.35,1479.35,1475.64,0.25,3.71,37339,147778424.0,0.25,0.0
