日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1185.51,1187.12,1189.57,1182.95,0.2,2.32,1551839,2600964975.0,0.56,0.19
2025-08-19 09:40:00,1186.86,1184.79,1186.86,1183.51,-0.2,-2.33,864351,1477500158.0,0.28,0.11
2025-08-19 09:45:00,1184.77,1186.85,1186.91,1181.85,0.17,2.06,795665,1413100966.0,0.43,0.1
2025-08-19 09:50:00,1186.91,1184.74,1187.23,1184.68,-0.18,-2.11,616582,1179513340.0,0.21,0.08
2025-08-19 09:55:00,1185.22,1190.88,1190.98,1185.22,0.52,6.14,768114,1809420544.0,0.49,0.1
2025-08-19 10:00:00,1190.79,1188.76,1192.37,1188.3,-0.18,-2.12,745784,1772448864.0,0.34,0.09
2025-08-19 10:05:00,1188.82,1181.9,1188.82,1181.9,-0.58,-6.86,855297,1628988448.0,0.58,0.11
2025-08-19 10:10:00,1181.81,1185.57,1185.93,1179.51,0.31,3.67,799839,1349286482.0,0.54,0.1
2025-08-19 10:15:00,1185.61,1185.66,1185.98,1184.74,0.01,0.09,375723,738115499.0,0.1,0.05
2025-08-19 10:20:00,1185.78,1186.36,1188.62,1185.26,0.06,0.7,562767,1065281185.0,0.28,0.07
2025-08-19 10:25:00,1186.47,1183.77,1186.47,1183.41,-0.22,-2.59,328929,644182436.0,0.26,0.04
2025-08-19 10:30:00,1183.75,1185.68,1186.28,1183.66,0.16,1.91,312625,577923592.0,0.22,0.04
2025-08-19 10:35:00,1185.6,1185.63,1186.57,1185.57,0.0,-0.05,288663,523809757.0,0.08,0.04
2025-08-19 10:40:00,1185.61,1185.7,1185.85,1185.09,0.01,0.07,243877,488145714.0,0.06,0.03
2025-08-19 10:45:00,1185.53,1185.36,1186.24,1184.52,-0.03,-0.34,249033,487707255.0,0.15,0.03
2025-08-19 10:50:00,1185.28,1185.25,1185.88,1184.52,-0.01,-0.11,266096,513819985.0,0.11,0.03
2025-08-19 10:55:00,1185.21,1185.67,1185.93,1185.08,0.04,0.42,247298,557492747.0,0.07,0.03
2025-08-19 11:00:00,1185.63,1185.86,1187.36,1185.43,0.02,0.19,281877,509308197.0,0.16,0.03
2025-08-19 11:05:00,1185.96,1188.72,1188.72,1185.75,0.24,2.86,285885,510910589.0,0.25,0.04
2025-08-19 11:10:00,1188.63,1189.78,1189.95,1187.93,0.09,1.06,436187,604897105.0,0.17,0.05
2025-08-19 11:15:00,1189.79,1190.5,1190.5,1189.68,0.06,0.72,404018,464729358.0,0.07,0.05
2025-08-19 11:20:00,1190.55,1189.74,1190.6,1189.5,-0.06,-0.76,280944,404804065.0,0.09,0.03
2025-08-19 11:25:00,1189.67,1190.82,1190.85,1189.67,0.09,1.08,272944,382345062.0,0.1,0.03
2025-08-19 11:30:00,1190.78,1190.02,1191.03,1189.89,-0.07,-0.8,268162,487441864.0,0.1,0.03
2025-08-19 13:05:00,1190.02,1190.18,1191.41,1189.34,0.01,0.16,437763,731979303.0,0.17,0.05
2025-08-19 13:10:00,1190.31,1191.62,1191.83,1189.75,0.12,1.44,243836,421067081.0,0.17,0.03
2025-08-19 13:15:00,1191.71,1190.13,1192.42,1190.12,-0.13,-1.49,292957,491106772.0,0.19,0.04
2025-08-19 13:20:00,1190.16,1189.43,1190.56,1189.09,-0.06,-0.7,282773,483994913.0,0.12,0.04
2025-08-19 13:25:00,1189.25,1191.69,1192.22,1189.25,0.19,2.26,315786,570125394.0,0.25,0.04
2025-08-19 13:30:00,1191.65,1191.31,1191.95,1190.75,-0.03,-0.38,255115,523333953.0,0.1,0.03
2025-08-19 13:35:00,1191.44,1189.83,1191.44,1189.83,-0.12,-1.48,346162,635915767.0,0.14,0.04
2025-08-19 13:40:00,1189.63,1191.92,1192.18,1188.9,0.18,2.09,461045,766348181.0,0.28,0.06
2025-08-19 13:45:00,1191.92,1191.48,1192.5,1191.4,-0.04,-0.44,331487,538944372.0,0.09,0.04
2025-08-19 13:50:00,1191.56,1189.46,1191.56,1189.41,-0.17,-2.02,289777,536430801.0,0.18,0.04
2025-08-19 13:55:00,1189.45,1187.09,1189.7,1186.7,-0.2,-2.37,369929,792785562.0,0.25,0.05
2025-08-19 14:00:00,1187.21,1185.56,1187.69,1185.47,-0.13,-1.53,308717,721473427.0,0.19,0.04
2025-08-19 14:05:00,1185.52,1188.85,1188.85,1185.32,0.28,3.29,272488,562847850.0,0.3,0.03
2025-08-19 14:10:00,1188.93,1187.72,1189.25,1187.7,-0.1,-1.13,192787,406713758.0,0.13,0.02
2025-08-19 14:15:00,1187.67,1186.88,1187.73,1186.77,-0.07,-0.84,210554,424794463.0,0.08,0.03
2025-08-19 14:20:00,1186.91,1186.2,1187.75,1186.2,-0.06,-0.68,242654,484294282.0,0.13,0.03
2025-08-19 14:25:00,1186.17,1184.63,1186.17,1184.63,-0.13,-1.57,313118,632400697.0,0.13,0.04
2025-08-19 14:30:00,1184.54,1184.06,1184.71,1182.7,-0.05,-0.57,385329,713221613.0,0.17,0.05
2025-08-19 14:35:00,1184.0,1185.9,1185.96,1184.0,0.16,1.84,243789,463911495.0,0.17,0.03
2025-08-19 14:40:00,1185.87,1186.11,1187.06,1185.87,0.02,0.21,255643,446994998.0,0.1,0.03
2025-08-19 14:45:00,1186.03,1186.95,1186.95,1185.65,0.07,0.84,287192,539136961.0,0.11,0.04
2025-08-19 14:50:00,1186.92,1187.35,1187.68,1186.66,0.03,0.4,439482,710780901.0,0.09,0.05
2025-08-19 14:55:00,1187.36,1187.21,1187.63,1187.12,-0.01,-0.14,503111,860809687.0,0.04,0.06
2025-08-19 15:00:00,1187.31,1187.41,1187.65,1187.15,0.02,0.2,547117,847729261.0,0.04,0.07
2025-08-20 09:35:00,1202.83,1199.53,1215.18,1199.53,1.02,12.12,5447812,7392545904.0,1.32,0.68
2025-08-20 09:40:00,1199.05,1202.06,1203.49,1197.34,0.21,2.53,2346416,2960585616.0,0.51,0.29
2025-08-20 09:45:00,1201.99,1196.33,1203.89,1196.26,-0.48,-5.73,1543781,2231964512.0,0.63,0.19
2025-08-20 09:50:00,1196.14,1196.53,1197.24,1194.88,0.02,0.2,967457,1480470834.0,0.2,0.12
2025-08-20 09:55:00,1196.68,1195.74,1196.68,1194.95,-0.07,-0.79,690557,1148312978.0,0.14,0.09
2025-08-20 10:00:00,1195.86,1196.98,1197.61,1194.98,0.1,1.24,732859,1127463115.0,0.22,0.09
2025-08-20 10:05:00,1197.05,1193.38,1197.05,1193.09,-0.3,-3.6,804476,1096995646.0,0.33,0.1
2025-08-20 10:10:00,1192.97,1190.78,1193.2,1190.58,-0.22,-2.6,614773,958050243.0,0.22,0.08
2025-08-20 10:15:00,1190.94,1190.05,1190.94,1189.65,-0.06,-0.73,612044,963829973.0,0.11,0.08
2025-08-20 10:20:00,1190.04,1191.61,1191.83,1188.9,0.13,1.56,515127,755962093.0,0.25,0.06
