日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1203.39,1197.54,1203.39,1196.9,-0.38,-4.51,466889,375995824.0,0.54,0.22
2025-08-19 09:40:00,1197.43,1202.34,1203.31,1197.43,0.4,4.8,330972,254117801.0,0.49,0.16
2025-08-19 09:45:00,1202.38,1203.84,1204.24,1201.29,0.12,1.5,206755,156443890.0,0.25,0.1
2025-08-19 09:50:00,1203.96,1204.29,1205.09,1203.55,0.04,0.45,208752,157094560.0,0.13,0.1
2025-08-19 09:55:00,1204.31,1204.48,1204.76,1203.29,0.02,0.19,184360,141853511.0,0.12,0.09
2025-08-19 10:00:00,1204.69,1204.72,1206.69,1204.08,0.02,0.24,261813,179621718.0,0.22,0.13
2025-08-19 10:05:00,1204.76,1200.03,1205.17,1200.03,-0.39,-4.69,228039,174138228.0,0.43,0.11
2025-08-19 10:10:00,1199.99,1201.97,1202.07,1198.55,0.16,1.94,206649,153858612.0,0.29,0.1
2025-08-19 10:15:00,1202.1,1201.56,1203.71,1201.56,-0.03,-0.41,115553,86523338.0,0.18,0.06
2025-08-19 10:20:00,1201.81,1200.21,1202.4,1200.05,-0.11,-1.35,104266,77039083.0,0.2,0.05
2025-08-19 10:25:00,1200.42,1200.07,1200.88,1199.66,-0.01,-0.14,118376,83484722.0,0.1,0.06
2025-08-19 10:30:00,1200.18,1202.57,1202.97,1200.18,0.21,2.5,131272,86275593.0,0.23,0.06
2025-08-19 10:35:00,1202.77,1206.13,1206.35,1202.77,0.3,3.56,164295,109348037.0,0.3,0.08
2025-08-19 10:40:00,1206.25,1207.03,1207.24,1205.85,0.07,0.9,108717,83329486.0,0.12,0.05
2025-08-19 10:45:00,1207.08,1207.3,1207.41,1206.16,0.02,0.27,123938,104207021.0,0.1,0.06
2025-08-19 10:50:00,1207.04,1207.45,1207.75,1206.58,0.01,0.15,89636,92367865.0,0.1,0.04
2025-08-19 10:55:00,1207.53,1207.61,1208.65,1207.18,0.01,0.16,68946,76198031.0,0.12,0.03
2025-08-19 11:00:00,1207.45,1206.82,1207.97,1206.77,-0.07,-0.79,91548,65265477.0,0.1,0.04
2025-08-19 11:05:00,1206.8,1208.68,1209.04,1206.71,0.15,1.86,85228,80030696.0,0.19,0.04
2025-08-19 11:10:00,1208.66,1209.0,1209.22,1207.97,0.03,0.32,73090,68462556.0,0.1,0.04
2025-08-19 11:15:00,1208.84,1209.17,1209.44,1208.13,0.01,0.17,104784,91137186.0,0.11,0.05
2025-08-19 11:20:00,1209.09,1210.16,1210.84,1208.77,0.08,0.99,82903,76195058.0,0.17,0.04
2025-08-19 11:25:00,1210.12,1210.11,1210.49,1209.65,0.0,-0.05,72481,64110416.0,0.07,0.03
2025-08-19 11:30:00,1210.04,1209.52,1210.34,1209.11,-0.05,-0.59,73286,68250966.0,0.1,0.04
2025-08-19 13:05:00,1209.52,1212.22,1212.79,1209.52,0.22,2.7,229417,210554310.0,0.27,0.11
2025-08-19 13:10:00,1212.13,1213.1,1213.63,1211.93,0.07,0.88,123822,112102076.0,0.14,0.06
2025-08-19 13:15:00,1213.11,1213.86,1214.38,1212.9,0.06,0.76,169994,146003148.0,0.12,0.08
2025-08-19 13:20:00,1213.75,1214.12,1215.08,1213.4,0.02,0.26,187356,148246745.0,0.14,0.09
2025-08-19 13:25:00,1214.08,1213.27,1214.84,1213.27,-0.07,-0.85,127689,99171471.0,0.13,0.06
2025-08-19 13:30:00,1213.29,1213.63,1214.34,1212.48,0.03,0.36,129212,108538339.0,0.15,0.06
2025-08-19 13:35:00,1213.7,1211.88,1214.19,1211.77,-0.14,-1.75,109159,89243092.0,0.2,0.05
2025-08-19 13:40:00,1211.82,1212.79,1213.12,1211.05,0.08,0.91,96033,76307968.0,0.17,0.05
2025-08-19 13:45:00,1212.82,1212.65,1213.37,1211.98,-0.01,-0.14,59422,49955350.0,0.11,0.03
2025-08-19 13:50:00,1213.24,1211.91,1213.41,1211.59,-0.06,-0.74,93913,74837637.0,0.15,0.04
2025-08-19 13:55:00,1212.08,1209.55,1212.19,1208.57,-0.19,-2.36,118415,93638726.0,0.3,0.06
2025-08-19 14:00:00,1209.69,1209.41,1210.28,1209.16,-0.01,-0.14,87381,59324905.0,0.09,0.04
2025-08-19 14:05:00,1209.5,1211.03,1211.32,1208.99,0.13,1.62,103067,74842793.0,0.19,0.05
2025-08-19 14:10:00,1211.03,1211.01,1211.38,1210.65,0.0,-0.02,70280,53212434.0,0.06,0.03
2025-08-19 14:15:00,1210.59,1210.06,1211.04,1209.98,-0.08,-0.95,75900,62080666.0,0.09,0.04
2025-08-19 14:20:00,1210.27,1209.86,1211.24,1209.59,-0.02,-0.2,84577,85735040.0,0.14,0.04
2025-08-19 14:25:00,1209.89,1208.8,1210.12,1208.6,-0.09,-1.06,70540,65254899.0,0.13,0.03
2025-08-19 14:30:00,1208.79,1208.73,1208.94,1207.28,-0.01,-0.07,103559,78342526.0,0.14,0.05
2025-08-19 14:35:00,1208.62,1209.93,1210.23,1208.55,0.1,1.2,77504,63652751.0,0.14,0.04
2025-08-19 14:40:00,1210.03,1210.36,1211.05,1209.94,0.04,0.43,73375,61460453.0,0.09,0.04
2025-08-19 14:45:00,1210.41,1210.79,1211.15,1209.74,0.04,0.43,89030,73272316.0,0.12,0.04
2025-08-19 14:50:00,1210.88,1211.06,1211.43,1210.41,0.02,0.27,160698,119407810.0,0.08,0.08
2025-08-19 14:55:00,1211.31,1211.48,1211.77,1210.39,0.03,0.42,154685,122725554.0,0.11,0.07
2025-08-19 15:00:00,1211.56,1212.48,1212.48,1211.08,0.08,1.0,173397,139889735.0,0.12,0.08
2025-08-20 09:35:00,1209.97,1210.71,1211.26,1205.32,-0.15,-1.77,428695,328532959.0,0.49,0.21
2025-08-20 09:40:00,1210.67,1215.57,1215.57,1209.5,0.4,4.86,223821,176693233.0,0.5,0.11
2025-08-20 09:45:00,1215.39,1216.48,1219.48,1214.82,0.07,0.91,223994,195811408.0,0.38,0.11
2025-08-20 09:50:00,1215.98,1219.24,1220.91,1215.98,0.23,2.76,255135,166917715.0,0.41,0.12
2025-08-20 09:55:00,1218.81,1218.48,1219.79,1217.97,-0.06,-0.76,153724,116134672.0,0.15,0.07
2025-08-20 10:00:00,1218.6,1218.48,1218.82,1216.61,0.0,0.0,198309,150981112.0,0.18,0.1
2025-08-20 10:05:00,1218.42,1216.79,1218.68,1215.93,-0.14,-1.69,156427,104943505.0,0.23,0.07
2025-08-20 10:10:00,1216.67,1217.5,1217.74,1215.95,0.06,0.71,122120,83640087.0,0.15,0.06
2025-08-20 10:15:00,1217.35,1216.35,1217.96,1216.04,-0.09,-1.15,121078,80132396.0,0.16,0.06
2025-08-20 10:20:00,1216.34,1216.65,1217.08,1215.99,0.02,0.3,106995,74057433.0,0.09,0.05
2025-08-20 10:25:00,1216.22,1214.69,1216.33,1214.18,-0.16,-1.96,96339,73144018.0,0.18,0.05
2025-08-20 10:30:00,1214.86,1216.1,1216.32,1214.48,0.12,1.41,87016,57457685.0,0.15,0.04
2025-08-20 10:35:00,1216.03,1218.0,1218.7,1216.03,0.16,1.9,141736,79110724.0,0.22,0.07
2025-08-20 10:40:00,1218.35,1218.75,1219.16,1217.56,0.06,0.75,94117,64674605.0,0.13,0.05
2025-08-20 10:45:00,1218.83,1219.19,1219.59,1218.06,0.04,0.44,88854,55183004.0,0.13,0.04
2025-08-20 10:50:00,1219.29,1219.84,1220.34,1218.93,0.05,0.65,84143,62617650.0,0.12,0.04
2025-08-20 10:55:00,1219.93,1219.25,1220.8,1219.11,-0.05,-0.59,68461,54828503.0,0.14,0.03
2025-08-20 11:00:00,1219.45,1218.66,1219.84,1218.45,-0.05,-0.59,69293,54103568.0,0.11,0.03
2025-08-20 11:05:00,1218.68,1218.35,1218.86,1217.44,-0.03,-0.31,97781,80509581.0,0.12,0.05
2025-08-20 11:10:00,1218.07,1219.09,1219.4,1218.07,0.06,0.74,88345,64921967.0,0.11,0.04
2025-08-20 11:15:00,1219.09,1221.07,1221.28,1219.02,0.16,1.98,119045,96320359.0,0.19,0.06
2025-08-20 11:20:00,1220.67,1218.34,1221.17,1217.41,-0.22,-2.73,127505,104567759.0,0.31,0.06
2025-08-20 11:25:00,1218.22,1217.56,1219.99,1217.37,-0.06,-0.78,77544,66368028.0,0.22,0.04
2025-08-20 11:30:00,1217.42,1218.76,1218.81,1215.11,0.1,1.2,162356,124902679.0,0.3,0.08
2025-08-20 13:05:00,1218.76,1218.92,1221.64,1218.65,0.01,0.16,106733,87601126.0,0.25,0.05
2025-08-20 13:10:00,1219.03,1217.39,1219.5,1217.27,-0.13,-1.53,109112,75474967.0,0.18,0.05
2025-08-20 13:15:00,1217.61,1219.28,1219.74,1216.59,0.16,1.89,94316,61438582.0,0.26,0.05
2025-08-20 13:20:00,1219.39,1220.58,1221.16,1219.26,0.11,1.3,91872,64050196.0,0.16,0.04
2025-08-20 13:25:00,1220.66,1219.78,1221.11,1219.4,-0.07,-0.8,63731,49179034.0,0.14,0.03
2025-08-20 13:30:00,1219.76,1220.91,1220.91,1219.2,0.09,1.13,46272,36893667.0,0.14,0.02
2025-08-20 13:35:00,1221.16,1222.28,1222.28,1220.56,0.11,1.37,52880,43983896.0,0.14,0.03
2025-08-20 13:40:00,1221.99,1224.01,1225.19,1221.98,0.14,1.73,67944,55190467.0,0.26,0.03
2025-08-20 13:45:00,1224.26,1222.96,1224.39,1222.66,-0.09,-1.05,77309,56172241.0,0.14,0.04
2025-08-20 13:50:00,1222.95,1224.6,1224.64,1222.13,0.13,1.64,68625,46496941.0,0.21,0.03
2025-08-20 13:55:00,1224.49,1224.93,1225.04,1223.28,0.03,0.33,47194,36393227.0,0.14,0.02
2025-08-20 14:00:00,1224.68,1226.46,1226.81,1223.73,0.12,1.53,94666,63221843.0,0.25,0.05
2025-08-20 14:05:00,1226.59,1229.15,1230.4,1226.47,0.22,2.69,78347,75882182.0,0.32,0.04
2025-08-20 14:10:00,1229.12,1227.19,1229.13,1226.81,-0.16,-1.96,96577,64784909.0,0.19,0.05
