日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,29993.28,29931.36,29993.28,29866.65,-0.18,-53.78,3237209,5464528976.0,0.42,0.37
2025-08-19 09:40:00,29933.41,30004.14,30012.85,29928.95,0.24,72.78,1608501,2660061920.0,0.28,0.18
2025-08-19 09:45:00,30003.23,30010.57,30026.14,29972.57,0.02,6.43,1331861,2182107072.0,0.18,0.15
2025-08-19 09:50:00,30015.56,30022.04,30036.47,29991.63,0.04,11.47,1050241,1694657952.0,0.15,0.12
2025-08-19 09:55:00,30022.61,30055.84,30062.62,30022.61,0.11,33.8,993131,1516284537.0,0.13,0.11
2025-08-19 10:00:00,30053.76,30003.84,30053.76,30003.84,-0.17,-52.0,933917,1487727632.0,0.17,0.11
2025-08-19 10:05:00,30004.98,29842.17,30004.98,29842.17,-0.54,-161.67,1240733,1978135536.0,0.54,0.14
2025-08-19 10:10:00,29841.64,29905.95,29906.63,29778.11,0.21,63.78,1212331,1888732208.0,0.43,0.14
2025-08-19 10:15:00,29903.65,29873.39,29905.22,29871.63,-0.11,-32.56,820472,1362506094.0,0.11,0.09
2025-08-19 10:20:00,29873.08,29821.13,29876.08,29817.01,-0.17,-52.26,628386,1103801905.0,0.2,0.07
2025-08-19 10:25:00,29823.46,29815.09,29836.33,29810.04,-0.02,-6.04,532034,915805365.0,0.09,0.06
2025-08-19 10:30:00,29815.37,29903.7,29905.51,29815.37,0.3,88.61,528776,838508776.0,0.3,0.06
2025-08-19 10:35:00,29903.17,29963.42,29968.9,29901.79,0.2,59.72,566060,863090117.0,0.22,0.06
2025-08-19 10:40:00,29962.93,29958.64,29965.1,29948.46,-0.02,-4.78,421219,643866747.0,0.06,0.05
2025-08-19 10:45:00,29958.25,29948.7,29965.51,29940.6,-0.03,-9.94,383124,605958049.0,0.08,0.04
2025-08-19 10:50:00,29948.38,29962.79,29974.7,29942.58,0.05,14.09,392115,596869476.0,0.11,0.04
2025-08-19 10:55:00,29961.89,29962.6,29976.22,29961.42,0.0,-0.19,327213,518340085.0,0.05,0.04
2025-08-19 11:00:00,29963.06,29967.71,29991.85,29960.85,0.02,5.11,373145,610982520.0,0.1,0.04
2025-08-19 11:05:00,29966.99,30029.75,30033.06,29966.39,0.21,62.04,358024,583973453.0,0.22,0.04
2025-08-19 11:10:00,30029.36,30025.55,30038.96,30021.49,-0.01,-4.2,329846,551823463.0,0.06,0.04
2025-08-19 11:15:00,30026.57,30041.68,30044.39,30026.57,0.05,16.13,302814,491561837.0,0.06,0.03
2025-08-19 11:20:00,30042.88,30054.13,30062.94,30037.03,0.04,12.45,333705,539726900.0,0.09,0.04
2025-08-19 11:25:00,30054.54,30072.85,30075.69,30051.03,0.06,18.72,313252,505476235.0,0.08,0.04
2025-08-19 11:30:00,30074.89,30078.71,30084.82,30073.3,0.02,5.86,382346,597959786.0,0.04,0.04
2025-08-19 13:05:00,30078.71,30146.84,30148.92,30078.71,0.23,68.13,828344,1184342199.0,0.23,0.09
2025-08-19 13:10:00,30147.66,30160.99,30174.74,30123.56,0.05,14.15,487568,761775132.0,0.17,0.06
2025-08-19 13:15:00,30159.87,30139.62,30159.96,30139.1,-0.07,-21.37,510082,764587818.0,0.07,0.06
2025-08-19 13:20:00,30139.09,30128.97,30160.17,30126.43,-0.04,-10.65,568414,765100293.0,0.11,0.07
2025-08-19 13:25:00,30129.16,30126.05,30138.9,30123.95,-0.01,-2.92,434868,616412705.0,0.05,0.05
2025-08-19 13:30:00,30125.98,30117.13,30127.61,30091.02,-0.03,-8.92,433684,626647575.0,0.12,0.05
2025-08-19 13:35:00,30116.49,30057.66,30118.33,30057.46,-0.2,-59.47,464362,674291456.0,0.2,0.05
2025-08-19 13:40:00,30055.51,30079.29,30080.41,30036.88,0.07,21.63,400002,606268809.0,0.14,0.05
2025-08-19 13:45:00,30081.09,30073.32,30082.16,30066.99,-0.02,-5.97,298317,435323321.0,0.05,0.03
2025-08-19 13:50:00,30074.54,30036.83,30074.54,30029.62,-0.12,-36.49,384359,577652083.0,0.15,0.04
2025-08-19 13:55:00,30036.07,29989.16,30036.07,29968.08,-0.16,-47.67,448709,738176896.0,0.23,0.05
2025-08-19 14:00:00,29989.95,29990.61,30012.66,29989.95,0.0,1.45,335136,553251629.0,0.08,0.04
2025-08-19 14:05:00,29991.79,30057.0,30057.0,29980.45,0.22,66.39,402289,639385964.0,0.26,0.05
2025-08-19 14:10:00,30058.19,30058.95,30076.74,30057.54,0.01,1.95,335335,545911015.0,0.06,0.04
2025-08-19 14:15:00,30060.52,30035.55,30060.53,30029.78,-0.08,-23.4,285656,467333718.0,0.1,0.03
2025-08-19 14:20:00,30036.76,30014.7,30047.02,30013.8,-0.07,-20.85,301018,484788010.0,0.11,0.03
2025-08-19 14:25:00,30013.78,29983.35,30013.78,29982.98,-0.1,-31.35,381131,606632712.0,0.1,0.04
2025-08-19 14:30:00,29982.59,29973.29,29983.15,29941.22,-0.03,-10.06,462418,716271004.0,0.14,0.05
2025-08-19 14:35:00,29976.27,30021.23,30022.68,29975.97,0.16,47.94,346699,557654870.0,0.16,0.04
2025-08-19 14:40:00,30021.95,30027.2,30034.97,30020.51,0.02,5.97,355456,554690440.0,0.05,0.04
2025-08-19 14:45:00,30027.88,30035.04,30035.04,30015.56,0.03,7.84,444301,665337748.0,0.06,0.05
2025-08-19 14:50:00,30037.32,30036.89,30048.02,30036.42,0.01,1.85,512815,821074462.0,0.04,0.06
2025-08-19 14:55:00,30039.49,30038.2,30039.49,30028.32,0.0,1.31,717179,1133266748.0,0.04,0.08
2025-08-19 15:00:00,30036.37,30048.16,30048.66,30034.89,0.03,9.96,739026,1109187474.0,0.05,0.08
2025-08-20 09:35:00,29976.43,30000.7,30024.4,29900.01,-0.16,-47.46,2834789,4039658236.0,0.41,0.32
2025-08-20 09:40:00,30000.62,30076.33,30084.84,29968.44,0.25,75.63,1645355,2378486992.0,0.39,0.19
2025-08-20 09:45:00,30073.82,30054.78,30097.24,30054.78,-0.07,-21.55,1448024,1919544032.0,0.14,0.17
2025-08-20 09:50:00,30055.3,30102.01,30104.02,30034.64,0.16,47.23,1062055,1558607168.0,0.23,0.12
2025-08-20 09:55:00,30101.34,30081.23,30107.33,30070.71,-0.07,-20.78,935662,1372758438.0,0.12,0.11
2025-08-20 10:00:00,30081.98,30091.9,30098.7,30050.51,0.04,10.67,976683,1406380705.0,0.16,0.11
2025-08-20 10:05:00,30092.32,30068.77,30092.98,30051.84,-0.08,-23.13,859683,1229892452.0,0.14,0.1
2025-08-20 10:10:00,30066.12,30033.78,30069.74,30025.99,-0.12,-34.99,909753,1167518883.0,0.15,0.1
2025-08-20 10:15:00,30033.82,30034.81,30045.43,30019.72,0.0,1.03,523460,756165506.0,0.09,0.06
2025-08-20 10:20:00,30036.93,30058.43,30059.18,30029.57,0.08,23.62,519040,839775035.0,0.1,0.06
2025-08-20 10:25:00,30055.57,30051.9,30060.77,30037.97,-0.02,-6.53,646193,934899314.0,0.08,0.07
2025-08-20 10:30:00,30052.77,30089.11,30089.98,30043.97,0.12,37.21,550878,825814386.0,0.15,0.06
2025-08-20 10:35:00,30088.35,30118.94,30120.64,30088.35,0.1,29.83,505428,668910512.0,0.11,0.06
2025-08-20 10:40:00,30117.57,30103.35,30126.43,30099.82,-0.05,-15.59,420714,617179732.0,0.09,0.05
2025-08-20 10:45:00,30102.71,30094.39,30107.67,30094.39,-0.03,-8.96,371229,531887552.0,0.04,0.04
2025-08-20 10:50:00,30095.27,30098.87,30106.05,30087.41,0.01,4.48,409568,575394057.0,0.06,0.05
2025-08-20 10:55:00,30101.25,30082.81,30109.96,30081.37,-0.05,-16.06,524338,729783799.0,0.09,0.06
2025-08-20 11:00:00,30080.23,30050.53,30088.58,30050.53,-0.11,-32.28,485686,676325798.0,0.13,0.06
2025-08-20 11:05:00,30050.42,30029.61,30050.42,30009.38,-0.07,-20.92,463295,702456485.0,0.14,0.05
2025-08-20 11:10:00,30029.44,30034.03,30043.19,30025.5,0.01,4.42,343721,476435075.0,0.06,0.04
2025-08-20 11:15:00,30033.65,30037.55,30039.16,30027.27,0.01,3.52,319584,442744388.0,0.04,0.04
2025-08-20 11:20:00,30037.97,29974.84,30040.07,29956.88,-0.21,-62.71,564964,882001749.0,0.28,0.06
2025-08-20 11:25:00,29975.28,29936.27,29992.01,29936.27,-0.13,-38.57,391070,589423760.0,0.19,0.04
2025-08-20 11:30:00,29936.16,29962.14,29962.61,29882.46,0.09,25.87,669773,1006425087.0,0.27,0.08
2025-08-20 13:05:00,29962.14,29976.12,30006.79,29962.14,0.05,13.98,465405,739825634.0,0.15,0.05
2025-08-20 13:10:00,29974.87,29948.61,29977.15,29937.83,-0.09,-27.51,318134,489346145.0,0.13,0.04
2025-08-20 13:15:00,29948.72,29994.15,30004.75,29946.79,0.15,45.54,322776,490942594.0,0.19,0.04
2025-08-20 13:20:00,29992.75,30012.36,30013.97,29978.56,0.06,18.21,302292,449300525.0,0.12,0.03
2025-08-20 13:25:00,30013.19,30011.25,30023.27,30007.28,0.0,-1.11,270448,414317425.0,0.05,0.03
2025-08-20 13:30:00,30010.33,30008.78,30010.59,29986.38,-0.01,-2.47,277770,394953013.0,0.08,0.03
2025-08-20 13:35:00,30009.51,30014.14,30014.34,29998.84,0.02,5.36,252481,376437332.0,0.05,0.03
2025-08-20 13:40:00,30016.02,30048.6,30048.6,30014.55,0.11,34.46,322519,501316129.0,0.11,0.04
2025-08-20 13:45:00,30048.07,30039.06,30063.26,30038.96,-0.03,-9.54,347552,556039041.0,0.08,0.04
2025-08-20 13:50:00,30038.49,30080.07,30081.34,30033.42,0.14,41.01,295496,466850723.0,0.16,0.03
2025-08-20 13:55:00,30081.56,30088.58,30091.99,30071.98,0.03,8.51,263706,498140019.0,0.07,0.03
2025-08-20 14:00:00,30088.31,30104.12,30104.12,30061.05,0.05,15.54,325279,577510010.0,0.14,0.04
2025-08-20 14:05:00,30105.19,30172.99,30173.62,30104.87,0.23,68.87,434537,724121855.0,0.23,0.05
2025-08-20 14:10:00,30175.24,30173.48,30180.99,30163.63,0.0,0.49,468358,623556123.0,0.06,0.05
2025-08-20 14:15:00,30172.75,30200.89,30205.28,30172.3,0.09,27.41,408787,631595395.0,0.11,0.05
2025-08-20 14:20:00,30201.29,30228.15,30239.01,30201.1,0.09,27.26,609866,846074769.0,0.13,0.07
2025-08-20 14:25:00,30228.46,30214.39,30230.24,30194.07,-0.05,-13.76,464205,639366502.0,0.12,0.05
2025-08-20 14:30:00,30214.33,30227.87,30228.54,30203.92,0.04,13.48,364311,551999704.0,0.08,0.04
2025-08-20 14:35:00,30228.85,30249.17,30253.68,30228.32,0.07,21.3,482059,742570961.0,0.08,0.06
2025-08-20 14:40:00,30248.98,30236.43,30248.98,30221.95,-0.04,-12.74,439368,660736443.0,0.09,0.05
2025-08-20 14:45:00,30235.98,30254.3,30257.56,30227.72,0.06,17.87,560131,774408601.0,0.1,0.06
2025-08-20 14:50:00,30255.81,30292.46,30293.91,30255.81,0.13,38.16,697434,1050495341.0,0.13,0.08
2025-08-20 14:55:00,30292.84,30297.05,30297.05,30280.14,0.02,4.59,824456,1160507190.0,0.06,0.09
2025-08-20 15:00:00,30295.98,30317.49,30317.49,30292.44,0.07,20.44,869951,1170656586.0,0.08,0.1
2025-08-21 09:35:00,30362.47,30420.38,30471.9,30329.47,0.34,102.89,3020583,4336707408.0,0.47,0.35
2025-08-21 09:40:00,30419.16,30416.67,30467.61,30416.23,-0.01,-3.71,1564233,2248696848.0,0.17,0.18
2025-08-21 09:45:00,30416.26,30317.48,30417.29,30316.18,-0.33,-99.19,1448874,2391776960.0,0.33,0.17
2025-08-21 09:50:00,30315.56,30353.91,30408.34,30315.56,0.12,36.43,1108020,1930009648.0,0.31,0.13
2025-08-21 09:55:00,30351.99,30301.61,30351.99,30297.45,-0.17,-52.3,993177,1805281184.0,0.18,0.11
2025-08-21 10:00:00,30299.43,30255.7,30312.72,30255.7,-0.15,-45.91,968315,1839463392.0,0.19,0.11
2025-08-21 10:05:00,30255.8,30252.68,30309.45,30250.7,-0.01,-3.02,886332,1455882825.0,0.19,0.1
2025-08-21 10:10:00,30250.41,30332.76,30333.52,30250.41,0.26,80.08,603182,987652859.0,0.27,0.07
2025-08-21 10:15:00,30333.07,30358.75,30359.37,30327.0,0.09,25.99,522558,806864517.0,0.11,0.06
2025-08-21 10:20:00,30358.68,30324.55,30358.68,30294.87,-0.11,-34.2,570042,981080834.0,0.21,0.07
2025-08-21 10:25:00,30328.29,30353.7,30380.69,30328.29,0.1,29.15,491361,803577019.0,0.17,0.06
2025-08-21 10:30:00,30352.91,30317.71,30362.93,30314.87,-0.12,-35.99,510330,769516889.0,0.16,0.06
2025-08-21 10:35:00,30315.85,30344.42,30344.42,30297.32,0.09,26.71,535115,853286104.0,0.16,0.06
2025-08-21 10:40:00,30344.03,30355.76,30361.95,30333.37,0.04,11.34,431720,729945768.0,0.09,0.05
2025-08-21 10:45:00,30354.74,30328.17,30354.74,30320.08,-0.09,-27.59,413389,660212427.0,0.11,0.05
2025-08-21 10:50:00,30327.35,30364.94,30368.83,30327.35,0.12,36.77,403642,598006841.0,0.14,0.05
2025-08-21 10:55:00,30366.66,30404.84,30416.51,30366.66,0.13,39.9,485951,725171744.0,0.16,0.06
2025-08-21 11:00:00,30406.24,30408.82,30425.29,30406.13,0.01,3.98,425118,602168192.0,0.06,0.05
2025-08-21 11:05:00,30410.49,30429.92,30433.51,30409.63,0.07,21.1,345425,495829392.0,0.08,0.04
