日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,41555.57,41885.79,41923.66,41548.31,0.86,356.13,4534605,7413778400.0,0.9,0.46
2025-08-19 09:40:00,41889.83,42164.07,42164.07,41889.83,0.66,278.28,3221899,5293057536.0,0.65,0.33
2025-08-19 09:45:00,42164.49,42448.78,42489.93,42164.49,0.68,284.71,3636872,5338001904.0,0.77,0.37
2025-08-19 09:50:00,42450.93,42514.48,42519.89,42392.92,0.15,65.7,2397062,4059550048.0,0.3,0.24
2025-08-19 09:55:00,42517.04,42497.81,42526.86,42403.15,-0.04,-16.67,1884759,3292000784.0,0.29,0.19
2025-08-19 10:00:00,42495.16,42441.39,42550.99,42441.39,-0.13,-56.42,1707970,2830177520.0,0.26,0.17
2025-08-19 10:05:00,42437.74,42226.82,42437.74,42224.2,-0.51,-214.57,1585247,2720191024.0,0.5,0.16
2025-08-19 10:10:00,42220.88,42320.66,42377.32,42186.04,0.22,93.84,1698785,2701523072.0,0.45,0.17
2025-08-19 10:15:00,42324.35,42273.98,42324.35,42227.22,-0.11,-46.68,1064953,1934111104.0,0.23,0.11
2025-08-19 10:20:00,42275.86,42102.14,42275.86,42095.79,-0.41,-171.84,1142544,2092724128.0,0.43,0.12
2025-08-19 10:25:00,42100.31,42169.73,42169.73,42097.53,0.16,67.59,809531,1714429248.0,0.17,0.08
2025-08-19 10:30:00,42170.5,42237.04,42265.64,42170.5,0.16,67.31,712691,1336927913.0,0.23,0.07
2025-08-19 10:35:00,42228.4,42318.53,42333.56,42228.4,0.19,81.49,633605,1178983491.0,0.25,0.06
2025-08-19 10:40:00,42319.52,42337.34,42337.34,42298.21,0.04,18.81,555509,1027951466.0,0.09,0.06
2025-08-19 10:45:00,42334.54,42449.67,42458.9,42334.54,0.27,112.33,710260,1371443290.0,0.29,0.07
2025-08-19 10:50:00,42447.43,42496.88,42497.44,42427.17,0.11,47.21,786330,1376950610.0,0.17,0.08
2025-08-19 10:55:00,42497.59,42377.26,42520.18,42373.9,-0.28,-119.62,735115,1175049783.0,0.34,0.07
2025-08-19 11:00:00,42375.59,42276.93,42375.59,42274.79,-0.24,-100.33,512962,971021198.0,0.24,0.05
2025-08-19 11:05:00,42281.71,42295.68,42309.82,42262.2,0.04,18.75,493840,958012945.0,0.11,0.05
2025-08-19 11:10:00,42293.2,42278.05,42299.34,42252.14,-0.04,-17.63,473793,933759021.0,0.11,0.05
2025-08-19 11:15:00,42278.73,42287.7,42300.78,42262.02,0.02,9.65,394843,763615747.0,0.09,0.04
2025-08-19 11:20:00,42290.61,42268.06,42294.97,42267.59,-0.05,-19.64,435102,771934289.0,0.06,0.04
2025-08-19 11:25:00,42264.54,42201.11,42264.86,42200.12,-0.16,-66.95,458682,881430920.0,0.15,0.05
2025-08-19 11:30:00,42203.36,42159.19,42205.15,42153.52,-0.1,-41.92,487564,1032184246.0,0.12,0.05
2025-08-19 13:05:00,42159.19,42209.29,42210.02,42124.82,0.12,50.1,759405,1407939253.0,0.2,0.08
2025-08-19 13:10:00,42209.54,42196.24,42230.95,42196.24,-0.03,-13.05,404099,853962463.0,0.08,0.04
2025-08-19 13:15:00,42199.16,42156.3,42199.16,42147.72,-0.09,-39.94,495892,976836815.0,0.12,0.05
2025-08-19 13:20:00,42156.24,42099.91,42156.71,42086.4,-0.13,-56.39,558422,1126238915.0,0.17,0.06
2025-08-19 13:25:00,42098.0,42041.16,42101.9,42038.3,-0.14,-58.75,543657,1134792740.0,0.15,0.06
2025-08-19 13:30:00,42042.07,41944.51,42042.07,41925.39,-0.23,-96.65,707435,1635020429.0,0.28,0.07
2025-08-19 13:35:00,41945.02,41832.74,41958.66,41832.74,-0.27,-111.77,720607,1463608016.0,0.3,0.07
2025-08-19 13:40:00,41830.5,41873.18,41873.69,41805.32,0.1,40.44,626294,1201413790.0,0.16,0.06
2025-08-19 13:45:00,41874.45,41839.64,41874.45,41831.47,-0.08,-33.54,467887,1024344211.0,0.1,0.05
2025-08-19 13:50:00,41839.53,41744.46,41839.53,41744.46,-0.23,-95.18,601632,1210559274.0,0.23,0.06
2025-08-19 13:55:00,41743.45,41672.38,41747.05,41643.11,-0.17,-72.08,806302,1503577805.0,0.25,0.08
