日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,968.02,965.88,968.14,964.58,-0.27,-2.57,1118861,1419906003.0,0.37,0.12
2025-08-19 09:40:00,966.03,968.16,968.69,965.91,0.24,2.28,654254,772568921.0,0.29,0.07
2025-08-19 09:45:00,968.24,969.18,969.28,967.74,0.11,1.02,519006,598673893.0,0.16,0.05
2025-08-19 09:50:00,969.1,968.88,969.2,968.18,-0.03,-0.3,443069,492233192.0,0.11,0.05
2025-08-19 09:55:00,968.79,970.24,970.52,968.79,0.14,1.36,477686,536448009.0,0.18,0.05
2025-08-19 10:00:00,970.35,969.12,970.68,969.12,-0.12,-1.12,454784,528848448.0,0.16,0.05
2025-08-19 10:05:00,969.09,965.03,969.09,965.03,-0.42,-4.09,698882,680748628.0,0.42,0.07
2025-08-19 10:10:00,964.79,965.65,965.71,962.8,0.06,0.62,614888,633691176.0,0.3,0.06
2025-08-19 10:15:00,965.73,964.96,965.77,964.88,-0.07,-0.69,251047,285936108.0,0.09,0.03
2025-08-19 10:20:00,964.86,963.76,965.05,963.55,-0.12,-1.2,235229,272725550.0,0.16,0.02
2025-08-19 10:25:00,963.74,963.72,964.44,963.55,0.0,-0.04,254259,300652594.0,0.09,0.03
2025-08-19 10:30:00,963.73,966.52,966.56,963.64,0.29,2.8,306143,334873677.0,0.3,0.03
2025-08-19 10:35:00,966.42,968.41,968.6,966.39,0.2,1.89,336267,343519023.0,0.23,0.03
2025-08-19 10:40:00,968.39,968.89,968.96,968.39,0.05,0.48,241022,269176265.0,0.06,0.02
2025-08-19 10:45:00,968.89,968.59,969.09,968.38,-0.03,-0.3,222862,282101089.0,0.07,0.02
2025-08-19 10:50:00,968.59,969.33,969.46,968.31,0.08,0.74,275127,308541214.0,0.12,0.03
2025-08-19 10:55:00,969.3,969.59,969.67,969.08,0.03,0.26,206634,241758167.0,0.06,0.02
2025-08-19 11:00:00,969.53,969.45,970.08,969.24,-0.01,-0.14,265084,246411784.0,0.09,0.03
2025-08-19 11:05:00,969.57,971.1,971.39,969.46,0.17,1.65,245176,280632449.0,0.2,0.03
2025-08-19 11:10:00,971.1,971.16,971.34,970.73,0.01,0.06,195109,228820682.0,0.06,0.02
2025-08-19 11:15:00,971.22,972.06,972.16,971.11,0.09,0.9,182140,199154535.0,0.11,0.02
2025-08-19 11:20:00,972.0,972.46,973.08,971.87,0.04,0.4,374079,435600285.0,0.12,0.04
2025-08-19 11:25:00,972.35,972.93,973.28,972.3,0.05,0.47,220926,264118569.0,0.1,0.02
2025-08-19 11:30:00,972.93,973.31,973.51,972.85,0.04,0.38,301667,301942995.0,0.07,0.03
2025-08-19 13:05:00,973.31,974.47,974.5,973.25,0.12,1.16,467008,466315733.0,0.13,0.05
2025-08-19 13:10:00,974.39,974.47,975.09,973.87,0.0,0.0,296206,325327439.0,0.13,0.03
2025-08-19 13:15:00,974.46,974.71,975.03,974.23,0.02,0.24,345006,370304093.0,0.08,0.04
2025-08-19 13:20:00,974.71,974.26,975.14,973.93,-0.05,-0.45,277949,324523803.0,0.12,0.03
2025-08-19 13:25:00,974.27,974.27,974.86,974.12,0.0,0.01,211711,281394265.0,0.08,0.02
