日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1502.17,1500.88,1504.28,1500.63,-0.04,-0.57,367269,409515274.0,0.24,0.11
2025-08-19 09:40:00,1500.94,1503.4,1504.14,1500.7,0.17,2.52,231482,251331368.0,0.23,0.07
2025-08-19 09:45:00,1503.19,1504.45,1504.7,1502.32,0.07,1.05,209824,199443009.0,0.16,0.07
2025-08-19 09:50:00,1504.8,1503.73,1504.8,1502.76,-0.05,-0.72,175872,186581726.0,0.14,0.05
2025-08-19 09:55:00,1503.37,1504.73,1504.8,1502.98,0.07,1.0,123416,140975331.0,0.12,0.04
2025-08-19 10:00:00,1504.53,1505.98,1507.42,1503.9,0.08,1.25,193188,196945922.0,0.23,0.06
2025-08-19 10:05:00,1506.14,1501.24,1506.25,1501.24,-0.31,-4.74,254102,268447891.0,0.33,0.08
2025-08-19 10:10:00,1501.06,1501.69,1502.21,1498.49,0.03,0.45,243849,249994905.0,0.25,0.08
2025-08-19 10:15:00,1501.72,1501.8,1502.81,1501.1,0.01,0.11,89803,102896077.0,0.11,0.03
2025-08-19 10:20:00,1501.65,1500.64,1502.04,1500.38,-0.08,-1.16,96891,120965899.0,0.11,0.03
2025-08-19 10:25:00,1500.45,1499.85,1501.13,1499.03,-0.05,-0.79,90528,131198567.0,0.14,0.03
2025-08-19 10:30:00,1499.77,1502.67,1503.44,1499.48,0.19,2.82,128638,114262792.0,0.26,0.04
2025-08-19 10:35:00,1502.42,1505.08,1505.08,1502.42,0.16,2.41,100639,99026964.0,0.18,0.03
2025-08-19 10:40:00,1504.89,1503.73,1504.91,1503.73,-0.09,-1.35,89629,79947120.0,0.08,0.03
2025-08-19 10:45:00,1504.1,1503.98,1504.5,1503.19,0.02,0.25,320409,156771124.0,0.09,0.1
2025-08-19 10:50:00,1504.35,1503.65,1504.45,1502.98,-0.02,-0.33,79088,97324544.0,0.1,0.02
2025-08-19 10:55:00,1503.68,1502.92,1504.32,1502.65,-0.05,-0.73,65438,77870482.0,0.11,0.02
2025-08-19 11:00:00,1503.03,1502.41,1503.74,1501.86,-0.03,-0.51,72738,82755282.0,0.13,0.02
2025-08-19 11:05:00,1502.4,1503.72,1503.9,1501.68,0.09,1.31,45832,57389280.0,0.15,0.01
2025-08-19 11:10:00,1503.73,1503.89,1504.78,1503.21,0.01,0.17,61323,70709601.0,0.1,0.02
2025-08-19 11:15:00,1503.99,1505.56,1505.76,1503.69,0.11,1.67,59646,77326405.0,0.14,0.02
2025-08-19 11:20:00,1505.7,1505.83,1507.04,1504.95,0.02,0.27,107810,146459147.0,0.14,0.03
2025-08-19 11:25:00,1505.71,1507.2,1508.3,1505.71,0.09,1.37,99289,128665109.0,0.17,0.03
2025-08-19 11:30:00,1507.1,1506.65,1508.47,1506.48,-0.04,-0.55,85166,90500037.0,0.13,0.03
2025-08-19 13:05:00,1506.65,1508.58,1508.85,1506.13,0.13,1.93,156646,197908715.0,0.18,0.05
2025-08-19 13:10:00,1508.45,1508.76,1509.46,1507.83,0.01,0.18,90197,121591003.0,0.11,0.03
2025-08-19 13:15:00,1508.69,1507.69,1509.66,1507.69,-0.07,-1.07,82768,106358647.0,0.13,0.03
2025-08-19 13:20:00,1507.82,1506.87,1508.27,1506.51,-0.05,-0.82,85848,94312043.0,0.12,0.03
2025-08-19 13:25:00,1507.09,1506.98,1507.76,1506.31,0.01,0.11,47538,58333968.0,0.1,0.01
2025-08-19 13:30:00,1507.04,1506.1,1507.66,1505.81,-0.06,-0.88,58578,85227900.0,0.12,0.02
2025-08-19 13:35:00,1505.81,1504.47,1506.83,1504.37,-0.11,-1.63,126983,138755243.0,0.16,0.04
2025-08-19 13:40:00,1504.49,1504.89,1505.57,1503.56,0.03,0.42,190962,123264873.0,0.13,0.06
2025-08-19 13:45:00,1504.89,1504.7,1505.41,1504.32,-0.01,-0.19,81571,78981677.0,0.07,0.03
2025-08-19 13:50:00,1504.68,1503.49,1504.83,1503.04,-0.08,-1.21,95257,119726204.0,0.12,0.03
2025-08-19 13:55:00,1503.45,1502.55,1504.0,1500.98,-0.06,-0.94,126083,127982398.0,0.2,0.04
2025-08-19 14:00:00,1502.53,1501.4,1503.08,1501.4,-0.08,-1.15,49308,66615293.0,0.11,0.02
2025-08-19 14:05:00,1501.42,1504.51,1504.57,1501.38,0.21,3.11,60513,83459685.0,0.21,0.02
2025-08-19 14:10:00,1504.13,1504.01,1504.64,1503.46,-0.03,-0.5,52104,67910450.0,0.08,0.02
2025-08-19 14:15:00,1504.14,1503.31,1504.22,1502.97,-0.05,-0.7,55008,67141510.0,0.08,0.02
2025-08-19 14:20:00,1503.84,1503.16,1504.19,1503.07,-0.01,-0.15,55698,71927794.0,0.07,0.02
2025-08-19 14:25:00,1503.22,1502.47,1503.81,1502.08,-0.05,-0.69,68803,87928550.0,0.12,0.02
2025-08-19 14:30:00,1502.36,1501.58,1502.62,1500.84,-0.06,-0.89,90825,110313810.0,0.12,0.03
2025-08-19 14:35:00,1501.33,1502.82,1503.56,1501.33,0.08,1.24,80956,101652343.0,0.15,0.03
2025-08-19 14:40:00,1502.78,1502.57,1503.58,1502.49,-0.02,-0.25,100113,96113178.0,0.07,0.03
2025-08-19 14:45:00,1502.54,1503.08,1503.79,1502.17,0.03,0.51,83450,97920224.0,0.11,0.03
2025-08-19 14:50:00,1503.05,1503.19,1503.91,1502.62,0.01,0.11,103383,130371346.0,0.09,0.03
2025-08-19 14:55:00,1503.09,1503.24,1503.76,1502.53,0.0,0.05,144138,149147058.0,0.08,0.04
2025-08-19 15:00:00,1503.34,1504.6,1504.6,1503.03,0.09,1.36,149643,132872498.0,0.1,0.05
2025-08-20 09:35:00,1503.23,1516.56,1518.77,1502.27,0.79,11.96,764887,1037659520.0,1.1,0.24
2025-08-20 09:40:00,1516.61,1517.48,1520.01,1514.75,0.06,0.92,483881,605156667.0,0.35,0.15
2025-08-20 09:45:00,1517.73,1518.64,1520.41,1517.02,0.08,1.16,266651,343424940.0,0.22,0.08
2025-08-20 09:50:00,1518.81,1521.82,1521.82,1518.49,0.21,3.18,269594,359677186.0,0.22,0.08
2025-08-20 09:55:00,1521.41,1525.51,1526.11,1521.41,0.24,3.69,408673,524138170.0,0.31,0.13
2025-08-20 10:00:00,1525.59,1527.62,1527.9,1523.09,0.14,2.11,331255,434210527.0,0.32,0.1
2025-08-20 10:05:00,1527.64,1522.58,1527.9,1522.58,-0.33,-5.04,247602,291346750.0,0.35,0.08
2025-08-20 10:10:00,1522.79,1521.86,1523.12,1521.19,-0.05,-0.72,145319,194550799.0,0.13,0.05
2025-08-20 10:15:00,1521.36,1520.8,1522.1,1519.62,-0.07,-1.06,123337,159718795.0,0.16,0.04
2025-08-20 10:20:00,1520.68,1520.2,1521.13,1518.92,-0.04,-0.6,98331,148542020.0,0.15,0.03
2025-08-20 10:25:00,1520.02,1520.06,1520.16,1518.78,-0.01,-0.14,95531,138084698.0,0.09,0.03
2025-08-20 10:30:00,1520.2,1521.22,1521.32,1519.36,0.08,1.16,96547,91908789.0,0.13,0.03
2025-08-20 10:35:00,1521.44,1520.3,1522.21,1520.25,-0.06,-0.92,115415,105541132.0,0.13,0.04
2025-08-20 10:40:00,1520.26,1520.13,1520.93,1519.64,-0.01,-0.17,74713,97801756.0,0.08,0.02
2025-08-20 10:45:00,1520.08,1520.87,1521.38,1519.73,0.05,0.74,84806,122246969.0,0.11,0.03
2025-08-20 10:50:00,1520.67,1519.75,1521.07,1519.62,-0.07,-1.12,63054,84187289.0,0.1,0.02
2025-08-20 10:55:00,1519.95,1518.71,1520.33,1518.22,-0.07,-1.04,62628,78485549.0,0.14,0.02
2025-08-20 11:00:00,1519.16,1517.77,1519.16,1516.7,-0.06,-0.94,70704,82656082.0,0.16,0.02
2025-08-20 11:05:00,1517.66,1517.22,1517.66,1515.73,-0.04,-0.55,62031,92358006.0,0.13,0.02
2025-08-20 11:10:00,1516.93,1516.31,1517.79,1516.05,-0.06,-0.91,70243,87604720.0,0.11,0.02
2025-08-20 11:15:00,1516.27,1516.7,1517.12,1515.44,0.03,0.39,56939,67248403.0,0.11,0.02
2025-08-20 11:20:00,1516.66,1513.2,1516.89,1512.54,-0.23,-3.5,125686,129839255.0,0.29,0.04
