日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1346.36,1352.53,1354.36,1345.21,0.36,4.81,1235462,2319577062.0,0.68,0.37
2025-08-19 09:40:00,1352.61,1367.04,1367.19,1352.61,1.07,14.51,947105,2188270496.0,1.08,0.28
2025-08-19 09:45:00,1367.48,1371.59,1371.79,1365.44,0.33,4.55,842117,1904558880.0,0.46,0.25
2025-08-19 09:50:00,1371.5,1370.74,1373.2,1369.7,-0.06,-0.85,640644,1520703277.0,0.26,0.19
2025-08-19 09:55:00,1370.83,1370.01,1370.91,1367.0,-0.05,-0.73,395761,1046928751.0,0.29,0.12
2025-08-19 10:00:00,1370.3,1368.56,1372.45,1368.56,-0.11,-1.45,475839,990178015.0,0.28,0.14
2025-08-19 10:05:00,1368.46,1361.21,1368.46,1361.21,-0.54,-7.35,461217,1029732439.0,0.53,0.14
2025-08-19 10:10:00,1361.09,1363.39,1365.14,1358.04,0.16,2.18,404850,978718550.0,0.52,0.12
2025-08-19 10:15:00,1363.46,1362.41,1364.3,1360.57,-0.07,-0.98,318142,591273319.0,0.27,0.09
2025-08-19 10:20:00,1362.54,1357.8,1362.54,1356.87,-0.34,-4.61,448274,709213060.0,0.42,0.13
2025-08-19 10:25:00,1357.73,1358.64,1358.69,1357.11,0.06,0.84,400393,543043595.0,0.12,0.12
2025-08-19 10:30:00,1359.0,1360.59,1361.81,1358.72,0.14,1.95,286785,545340686.0,0.23,0.09
2025-08-19 10:35:00,1360.58,1363.35,1364.09,1360.29,0.2,2.76,273503,443583970.0,0.28,0.08
2025-08-19 10:40:00,1363.39,1364.0,1364.54,1362.69,0.05,0.65,296483,398192637.0,0.14,0.09
2025-08-19 10:45:00,1364.16,1364.86,1366.91,1363.89,0.06,0.86,192292,365406342.0,0.22,0.06
2025-08-19 10:50:00,1364.79,1364.81,1364.87,1363.09,0.0,-0.05,238207,364227481.0,0.13,0.07
2025-08-19 10:55:00,1364.85,1362.19,1365.94,1362.14,-0.19,-2.62,262260,359482701.0,0.28,0.08
2025-08-19 11:00:00,1362.08,1359.19,1362.08,1358.96,-0.22,-3.0,232198,516601608.0,0.23,0.07
2025-08-19 11:05:00,1359.09,1360.84,1361.35,1358.94,0.12,1.65,162926,351054381.0,0.18,0.05
