日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1728.49,1734.09,1734.19,1718.67,0.15,2.58,2732979,12692610704.0,0.9,0.39
2025-08-19 09:40:00,1734.04,1729.45,1734.31,1728.55,-0.27,-4.64,1547422,7651265664.0,0.33,0.22
2025-08-19 09:45:00,1729.52,1730.94,1732.65,1724.69,0.09,1.49,1142118,5975843072.0,0.46,0.16
2025-08-19 09:50:00,1731.25,1729.68,1733.76,1729.67,-0.07,-1.26,956039,5188846592.0,0.24,0.14
2025-08-19 09:55:00,1729.62,1731.07,1732.46,1728.61,0.08,1.39,810306,4403633744.0,0.22,0.12
2025-08-19 10:00:00,1731.07,1722.78,1731.07,1722.78,-0.48,-8.29,919896,4686504528.0,0.48,0.13
2025-08-19 10:05:00,1722.79,1713.77,1722.79,1713.77,-0.52,-9.01,1227359,5916450736.0,0.52,0.17
2025-08-19 10:10:00,1713.66,1723.21,1723.21,1709.19,0.55,9.44,1110514,5476475648.0,0.82,0.16
2025-08-19 10:15:00,1723.74,1717.82,1724.66,1717.58,-0.31,-5.39,753577,4297749728.0,0.41,0.11
2025-08-19 10:20:00,1717.81,1712.72,1719.18,1712.72,-0.3,-5.1,593424,3423767808.0,0.38,0.08
2025-08-19 10:25:00,1712.61,1715.18,1716.11,1711.76,0.14,2.46,555650,3254376592.0,0.25,0.08
2025-08-19 10:30:00,1715.37,1720.17,1721.19,1715.37,0.29,4.99,503073,2550787024.0,0.34,0.07
2025-08-19 10:35:00,1719.9,1723.9,1724.14,1719.55,0.22,3.73,416901,2189376176.0,0.27,0.06
2025-08-19 10:40:00,1724.0,1727.85,1727.85,1723.98,0.23,3.95,410908,2310172592.0,0.22,0.06
2025-08-19 10:45:00,1727.48,1727.24,1729.49,1726.57,-0.04,-0.61,450336,2598292672.0,0.17,0.06
2025-08-19 10:50:00,1727.32,1726.48,1727.67,1724.98,-0.04,-0.76,355143,2088381504.0,0.16,0.05
2025-08-19 10:55:00,1726.56,1727.86,1729.4,1726.56,0.08,1.38,337693,1739545024.0,0.16,0.05
2025-08-19 11:00:00,1727.81,1723.82,1728.08,1723.3,-0.23,-4.04,322831,1831593840.0,0.28,0.05
