日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,18251.93,18273.68,18282.89,18238.3,0.19,34.38,2094524,1296439657.0,0.24,0.23
2025-08-19 09:40:00,18275.4,18304.94,18314.74,18263.05,0.17,31.26,1362465,828326451.0,0.28,0.15
2025-08-19 09:45:00,18308.04,18331.32,18351.52,18308.04,0.14,26.38,1329734,729990948.0,0.24,0.15
2025-08-19 09:50:00,18326.65,18313.61,18332.2,18310.02,-0.1,-17.71,766462,478661379.0,0.12,0.08
2025-08-19 09:55:00,18313.77,18346.68,18346.68,18306.1,0.18,33.07,768311,509033763.0,0.22,0.08
2025-08-19 10:00:00,18344.71,18389.79,18393.39,18343.76,0.23,43.11,1056825,639144455.0,0.27,0.12
2025-08-19 10:05:00,18391.35,18360.16,18410.86,18358.65,-0.16,-29.63,833067,592554471.0,0.28,0.09
2025-08-19 10:10:00,18360.07,18376.46,18376.46,18315.65,0.09,16.3,1135060,669401356.0,0.33,0.12
2025-08-19 10:15:00,18375.4,18413.2,18427.87,18373.68,0.2,36.74,2492867,992121136.0,0.29,0.27
2025-08-19 10:20:00,18410.41,18427.57,18436.18,18405.9,0.08,14.37,1512638,641557033.0,0.16,0.17
2025-08-19 10:25:00,18430.14,18403.76,18433.65,18402.82,-0.13,-23.81,791616,457641319.0,0.17,0.09
2025-08-19 10:30:00,18401.98,18438.49,18442.69,18398.67,0.19,34.73,577370,341949578.0,0.24,0.06
2025-08-19 10:35:00,18438.28,18437.87,18442.51,18431.37,0.0,-0.62,535315,317965200.0,0.06,0.06
2025-08-19 10:40:00,18437.14,18429.46,18439.42,18424.22,-0.05,-8.41,526788,296978637.0,0.08,0.06
2025-08-19 10:45:00,18426.85,18422.0,18433.89,18416.2,-0.04,-7.46,362602,229169706.0,0.1,0.04
2025-08-19 10:50:00,18421.01,18420.3,18423.15,18409.71,-0.01,-1.7,322555,210973737.0,0.07,0.04
2025-08-19 10:55:00,18419.01,18420.68,18425.35,18411.59,0.0,0.38,298517,186974669.0,0.07,0.03
2025-08-19 11:00:00,18418.41,18417.7,18422.75,18413.32,-0.02,-2.98,369847,207858973.0,0.05,0.04
2025-08-19 11:05:00,18420.07,18434.58,18437.86,18418.23,0.09,16.88,371398,224222260.0,0.11,0.04
2025-08-19 11:10:00,18430.65,18438.89,18442.75,18430.32,0.02,4.31,279617,180191916.0,0.07,0.03
2025-08-19 11:15:00,18439.24,18435.92,18442.5,18432.54,-0.02,-2.97,244320,154244983.0,0.05,0.03
2025-08-19 11:20:00,18437.81,18430.53,18441.59,18427.32,-0.03,-5.39,239718,156001246.0,0.08,0.03
2025-08-19 11:25:00,18430.28,18451.07,18456.48,18427.59,0.11,20.54,403902,263038782.0,0.16,0.04
2025-08-19 11:30:00,18451.47,18443.8,18455.85,18441.87,-0.04,-7.27,243579,170892177.0,0.08,0.03
2025-08-19 13:05:00,18443.8,18445.2,18455.51,18431.06,0.01,1.4,455025,296091564.0,0.13,0.05
2025-08-19 13:10:00,18446.18,18457.74,18461.31,18443.03,0.07,12.54,343260,235013072.0,0.1,0.04
2025-08-19 13:15:00,18460.24,18446.8,18461.68,18443.8,-0.06,-10.94,300805,208077870.0,0.1,0.03
2025-08-19 13:20:00,18445.46,18439.45,18446.12,18433.82,-0.04,-7.35,306175,210479406.0,0.07,0.03
2025-08-19 13:25:00,18439.4,18437.72,18445.75,18433.34,-0.01,-1.73,360959,318488609.0,0.07,0.04
2025-08-19 13:30:00,18439.53,18438.25,18444.37,18428.34,0.0,0.53,354662,219162929.0,0.09,0.04
2025-08-19 13:35:00,18437.01,18423.1,18442.79,18415.14,-0.08,-15.15,407340,254323208.0,0.15,0.04
2025-08-19 13:40:00,18425.4,18420.48,18426.84,18409.72,-0.01,-2.62,392935,278020001.0,0.09,0.04
2025-08-19 13:45:00,18423.03,18422.74,18430.05,18417.15,0.01,2.26,248296,166228709.0,0.07,0.03
2025-08-19 13:50:00,18422.23,18420.35,18427.54,18407.28,-0.01,-2.39,226025,166189154.0,0.11,0.02
2025-08-19 13:55:00,18420.47,18385.47,18420.47,18376.28,-0.19,-34.88,427467,261866642.0,0.24,0.05
2025-08-19 14:00:00,18385.54,18392.62,18398.46,18384.53,0.04,7.15,236058,164849709.0,0.08,0.03
2025-08-19 14:05:00,18393.44,18419.82,18423.61,18384.59,0.15,27.2,303737,222755116.0,0.21,0.03
2025-08-19 14:10:00,18419.5,18426.8,18429.86,18418.63,0.04,6.98,342596,249033209.0,0.06,0.04
2025-08-19 14:15:00,18427.38,18430.37,18430.37,18417.81,0.02,3.57,231615,196060865.0,0.07,0.03
2025-08-19 14:20:00,18429.04,18419.73,18432.19,18417.32,-0.06,-10.64,396706,274056690.0,0.08,0.04
2025-08-19 14:25:00,18421.77,18409.44,18424.88,18405.49,-0.06,-10.29,303093,194577475.0,0.11,0.03
2025-08-19 14:30:00,18409.45,18408.27,18410.84,18392.2,-0.01,-1.17,350025,251009363.0,0.1,0.04
2025-08-19 14:35:00,18408.28,18421.23,18421.23,18406.2,0.07,12.96,255560,187935467.0,0.08,0.03
2025-08-19 14:40:00,18421.24,18452.0,18455.34,18420.67,0.17,30.77,432144,346874981.0,0.19,0.05
2025-08-19 14:45:00,18450.86,18458.68,18464.4,18448.64,0.04,6.68,385964,288631834.0,0.09,0.04
2025-08-19 14:50:00,18464.57,18467.11,18472.89,18456.72,0.05,8.43,451317,337298334.0,0.09,0.05
2025-08-19 14:55:00,18465.23,18481.27,18481.27,18457.01,0.08,14.16,676843,468880507.0,0.13,0.07
2025-08-19 15:00:00,18478.19,18493.6,18494.7,18477.22,0.07,12.33,640001,447515484.0,0.09,0.07
2025-08-20 09:35:00,18435.47,18460.13,18462.8,18350.49,-0.18,-33.47,2304323,1442227713.0,0.61,0.25
2025-08-20 09:40:00,18455.43,18452.04,18458.29,18418.25,-0.04,-8.09,1128869,731031160.0,0.22,0.12
2025-08-20 09:45:00,18451.54,18494.9,18501.47,18434.37,0.23,42.86,1538719,805052554.0,0.36,0.17
