日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,704.16,705.05,706.04,702.49,-0.32,-2.24,786944,675527689.0,0.5,0.12
2025-08-19 09:40:00,704.8,703.17,705.06,702.63,-0.27,-1.88,556545,470209797.0,0.34,0.09
2025-08-19 09:45:00,703.62,705.41,705.7,703.59,0.32,2.24,427229,368621952.0,0.3,0.07
2025-08-19 09:50:00,705.25,703.0,706.09,702.92,-0.34,-2.41,440654,366993396.0,0.45,0.07
2025-08-19 09:55:00,702.95,703.07,704.24,702.89,0.01,0.07,326337,286964648.0,0.19,0.05
2025-08-19 10:00:00,703.06,702.21,703.64,702.12,-0.12,-0.86,362483,337403151.0,0.22,0.06
2025-08-19 10:05:00,702.11,698.91,702.21,698.91,-0.47,-3.3,610141,493711053.0,0.47,0.09
2025-08-19 10:10:00,698.88,700.19,700.49,696.94,0.18,1.28,541424,432237803.0,0.51,0.08
2025-08-19 10:15:00,700.21,700.39,701.34,699.74,0.03,0.2,244122,201765851.0,0.23,0.04
2025-08-19 10:20:00,700.24,699.15,700.62,698.83,-0.18,-1.24,185043,148373966.0,0.26,0.03
2025-08-19 10:25:00,699.01,698.16,699.33,698.01,-0.14,-0.99,240578,187549514.0,0.19,0.04
2025-08-19 10:30:00,698.33,700.12,700.61,698.18,0.28,1.96,248745,179401844.0,0.35,0.04
2025-08-19 10:35:00,700.04,701.09,701.37,700.04,0.14,0.97,239983,188017511.0,0.19,0.04
2025-08-19 10:40:00,701.11,700.73,701.5,700.42,-0.05,-0.36,169746,141579453.0,0.15,0.03
2025-08-19 10:45:00,700.56,699.83,701.16,699.68,-0.13,-0.9,171438,139055605.0,0.21,0.03
2025-08-19 10:50:00,699.82,699.13,699.82,698.85,-0.1,-0.7,187179,139815568.0,0.14,0.03
2025-08-19 10:55:00,699.14,699.13,699.73,698.86,0.0,0.0,114349,93915268.0,0.12,0.02
2025-08-19 11:00:00,699.0,698.99,699.7,698.66,-0.02,-0.14,129654,100144683.0,0.15,0.02
2025-08-19 11:05:00,698.81,699.72,700.18,698.81,0.1,0.73,121124,90562576.0,0.2,0.02
2025-08-19 11:10:00,699.77,699.76,700.18,699.57,0.01,0.04,129280,103261101.0,0.09,0.02
2025-08-19 11:15:00,699.76,700.59,700.96,699.66,0.12,0.83,109513,91154228.0,0.19,0.02
2025-08-19 11:20:00,700.83,699.73,700.86,699.73,-0.12,-0.86,125824,102084899.0,0.16,0.02
2025-08-19 11:25:00,699.77,701.38,701.61,699.69,0.24,1.65,135546,120443631.0,0.27,0.02
2025-08-19 11:30:00,701.29,700.78,701.86,700.76,-0.09,-0.6,142289,135085020.0,0.16,0.02
2025-08-19 13:05:00,700.78,701.05,701.93,700.65,0.04,0.27,201361,160951232.0,0.18,0.03
2025-08-19 13:10:00,700.93,700.35,701.24,700.35,-0.1,-0.7,149953,114293163.0,0.13,0.02
2025-08-19 13:15:00,700.78,700.48,700.96,700.18,0.02,0.13,162800,135689989.0,0.11,0.03
2025-08-19 13:20:00,700.53,701.0,701.57,700.28,0.07,0.52,173886,154363622.0,0.18,0.03
2025-08-19 13:25:00,701.01,700.84,701.35,700.68,-0.02,-0.16,142307,124766234.0,0.1,0.02
2025-08-19 13:30:00,700.85,708.35,708.51,700.69,1.07,7.51,1009771,941629562.0,1.12,0.16
2025-08-19 13:35:00,708.66,706.87,708.79,706.78,-0.21,-1.48,1053999,1017773301.0,0.28,0.16
2025-08-19 13:40:00,706.72,711.2,713.04,705.75,0.61,4.33,1163243,1173990211.0,1.03,0.18
2025-08-19 13:45:00,711.19,715.08,715.08,709.52,0.55,3.88,1219266,1188015552.0,0.78,0.19
2025-08-19 13:50:00,715.55,723.17,723.41,715.55,1.13,8.09,1635813,1528338575.0,1.1,0.25
2025-08-19 13:55:00,723.0,717.59,723.02,717.0,-0.77,-5.58,1202715,1154670925.0,0.83,0.19
2025-08-19 14:00:00,717.61,717.03,718.26,716.5,-0.08,-0.56,927533,891542171.0,0.25,0.14
2025-08-19 14:05:00,717.22,717.67,718.19,716.72,0.09,0.64,337738,310718832.0,0.21,0.05
2025-08-19 14:10:00,717.66,716.86,718.06,716.83,-0.11,-0.81,284402,271937078.0,0.17,0.04
2025-08-19 14:15:00,716.81,715.31,716.83,715.31,-0.22,-1.55,161593,164192922.0,0.21,0.02
2025-08-19 14:20:00,715.46,714.87,716.2,714.87,-0.06,-0.44,366270,357777966.0,0.19,0.06
2025-08-19 14:25:00,715.1,713.79,715.1,713.71,-0.15,-1.08,279646,237947203.0,0.19,0.04
2025-08-19 14:30:00,713.71,713.95,713.95,712.4,0.02,0.16,395042,364957767.0,0.22,0.06
2025-08-19 14:35:00,714.1,714.52,714.81,714.1,0.08,0.57,206149,181769624.0,0.1,0.03
2025-08-19 14:40:00,714.42,714.52,715.07,714.37,0.0,0.0,159614,138120897.0,0.1,0.02
2025-08-19 14:45:00,714.57,714.43,714.83,714.13,-0.01,-0.09,162174,146985220.0,0.1,0.02
2025-08-19 14:50:00,714.57,714.63,714.99,714.4,0.03,0.2,235541,227632292.0,0.08,0.04
2025-08-19 14:55:00,714.48,714.3,714.87,714.09,-0.05,-0.33,253193,231535998.0,0.11,0.04
2025-08-19 15:00:00,714.52,714.23,714.7,714.1,-0.01,-0.07,298501,277046988.0,0.08,0.05
2025-08-20 09:35:00,708.48,707.64,708.51,705.0,-0.92,-6.59,2372079,2311716629.0,0.49,0.37
2025-08-20 09:40:00,707.13,706.96,707.84,706.15,-0.1,-0.68,936393,903761587.0,0.24,0.14
2025-08-20 09:45:00,706.88,708.86,709.89,706.5,0.27,1.9,927668,865637922.0,0.48,0.14
2025-08-20 09:50:00,709.15,711.37,711.55,708.29,0.35,2.51,707969,662340923.0,0.46,0.11
2025-08-20 09:55:00,711.36,710.56,712.04,710.5,-0.11,-0.81,686379,641618238.0,0.22,0.11
2025-08-20 10:00:00,710.32,707.9,710.49,707.87,-0.37,-2.66,593916,539672257.0,0.37,0.09
2025-08-20 10:05:00,707.86,707.21,708.15,706.8,-0.1,-0.69,435243,386277224.0,0.19,0.07
2025-08-20 10:10:00,707.26,706.2,707.5,706.2,-0.14,-1.01,375759,342718696.0,0.18,0.06
2025-08-20 10:15:00,706.22,706.02,706.85,705.86,-0.03,-0.18,286570,271795048.0,0.14,0.04
2025-08-20 10:20:00,706.33,705.38,706.54,704.95,-0.09,-0.64,424224,372699482.0,0.23,0.07
2025-08-20 10:25:00,705.29,704.71,705.29,704.33,-0.09,-0.67,424000,412072755.0,0.14,0.07
