日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,2870.45,2893.76,2897.75,2862.19,0.59,16.87,2881297,7847977504.0,1.24,0.61
2025-08-19 09:40:00,2894.07,2895.5,2913.57,2891.95,0.06,1.74,1781548,4895867040.0,0.75,0.38
2025-08-19 09:45:00,2894.61,2894.22,2903.41,2890.32,-0.04,-1.28,1247395,3441836496.0,0.45,0.27
2025-08-19 09:50:00,2893.94,2880.52,2894.01,2880.52,-0.47,-13.7,976495,2462852656.0,0.47,0.21
2025-08-19 09:55:00,2879.77,2893.41,2893.41,2879.32,0.45,12.89,907694,2457384704.0,0.49,0.19
2025-08-19 10:00:00,2893.01,2888.21,2902.69,2888.0,-0.18,-5.2,748707,1930329040.0,0.51,0.16
2025-08-19 10:05:00,2888.42,2866.9,2888.42,2866.67,-0.74,-21.31,789028,1841698832.0,0.75,0.17
2025-08-19 10:10:00,2866.36,2881.51,2884.34,2862.13,0.51,14.61,779085,1905698064.0,0.77,0.17
2025-08-19 10:15:00,2881.45,2883.06,2887.08,2875.51,0.05,1.55,643294,1639125603.0,0.4,0.14
2025-08-19 10:20:00,2883.37,2878.32,2888.65,2878.32,-0.16,-4.74,663574,1610938325.0,0.36,0.14
2025-08-19 10:25:00,2878.36,2885.32,2885.32,2877.99,0.24,7.0,499394,1173315131.0,0.25,0.11
2025-08-19 10:30:00,2885.58,2893.14,2895.43,2885.58,0.27,7.82,652868,1871201072.0,0.34,0.14
2025-08-19 10:35:00,2893.0,2885.95,2894.29,2884.34,-0.25,-7.19,446910,1054134471.0,0.34,0.09
2025-08-19 10:40:00,2886.21,2888.05,2888.2,2885.55,0.07,2.1,301617,721532344.0,0.09,0.06
2025-08-19 10:45:00,2887.57,2885.0,2888.29,2884.4,-0.11,-3.05,291645,643001000.0,0.13,0.06
2025-08-19 10:50:00,2884.67,2885.55,2885.55,2883.16,0.02,0.55,392305,762842840.0,0.08,0.08
2025-08-19 10:55:00,2885.7,2884.3,2887.34,2884.01,-0.04,-1.25,241902,529737893.0,0.12,0.05
2025-08-19 11:00:00,2884.09,2885.22,2887.38,2883.79,0.03,0.92,247945,588465835.0,0.12,0.05
2025-08-19 11:05:00,2885.02,2891.53,2891.88,2884.82,0.22,6.31,208327,470220873.0,0.24,0.04
2025-08-19 11:10:00,2891.85,2903.26,2903.26,2891.47,0.41,11.73,343253,773432113.0,0.41,0.07
2025-08-19 11:15:00,2903.22,2924.39,2924.95,2903.22,0.73,21.13,840616,1969927788.0,0.75,0.18
2025-08-19 11:20:00,2924.92,2935.22,2935.22,2923.02,0.37,10.83,706794,1776740992.0,0.42,0.15
2025-08-19 11:25:00,2935.36,2949.27,2957.27,2935.33,0.48,14.05,1072614,2695197104.0,0.75,0.23
2025-08-19 11:30:00,2949.5,2936.33,2952.72,2934.25,-0.44,-12.94,578687,1356223569.0,0.63,0.12
2025-08-19 13:05:00,2936.33,2936.59,2939.24,2931.35,0.01,0.26,647971,1484810404.0,0.27,0.14
2025-08-19 13:10:00,2936.17,2940.68,2946.53,2932.15,0.14,4.09,550256,1175210213.0,0.49,0.12
2025-08-19 13:15:00,2941.43,2935.96,2943.63,2935.95,-0.16,-4.72,415934,924672201.0,0.26,0.09
2025-08-19 13:20:00,2935.74,2930.77,2935.81,2930.39,-0.18,-5.19,330916,735640518.0,0.18,0.07
