日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,892.16,888.6,892.16,887.53,-0.2,-1.77,313195,437627559.0,0.52,0.24
2025-08-19 09:40:00,888.52,892.41,892.51,888.18,0.43,3.81,229050,309667123.0,0.49,0.17
2025-08-19 09:45:00,892.46,894.14,895.08,892.46,0.19,1.73,254375,381081571.0,0.29,0.19
2025-08-19 09:50:00,894.14,895.03,895.95,894.14,0.1,0.89,206619,301367978.0,0.2,0.16
2025-08-19 09:55:00,895.04,895.74,896.39,894.74,0.08,0.71,155542,233299592.0,0.18,0.12
2025-08-19 10:00:00,895.71,893.88,895.8,893.88,-0.21,-1.86,132297,193171175.0,0.21,0.1
2025-08-19 10:05:00,893.99,890.7,894.13,890.67,-0.36,-3.18,158438,227502248.0,0.39,0.12
2025-08-19 10:10:00,890.62,890.99,891.13,888.71,0.03,0.29,142573,196964317.0,0.27,0.11
2025-08-19 10:15:00,890.96,890.89,892.31,890.5,-0.01,-0.1,93344,132364930.0,0.2,0.07
2025-08-19 10:20:00,890.92,889.38,891.2,889.28,-0.17,-1.51,71776,101494369.0,0.22,0.05
2025-08-19 10:25:00,889.42,888.97,889.42,888.68,-0.05,-0.41,80241,103941236.0,0.08,0.06
2025-08-19 10:30:00,888.97,891.21,891.36,888.95,0.25,2.24,66919,89680747.0,0.27,0.05
2025-08-19 10:35:00,891.14,893.52,893.8,891.03,0.26,2.31,89461,134942675.0,0.31,0.07
2025-08-19 10:40:00,893.61,893.74,894.29,893.61,0.02,0.22,60265,88174955.0,0.08,0.05
2025-08-19 10:45:00,893.69,893.01,893.8,892.95,-0.08,-0.73,63685,82806222.0,0.1,0.05
2025-08-19 10:50:00,892.93,892.84,893.11,892.51,-0.02,-0.17,47336,64571063.0,0.07,0.04
2025-08-19 10:55:00,892.79,893.01,893.31,892.75,0.02,0.17,43414,64234935.0,0.06,0.03
2025-08-19 11:00:00,892.99,893.13,893.56,892.69,0.01,0.12,52638,79275237.0,0.1,0.04
2025-08-19 11:05:00,893.12,894.66,894.79,893.01,0.17,1.53,54942,77239808.0,0.2,0.04
2025-08-19 11:10:00,894.68,894.54,895.01,894.14,-0.01,-0.12,45564,61809837.0,0.1,0.03
2025-08-19 11:15:00,894.46,894.54,894.77,894.39,0.0,0.0,39690,54599895.0,0.04,0.03
2025-08-19 11:20:00,894.55,894.7,894.84,894.24,0.02,0.16,40884,62772034.0,0.07,0.03
2025-08-19 11:25:00,894.69,894.63,894.94,894.37,-0.01,-0.07,36249,57909805.0,0.06,0.03
2025-08-19 11:30:00,894.68,894.95,895.32,894.59,0.04,0.32,44766,64889553.0,0.08,0.03
2025-08-19 13:05:00,894.95,895.1,895.51,894.33,0.02,0.15,111275,128550139.0,0.13,0.08
2025-08-19 13:10:00,895.06,895.22,895.69,895.02,0.01,0.12,61665,88892450.0,0.07,0.05
2025-08-19 13:15:00,895.32,894.84,895.48,894.78,-0.04,-0.38,57412,83253499.0,0.08,0.04
2025-08-19 13:20:00,894.91,894.45,895.22,894.41,-0.04,-0.39,63636,83030917.0,0.09,0.05
2025-08-19 13:25:00,894.5,894.37,894.64,894.03,-0.01,-0.08,44201,59793530.0,0.07,0.03
2025-08-19 13:30:00,894.29,893.74,894.33,893.15,-0.07,-0.63,52514,70648191.0,0.13,0.04
2025-08-19 13:35:00,893.79,891.78,893.95,891.78,-0.22,-1.96,67210,92272646.0,0.24,0.05
2025-08-19 13:40:00,891.69,892.82,893.01,891.23,0.12,1.04,72113,95086342.0,0.2,0.05
2025-08-19 13:45:00,892.79,892.54,892.94,892.4,-0.03,-0.28,49987,59557236.0,0.06,0.04
2025-08-19 13:50:00,892.59,891.94,892.88,891.73,-0.07,-0.6,50270,70007747.0,0.13,0.04
2025-08-19 13:55:00,891.9,890.13,892.0,889.73,-0.2,-1.81,84918,110095386.0,0.25,0.06
2025-08-19 14:00:00,890.16,890.71,891.32,890.16,0.07,0.58,85528,105851814.0,0.13,0.06
2025-08-19 14:05:00,890.72,892.66,892.75,890.62,0.22,1.95,72112,99102661.0,0.24,0.05
2025-08-19 14:10:00,892.65,892.47,892.97,892.47,-0.02,-0.19,51885,67542366.0,0.06,0.04
2025-08-19 14:15:00,892.54,892.38,892.72,892.05,-0.01,-0.09,49938,73172960.0,0.08,0.04
2025-08-19 14:20:00,892.38,891.5,892.49,891.45,-0.1,-0.88,43115,59986184.0,0.12,0.03
2025-08-19 14:25:00,891.42,890.39,891.5,890.32,-0.12,-1.11,63566,86350797.0,0.13,0.05
2025-08-19 14:30:00,890.41,889.96,890.45,889.2,-0.05,-0.43,62628,84455253.0,0.14,0.05
2025-08-19 14:35:00,890.03,891.16,891.39,890.03,0.13,1.2,54799,77992259.0,0.15,0.04
2025-08-19 14:40:00,891.12,891.03,891.56,891.01,-0.01,-0.13,58314,79438528.0,0.06,0.04
2025-08-19 14:45:00,891.07,891.47,891.47,890.65,0.05,0.44,72575,102797482.0,0.09,0.05
2025-08-19 14:50:00,891.51,891.43,891.76,891.25,0.0,-0.04,87529,121043567.0,0.06,0.07
2025-08-19 14:55:00,891.39,890.83,891.39,890.73,-0.07,-0.6,120068,178901577.0,0.07,0.09
2025-08-19 15:00:00,890.86,891.12,891.25,890.73,0.03,0.29,120408,177298931.0,0.06,0.09
2025-08-20 09:35:00,889.2,886.99,889.32,884.14,-0.46,-4.13,424003,539241501.0,0.58,0.32
2025-08-20 09:40:00,886.61,890.07,890.11,885.74,0.35,3.08,188628,246962847.0,0.49,0.14
2025-08-20 09:45:00,889.92,887.76,890.09,887.76,-0.26,-2.31,166028,214085398.0,0.26,0.13
2025-08-20 09:50:00,887.85,888.49,889.06,887.43,0.08,0.73,145625,195432895.0,0.18,0.11
2025-08-20 09:55:00,888.42,887.37,888.48,886.85,-0.13,-1.12,121851,165423611.0,0.18,0.09
2025-08-20 10:00:00,887.43,886.97,887.43,886.32,-0.05,-0.4,126767,175902470.0,0.13,0.1
2025-08-20 10:05:00,887.0,886.19,887.05,885.9,-0.09,-0.78,92531,134405478.0,0.13,0.07
2025-08-20 10:10:00,886.14,885.4,886.46,885.15,-0.09,-0.79,105649,141592306.0,0.15,0.08
2025-08-20 10:15:00,885.39,885.53,885.91,885.39,0.01,0.13,81414,102976973.0,0.06,0.06
2025-08-20 10:20:00,885.62,886.03,886.15,885.62,0.06,0.5,70566,94711532.0,0.06,0.05
2025-08-20 10:25:00,885.99,885.65,886.08,885.09,-0.04,-0.38,72355,96932479.0,0.11,0.05
2025-08-20 10:30:00,885.65,887.08,887.08,885.63,0.16,1.43,79372,99045866.0,0.16,0.06
2025-08-20 10:35:00,887.12,888.78,888.87,887.12,0.19,1.7,72454,86693363.0,0.2,0.05
2025-08-20 10:40:00,888.74,888.15,888.88,888.04,-0.07,-0.63,66071,90049912.0,0.09,0.05
2025-08-20 10:45:00,888.18,887.65,888.18,887.45,-0.06,-0.5,50753,62529265.0,0.08,0.04
2025-08-20 10:50:00,887.63,887.92,888.02,887.52,0.03,0.27,57308,68551776.0,0.06,0.04
2025-08-20 10:55:00,887.91,887.33,888.25,887.16,-0.07,-0.59,51058,66060706.0,0.12,0.04
2025-08-20 11:00:00,887.31,886.3,887.47,886.23,-0.12,-1.03,45552,65376115.0,0.14,0.03
2025-08-20 11:05:00,886.27,885.61,886.27,885.06,-0.08,-0.69,74414,108606696.0,0.14,0.06
2025-08-20 11:10:00,885.6,885.96,885.96,885.34,0.04,0.35,58652,72127032.0,0.07,0.04
2025-08-20 11:15:00,885.92,886.77,886.77,885.86,0.09,0.81,50491,72699697.0,0.1,0.04
2025-08-20 11:20:00,886.74,885.48,886.74,885.09,-0.15,-1.29,97246,131610529.0,0.19,0.07
2025-08-20 11:25:00,885.55,884.59,886.19,884.58,-0.1,-0.89,64365,85093063.0,0.18,0.05
2025-08-20 11:30:00,884.56,884.77,884.86,882.77,0.02,0.18,99355,133481415.0,0.24,0.07
2025-08-20 13:05:00,884.77,884.05,885.62,884.05,-0.08,-0.72,63321,81763037.0,0.18,0.05
2025-08-20 13:10:00,884.07,883.13,884.1,882.97,-0.1,-0.92,57799,76546456.0,0.13,0.04
2025-08-20 13:15:00,883.1,884.51,884.83,883.07,0.16,1.38,42498,60558333.0,0.2,0.03
2025-08-20 13:20:00,884.41,884.45,884.55,884.18,-0.01,-0.06,41189,57187652.0,0.04,0.03
2025-08-20 13:25:00,884.42,884.08,884.43,884.08,-0.04,-0.37,44257,61676297.0,0.04,0.03
2025-08-20 13:30:00,884.09,884.18,884.22,883.8,0.01,0.1,45852,64827798.0,0.05,0.03
2025-08-20 13:35:00,884.2,884.58,884.58,883.82,0.05,0.4,38311,54168022.0,0.09,0.03
2025-08-20 13:40:00,884.62,885.03,885.28,884.51,0.05,0.45,42271,59461817.0,0.09,0.03
2025-08-20 13:45:00,885.05,884.84,885.68,884.84,-0.02,-0.19,49234,69694507.0,0.09,0.04
2025-08-20 13:50:00,884.85,885.55,885.65,884.65,0.08,0.71,42321,60291858.0,0.11,0.03
2025-08-20 13:55:00,885.51,886.14,886.19,885.24,0.07,0.59,29248,52314962.0,0.11,0.02
