日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,13798.02,13805.25,13850.12,13788.95,0.15,20.49,6568536,3889561232.0,0.44,0.34
2025-08-19 09:40:00,13807.48,13841.07,13868.69,13793.81,0.26,35.82,3111135,1700084301.0,0.54,0.16
2025-08-19 09:45:00,13843.29,13882.73,13884.14,13843.29,0.3,41.66,2439221,1444839852.0,0.3,0.13
2025-08-19 09:50:00,13886.01,13862.5,13886.44,13858.44,-0.15,-20.23,1719081,1041178958.0,0.2,0.09
2025-08-19 09:55:00,13860.25,13897.7,13897.82,13856.8,0.25,35.2,1576030,1069576866.0,0.3,0.08
2025-08-19 10:00:00,13896.79,13920.64,13946.47,13896.61,0.17,22.94,3157595,1668932731.0,0.36,0.16
2025-08-19 10:05:00,13918.43,13895.09,13926.94,13894.89,-0.18,-25.55,2211950,1005610125.0,0.23,0.11
2025-08-19 10:10:00,13891.05,13928.5,13937.97,13879.26,0.24,33.41,2112032,1019851317.0,0.42,0.11
2025-08-19 10:15:00,13930.87,13934.48,13935.3,13917.74,0.04,5.98,1169330,570901656.0,0.13,0.06
2025-08-19 10:20:00,13932.64,13945.12,13965.04,13930.53,0.08,10.64,1601081,789972332.0,0.25,0.08
2025-08-19 10:25:00,13945.38,13919.54,13951.01,13913.79,-0.18,-25.58,1021813,495656628.0,0.27,0.05
2025-08-19 10:30:00,13918.98,13953.21,13954.95,13914.06,0.24,33.67,829667,418459746.0,0.29,0.04
2025-08-19 10:35:00,13954.11,13951.4,13968.02,13948.7,-0.01,-1.81,588653,347711952.0,0.14,0.03
2025-08-19 10:40:00,13950.86,13939.57,13950.86,13930.32,-0.08,-11.83,563325,299225656.0,0.15,0.03
2025-08-19 10:45:00,13939.24,13932.98,13946.68,13927.46,-0.05,-6.59,481323,284029714.0,0.14,0.02
2025-08-19 10:50:00,13933.49,13959.1,13959.1,13927.29,0.19,26.12,503894,292752812.0,0.23,0.03
2025-08-19 10:55:00,13960.98,13953.32,13963.18,13944.47,-0.04,-5.78,458403,264150017.0,0.13,0.02
2025-08-19 11:00:00,13953.61,13957.92,13969.55,13950.61,0.03,4.6,453404,275997462.0,0.14,0.02
2025-08-19 11:05:00,13955.1,13959.29,13963.42,13946.72,0.01,1.37,317333,205949324.0,0.12,0.02
2025-08-19 11:10:00,13956.64,13971.38,13973.02,13949.43,0.09,12.09,348133,220420898.0,0.17,0.02
2025-08-19 11:15:00,13975.66,13980.02,13985.5,13964.94,0.06,8.64,442807,288205811.0,0.15,0.02
2025-08-19 11:20:00,13980.55,13986.85,13991.81,13970.64,0.05,6.83,479762,319963075.0,0.15,0.02
2025-08-19 11:25:00,13987.09,13979.54,13990.51,13972.11,-0.05,-7.31,469660,339973759.0,0.13,0.02
2025-08-19 11:30:00,13979.88,13981.52,13985.86,13971.19,0.01,1.98,504498,384553464.0,0.1,0.03
2025-08-19 13:05:00,13981.52,13971.06,13988.84,13958.48,-0.07,-10.46,1107445,636965497.0,0.22,0.06
2025-08-19 13:10:00,13971.46,13974.75,13982.22,13966.46,0.03,3.69,526603,377100864.0,0.11,0.03
2025-08-19 13:15:00,13974.47,13959.03,13979.35,13957.66,-0.11,-15.72,648020,358369510.0,0.16,0.03
2025-08-19 13:20:00,13960.77,13966.9,13975.44,13957.26,0.06,7.87,534368,348681609.0,0.13,0.03
2025-08-19 13:25:00,13966.95,13963.02,13968.75,13957.02,-0.03,-3.88,420905,276474051.0,0.08,0.02
2025-08-19 13:30:00,13960.44,13969.9,13973.17,13956.96,0.05,6.88,445463,263834297.0,0.12,0.02
2025-08-19 13:35:00,13967.96,13955.07,13972.78,13953.83,-0.11,-14.83,494034,303044822.0,0.14,0.03
2025-08-19 13:40:00,13953.53,13960.61,13965.82,13942.54,0.04,5.54,438975,276745057.0,0.17,0.02
2025-08-19 13:45:00,13961.27,13956.77,13966.6,13951.74,-0.03,-3.84,441322,249125788.0,0.11,0.02
2025-08-19 13:50:00,13959.3,13954.34,13963.01,13941.67,-0.02,-2.43,549219,330672397.0,0.15,0.03
2025-08-19 13:55:00,13952.28,13930.91,13952.28,13922.11,-0.17,-23.43,636996,384300686.0,0.22,0.03
2025-08-19 14:00:00,13932.29,13928.49,13934.44,13919.64,-0.02,-2.42,373919,254652598.0,0.11,0.02
2025-08-19 14:05:00,13930.83,13946.54,13953.09,13919.81,0.13,18.05,488660,571001298.0,0.24,0.03
2025-08-19 14:10:00,13947.31,13949.03,13958.6,13947.31,0.02,2.49,436691,409155554.0,0.08,0.02
2025-08-19 14:15:00,13951.69,13947.09,13957.73,13942.71,-0.01,-1.94,740247,355701565.0,0.11,0.04
2025-08-19 14:20:00,13947.12,13939.63,13963.58,13935.97,-0.05,-7.46,525990,298724759.0,0.2,0.03
2025-08-19 14:25:00,13939.75,13926.24,13942.55,13923.42,-0.1,-13.39,485983,323729307.0,0.14,0.03
2025-08-19 14:30:00,13925.2,13913.89,13925.2,13906.02,-0.09,-12.35,565679,325572070.0,0.14,0.03
2025-08-19 14:35:00,13914.72,13935.16,13936.7,13914.72,0.15,21.27,431655,257242488.0,0.16,0.02
2025-08-19 14:40:00,13932.2,13932.34,13940.51,13926.61,-0.02,-2.82,439880,284923422.0,0.1,0.02
2025-08-19 14:45:00,13931.65,13935.73,13936.49,13925.04,0.02,3.39,570475,339500766.0,0.08,0.03
2025-08-19 14:50:00,13934.26,13936.02,13941.36,13931.3,0.0,0.29,678351,453658377.0,0.07,0.04
2025-08-19 14:55:00,13937.24,13935.06,13939.97,13927.79,-0.01,-0.96,903041,600230665.0,0.09,0.05
2025-08-19 15:00:00,13937.44,13938.31,13945.4,13931.07,0.02,3.25,1208095,700893129.0,0.1,0.06
